0	Index      	 *	Score 	Summary	Detail	
1	23352 35123	 * 	296.29	紫橙3易伤2矿等3时间	18核234时间37序列升级57a易伤67矿等9金币生成
2	23352 35133	 * 	292.89	紫橙2易伤2矿等3时间1伤害	18核234时间37序列升级57易伤67矿等9敌人爆炸a伤害
3	23352 35141	 * 	292.79	紫橙2易伤2矿等3时间2暴击	18核234时间37序列升级57易伤67矿等9a暴击
4	23352 35143	   	286.48	紫橙2易伤2矿等3时间1暴击	18核234时间37序列升级57易伤67矿等9暴击a技能
5	23352 35152	   	286.48	紫橙2易伤2矿等3时间1攻速	18核234时间37序列升级57易伤67矿等9赏金塔a攻速
6	23352 35142	   	286.38	紫橙2易伤2矿等3时间1暴击1挖怪	18核234时间37序列升级57易伤67矿等9暴击a挖怪
7	23352 35114	   	282.49	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a全技能
8	23352 35134	   	282.49	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a平台
9	62362 35123	   	276.43	紫橙3易伤2矿等	124敌人爆炸38核47序列升级57a易伤67矿等9金币生成
10	23352 35111	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a赏金邻近
11	23352 35112	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a赏金塔
12	23352 35113	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a最后敌人
13	23352 35115	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9雷电a随机矿
14	23352 35124	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a最后敌人
15	23352 35126	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a雷电
16	23352 35131	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a最后敌人
17	23352 35153	   	272.83	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9赏金塔a低血量敌人
18	23352 35121	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a多重对愈
19	23352 35122	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a挖尘
20	23352 35125	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9金币生成a技能点
21	23352 35132	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a挖尘
22	23352 35135	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a掉矿
23	23352 35136	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9敌人爆炸a双倍秒伤
24	23352 35151	   	272.73	紫橙2易伤2矿等3时间	18核234时间37序列升级57易伤67矿等9赏金塔a加一
25	54316 31232	 * 	271.84	橙橙2易伤1暴击	18低血量敌人2全技能35易伤4暴击6随机矿7基础对冰9a核
26	23624 22251	   	271.26	紫橙1易伤2矿等2平台1攻速	1a核2时间3全技能47矿等56平台8易伤9攻速
27	21536 11132	   	266.62	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89最后敌人9序列升级
28	21536 11232	   	266.62	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89低血量敌人9序列升级
29	21536 11532	   	266.62	紫橙2易伤2矿等1暴击	1a核2挖青3额外掉落49易伤5暴击6赏金邻近79矿等89基地爆炸9序列升级
30	25461 31123	   	266.42	紫橙2易伤2矿等1暴击	19核2赏金邻近38易伤4低血量敌人57矿等6导弹对黄a暴击
