0	Index      	 *	Score 	Summary	Detail	
1	21213 15346	 * 	277.14	橙橙2易伤2矿等	17基地爆炸2随机矿3最后敌人47矿等5双倍秒伤67易伤7序列升级8低血量敌人9a核
2	31123 13146	 * 	274.24	橙橙3易伤	1双倍秒伤2低血量敌人3敌人爆炸456易伤7基地爆炸8时间9a核
3	12251 15361	 * 	271.92	紫橙2易伤1伤害1攻速1暴击1全技能	1技能2掉矿39核4攻速5伤害6暴击7全技能8a易伤
4	22223 61626	   	269.73	橙橙2易伤1矿等	19基地爆炸2矿等39低血量敌人4掉矿5双倍秒伤6a核7时间89易伤9序列升级
5	33423 33246	   	269.53	橙橙2易伤1矿等	1双倍秒伤2最后敌人3低血量敌人45易伤6时间7掉矿8矿等9a核
6	31123 13346	   	265.94	橙橙3易伤	1双倍秒伤2低血量敌人3敌人爆炸456易伤7基地爆炸8最后敌人9a核
7	31123 63246	   	261.23	橙橙2易伤1矿等	1双倍秒伤2低血量敌人3敌人爆炸45易伤6最后敌人7掉矿8矿等9a核
8	22223 61146	   	258.94	橙橙2矿等1易伤	1基地爆炸28矿等3低血量敌人4掉矿5双倍秒伤6a核7时间9易伤
9	32423 61336	   	258.65	橙橙2易伤2时间	1双倍秒伤2基地爆炸3低血量敌人45易伤6a核79时间8敌人爆炸
10	11355 12213	 * 	253.46	橙橙1易伤2攻速1平台	1技能25攻速3随机矿4平台5序列升级6金币生成7易伤8a核9雷电
11	11355 62213	   	253.36	橙橙1易伤2攻速1平台	1技能25攻速3随机矿4平台5序列升级6掉矿7易伤8a核9雷电
12	12251 15362	   	252.65	紫橙1易伤1伤害1攻速1暴击1全技能	1技能2掉矿39核4攻速5伤害6暴击7全技能8易伤a核弹
13	31133 14146	   	252.30	橙橙2易伤	1双倍秒伤27低血量敌人34敌人爆炸57基地爆炸67易伤7序列升级8时间9a核
14	42312 23422	 * 	252.13	橙4易伤2伤害1矿等	1挖青235a易伤4a最后敌人6基地爆炸7核8矿等9a伤害a序列升级
15	42352 23422	   	252.13	橙4易伤2伤害1矿等	1挖青235a易伤4a敌人爆炸6基地爆炸7核8矿等9a伤害a序列升级
16	33423 61336	   	252.10	橙橙2易伤	1双倍秒伤2最后敌人3低血量敌人45易伤6a核7时间8敌人爆炸9立即金币
17	31123 25346	   	252.10	橙橙2易伤	1双倍秒伤2低血量敌人3敌人爆炸45易伤6时间7最后敌人8双倍矿9a核
18	31123 53146	   	252.10	橙橙2易伤	1双倍秒伤2低血量敌人36敌人爆炸45易伤7基地爆炸8时间9a核
19	31126 13146	   	252.10	橙橙2易伤	1双倍秒伤2低血量敌人3敌人爆炸46易伤5双倍矿7基地爆炸8时间9a核
20	31135 13146	   	252.10	橙橙2易伤	1双倍秒伤2低血量敌人34敌人爆炸56易伤7基地爆炸8时间9a核
21	32121 14146	   	252.10	橙橙2易伤	1双倍秒伤2基地爆炸3敌人爆炸46易伤5立即金币7低血量敌人8时间9a核
22	32122 14146	   	252.10	橙橙2易伤	1双倍秒伤2基地爆炸3敌人爆炸46易伤5双倍矿7低血量敌人8时间9a核
23	31125 11346	   	252.10	橙橙2易伤	1双倍秒伤2低血量敌人3敌人爆炸47易伤5最后敌人6时间8双倍矿9a核
24	33433 11346	   	252.10	橙橙2易伤	1双倍秒伤2最后敌人3低血量敌人4敌人爆炸57易伤6时间8双倍矿9a核
25	32423 61216	   	251.90	橙橙2易伤	1双倍秒伤2基地爆炸3低血量敌人45易伤6a核7时间89挖尘
26	33423 61216	   	251.90	橙橙2易伤	1双倍秒伤2最后敌人3低血量敌人45易伤6a核7时间89挖尘
27	13331 15361	   	251.61	紫橙2易伤1攻速1暴击1全技能1策反	1技能29核3策反4掉矿5攻速6暴击7全技能8a易伤
28	52516 11313	 * 	249.85	橙2易伤2伤害2矿等1暴击1平台	1平台27基地爆炸3赏金塔4a易伤57伤害67矿等7序列升级8核9暴击
29	55315 21213	 * 	248.47	橙橙2矿等1伤害1平台	1平台2技能3随机矿45矿等5序列升级6伤害7最后敌人8a核9雷电
30	55335 22213	 * 	247.22	橙橙1易伤1伤害1平台	1平台2技能3随机矿45掉矿5序列升级6伤害7易伤8a核9雷电
