0	Index      	 *	Score 	Summary	Detail	
1	43223 35325	 * 	305.60	橙橙3易伤1伤害1攻速	13a易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品
2	33233 54124	 * 	305.37	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4时间5易伤6敌人爆炸79矿等8a核
3	33233 24124	   	305.27	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4时间5易伤6挖青79矿等8a核
4	33233 64124	   	305.27	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4时间5易伤6挖尘79矿等8a核
5	33211 54124	   	297.07	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4易伤5基地爆炸6敌人爆炸79矿等8a核
6	33211 24124	   	296.97	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4易伤5基地爆炸6挖青79矿等8a核
7	33211 64124	   	296.97	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4易伤5基地爆炸6挖尘79矿等8a核
8	33216 34124	   	296.97	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3伤害4易伤5挖青6低血量敌人79矿等8a核
9	33333 54124	   	296.97	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3挖尘4伤害5易伤6敌人爆炸79矿等8a核
10	33631 24124	   	296.97	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3易伤4伤害5基地爆炸6挖青79矿等8a核
11	33333 24124	   	296.87	橙橙1易伤2矿等1伤害1攻速	1攻速2平台3挖尘4伤害5易伤6挖青79矿等8a核
12	33621 24413	   	292.10	橙橙2易伤1伤害1攻速	1攻速2平台36易伤4赏金邻近56敌人爆炸6序列升级7伤害8a核9雷电
13	41325 31533	   	289.38	橙橙3易伤1矿等1卖塔	158易伤2基地爆炸3矿等4卖塔6低血量敌人7金币生成9a核
14	41153 23533	   	285.64	橙橙3易伤1暴击	168易伤2基地爆炸3低血量敌人4暴击5激光减费7最后敌人9a核
15	32262 35522	 * 	283.61	橙橙1易伤2攻速1矿等	16攻速2全技能3平台46最后敌人5双倍矿6序列升级7a核8易伤9矿等
16	43223 35322	   	282.14	橙橙2易伤1伤害1攻速	13易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品a基地爆炸
17	43223 35323	   	282.14	橙橙2易伤1伤害1攻速	13易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品a额外掉落
18	43223 35326	   	282.14	橙橙2易伤1伤害1攻速	13易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品a金币生成
19	43223 35321	   	282.04	橙橙2易伤1伤害1攻速	13易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品a双倍秒伤
20	43223 35324	   	282.04	橙橙2易伤1伤害1攻速1卖塔	13易伤2伤害4攻速5赏金邻近69核7掉矿8双倍物品a卖塔
21	33211 52134	 * 	281.51	橙橙2伤害1易伤1攻速	1攻速2平台39伤害4易伤5基地爆炸6敌人爆炸7随机矿8a核
22	33631 52134	   	281.51	橙橙2伤害1易伤1攻速	1攻速2平台3易伤49伤害5基地爆炸6敌人爆炸7随机矿8a核
23	33211 22134	   	281.41	橙橙2伤害1易伤1攻速	1攻速2平台39伤害4易伤5基地爆炸6挖青7随机矿8a核
24	33211 62134	   	281.41	橙橙2伤害1易伤1攻速	1攻速2平台39伤害4易伤5基地爆炸6挖尘7随机矿8a核
25	33631 22134	   	281.41	橙橙2伤害1易伤1攻速	1攻速2平台3易伤49伤害5基地爆炸6挖青7随机矿8a核
26	33631 62134	   	281.41	橙橙2伤害1易伤1攻速	1攻速2平台3易伤49伤害5基地爆炸6挖尘7随机矿8a核
27	33663 22134	   	281.41	橙橙2伤害1易伤1攻速	1攻速2平台3易伤4基地爆炸59伤害6挖青7随机矿8a核
28	54343 23322	   	278.83	橙橙1易伤2全技能1矿等1攻速	1双倍矿2易伤3最后敌人47全技能5攻速6平台8a核9矿等
29	32313 36634	 * 	277.16	橙3易伤2攻速1伤害2暴击1矿等	1a攻速2全技能3a暴击4矿等5加一6伤害7核89a易伤a序列升级
30	41223 14124	   	277.00	橙橙1易伤2矿等1攻速	1易伤2基地爆炸3最后敌人4平台5技能6攻速79矿等8a核
