0	Index      	 *	Score 	Summary	Detail	
1	26531 23334	 * 	271.69	橙橙3易伤	1双倍秒伤256易伤34技能点7激光减费8a核9雷电
2	53332 53142	   	270.48	橙橙2易伤1攻速	1攻速2等级3额外掉落49易伤5时间6敌人爆炸7导弹对黄8a核
3	54132 33142	   	270.48	橙橙2易伤1攻速	1攻速2额外掉落3基地爆炸4等级5时间69易伤7导弹对黄8a核
4	54323 33142	   	270.48	橙橙2易伤1攻速	1攻速2额外掉落3时间4敌人爆炸5等级69易伤7导弹对黄8a核
5	53332 63142	   	270.38	橙橙2易伤1攻速	1攻速2等级3额外掉落49易伤5时间6挖尘7导弹对黄8a核
6	64321 33142	   	270.38	橙橙2易伤1攻速	1掉矿2额外掉落3时间4敌人爆炸5攻速69易伤7导弹对黄8a核
7	62211 33142	   	270.28	橙橙2易伤1攻速	1掉矿2时间3挖尘4额外掉落5攻速69易伤7导弹对黄8a核
8	31252 26334	   	266.16	橙橙2易伤1矿等	12双倍矿37易伤4矿等5敌人爆炸6低血量敌人8a核9雷电
9	52133 26531	 * 	259.80	紫橙1易伤2攻速1矿等2时间1平台	16攻速26时间3平台4a核5赏金邻近6序列升级7易伤8矿等9挖尘
10	31332 16334	   	256.83	橙橙2易伤	12双倍矿3挖青47易伤5时间6金币生成8a核9雷电
11	31332 36334	   	256.83	橙橙2易伤	12双倍矿3挖青47易伤5时间6随机矿8a核9雷电
12	31332 26334	   	256.73	橙橙2易伤	12双倍矿3挖青46易伤5时间7掉矿8a核9雷电
13	24211 46132	   	256.59	橙橙2易伤1策反	1双倍秒伤2技能3a易伤4策反5敌人爆炸6时间78核9低血量敌人
14	26442 13131	 * 	256.49	紫橙3易伤1攻速1策反	1双倍秒伤29a易伤3额外掉落47核5策反6攻速8雷电
15	31126 32326	 * 	253.79	橙橙1易伤2矿等	12双倍矿346雷电56矿等6序列升级7基地爆炸89核a易伤
16	46273 13122	 * 	251.19	紫橙3易伤	18核2挖青3加一4双倍秒伤57a易伤6敌人爆炸9时间
17	52133 45131	   	251.14	紫橙2易伤1攻速1平台	1攻速2时间3平台4a核5赏金邻近6掉矿79易伤8挖青
18	46245 43122	   	251.09	紫橙3易伤	18核2挖青3加一4挖尘57a易伤6双倍秒伤9时间
19	31221 26334	   	248.63	橙橙2易伤	12双倍矿37易伤4随机矿5基地爆炸6低血量敌人8a核9雷电
20	31222 26334	   	248.63	橙橙2易伤	12双倍矿37易伤4随机矿5敌人爆炸6低血量敌人8a核9雷电
21	24331 56132	 * 	248.62	橙橙1易伤1伤害	1双倍秒伤2技能3挖青4时间5伤害6敌人爆炸78核9挖尘a易伤
22	31221 46334	   	248.53	橙橙2易伤	12双倍矿37易伤4随机矿5基地爆炸6挖尘8a核9雷电
23	31226 26334	   	248.53	橙橙2易伤	12双倍矿37易伤4随机矿5挖尘6低血量敌人8a核9雷电
24	31334 26334	   	248.53	橙橙2易伤	12双倍矿3挖青47易伤5随机矿6低血量敌人8a核9雷电
25	31336 14334	   	248.43	橙橙2易伤	12双倍矿3挖青45易伤6金币生成7挖尘8a核9雷电
26	24211 36132	   	248.18	橙橙2易伤1策反	1双倍秒伤2技能3a易伤4策反5敌人爆炸6挖尘78核9低血量敌人
27	24211 36143	   	248.18	橙橙2易伤1策反	1双倍秒伤2技能3a易伤4策反5敌人爆炸6挖尘78核9金币生成
28	24211 66132	   	248.18	橙橙2易伤1策反	1双倍秒伤2技能3a易伤4策反5敌人爆炸6低血量敌人78核9挖青
29	46273 13124	 * 	247.79	紫橙2易伤1伤害	18核2挖青3加一4双倍秒伤57易伤6敌人爆炸9时间a伤害
30	46245 43124	   	247.69	紫橙2易伤1伤害	18核2挖青3加一4挖尘57易伤6双倍秒伤9时间a伤害
31	54633 12133	   	247.65	橙橙1易伤1攻速1暴击	1攻速2额外掉落3暴击4狙击对黄5易伤69核7掉矿8金币生成a立即金币
32	54633 12131	   	247.55	橙橙1易伤1攻速1暴击1策反	1攻速2额外掉落3暴击4狙击对黄5易伤69核7掉矿8金币生成a策反
33	54633 12132	   	247.55	橙橙1易伤1攻速1暴击1挖怪	1攻速2额外掉落3暴击4狙击对黄5易伤69核7掉矿8金币生成a挖怪
34	44231 34233	   	247.32	紫橙1易伤1伤害1攻速1暴击	18核2暴击3喷火对甲4雷电5伤害6金币生成7时间9易伤a攻速
35	24211 46133	   	246.04	橙橙1易伤1矿等1策反	1双倍秒伤2技能3易伤4策反5敌人爆炸6时间78核9低血量敌人a矿等
36	24211 46111	   	245.80	橙橙1易伤1矿等2策反	1双倍秒伤2技能3易伤49策反5敌人爆炸6时间78核a矿等
37	26442 13121	 * 	245.48	紫橙2易伤2攻速1策反	1双倍秒伤2a易伤3额外掉落47核5策反69攻速8雷电
38	46273 13123	   	245.26	紫橙2易伤1矿等	18核2挖青3加一4双倍秒伤57易伤6敌人爆炸9时间a矿等
39	46245 43123	   	245.16	紫橙2易伤1矿等	18核2挖青3加一4挖尘57易伤6双倍秒伤9时间a矿等
40	62112 31245	   	243.63	橙橙1伤害2时间1暴击1平台	1掉矿25时间3平台45激光对愈5序列升级6暴击7随机矿89核a伤害
41	46273 13144	   	243.09	紫橙3易伤	18核2挖青3加一4双倍秒伤57a易伤6a敌人爆炸9a金币生成a序列升级
42	51133 25231	   	242.93	紫橙2易伤1攻速1平台	1攻速2最后敌人3平台4a核5赏金邻近6掉矿79易伤8基地爆炸
43	46273 13132	   	242.79	紫橙3易伤	18核2挖青3加一4双倍秒伤57a易伤6敌人爆炸9挖尘
44	42115 11714	   	242.73	紫橙2易伤1攻速1全技能	1a核2核弹3低血量敌人48易伤5攻速6加一7掉矿9全技能
45	54132 33112	   	242.41	橙橙1易伤1攻速	1攻速2额外掉落39基地爆炸4等级5时间6易伤7导弹对黄8a核
46	54143 33112	   	242.41	橙橙1易伤1攻速	1攻速2额外掉落39基地爆炸4时间5等级6易伤7导弹对黄8a核
47	52133 26151	   	242.37	紫橙1易伤2攻速2时间1平台	16攻速26时间3平台4a核5赏金邻近6序列升级7易伤8最后敌人9金币生成
48	52133 26161	   	242.27	紫橙1易伤2攻速2时间1平台	16攻速26时间3平台4a核5赏金邻近6序列升级7易伤8最后敌人9掉矿
49	31256 43113	 * 	242.19	橙2易伤2矿等1伤害2时间1攻速	12双倍矿3a易伤4a矿等5伤害6攻速7核8a时间9技能a序列升级
