0	Index      	 *	Score 	Summary	Detail	
1	56212 25213	 * 	301.06	橙3易伤3矿等1等级1技能	14a矿等28a易伤3低血量敌人5技能6等级7核9a策反a序列升级
2	56112 25213	   	300.96	橙3易伤3矿等1等级1技能	14a矿等28a易伤3基地爆炸5技能6等级7核9a策反a序列升级
3	64225 43124	 * 	299.92	橙橙2伤害1等级1易伤1技能1卖塔	1技能2赏金邻近3加一4易伤5等级69伤害7a核8卖塔
4	56112 25332	   	283.45	橙2易伤2矿等1等级1伤害1技能	14矿等2a易伤3基地爆炸5技能6等级7核8时间9伤害
5	64631 12132	 * 	283.20	橙橙1等级1易伤1技能1暴击	1技能2赏金邻近3低血量敌人4易伤5赏金塔6a核7随机技能8暴击9等级
6	56212 23325	 * 	278.59	橙2易伤2矿等1等级2技能	14矿等27易伤3低血量敌人5a技能6等级8时间9核
7	56112 23125	   	278.49	橙2易伤2矿等1等级2技能	14矿等27易伤3基地爆炸5a技能6等级8时间9核
8	24221 15362	 * 	278.44	橙2矿等2伤害1易伤1等级2时间1暴击	1赏金塔2赏金邻近3a伤害4易伤5a时间6核7暴击8等级9a矿等a序列升级
9	23226 42336	 * 	275.85	橙2易伤2矿等3伤害1攻速	1赏金塔2金币生成358伤害45易伤5序列升级69矿等7攻速a核
10	51125 22632	   	272.04	橙3易伤3矿等1伤害	178矿等2双倍矿3赏金塔4额外掉落578掉矿678易伤78序列升级9伤害a核
11	51126 32632	   	272.04	橙3易伤3矿等1伤害	178矿等2双倍矿3赏金塔4额外掉落578易伤678掉矿78序列升级9伤害a核
12	51325 22632	   	272.04	橙3易伤3矿等1伤害	178矿等2双倍矿3赏金邻近4额外掉落578掉矿678易伤78序列升级9伤害a核
13	51326 32632	   	272.04	橙3易伤3矿等1伤害	178矿等2双倍矿3赏金邻近4额外掉落578易伤678掉矿78序列升级9伤害a核
14	53125 22632	   	271.94	橙3易伤3矿等1伤害	178矿等2火球减费3赏金塔4额外掉落578掉矿678易伤78序列升级9伤害a核
15	53126 32632	   	271.94	橙3易伤3矿等1伤害	178矿等2火球减费3赏金塔4额外掉落578易伤678掉矿78序列升级9伤害a核
16	53325 22632	   	271.94	橙3易伤3矿等1伤害	178矿等2火球减费3赏金邻近4额外掉落578掉矿678易伤78序列升级9伤害a核
17	53326 32632	   	271.94	橙3易伤3矿等1伤害	178矿等2火球减费3赏金邻近4额外掉落578易伤678掉矿78序列升级9伤害a核
18	56612 23332	   	271.79	橙2易伤2矿等1等级1技能	14矿等27易伤3时间5技能6等级8全技能9平台a核
