0	Index      	 *	Score 	Summary	Detail	
1	42311 62361	 * 	277.48	ACR|DCR|2VULN|2MLV|2DUR|1RPLT	19VULN|29MLV|3aRCR|4AME|5LWND|6RPLT|79DUR|8BELT|9BPWR
2	62312 53621	 * 	275.53	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|2MLV|3LEGI|45DMG|69RCR|7VULN|8NUKE|aRMIN
3	62312 53623	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|2MLV|3LEGI|45DMG|69RCR|7VULN|8NUKE|aLWND
4	62312 53622	   	275.43	DCR|DCR|2DMG|1VULN|1MLV	1TBNT|2MLV|3LEGI|45DMG|69RCR|7VULN|8NUKE|aERES
5	22514 31261	 * 	271.46	DCR|DCR|1VULN|2MLV|1RPLT	19DUST|29ERES|3RPLT|4BELT|5DUR|6aRCR|7VULN|89MLV|9BPWR
6	42343 13633	 * 	269.02	ACR|DCR|3VULN|1MLV	15aVULN|2MLV|38RCR|4BELT|6DUR|7TLV|9RCVC
7	42343 13613	   	268.78	ACR|DCR|3VULN|1MLV|1ZMB	15aVULN|2MLV|38RCR|4BELT|6DUR|7TLV|9ZMB
8	21163 53621	 * 	267.46	DCR|DCR|3MLV|1VULN	125DUST|358MLV|4MDPS|5BPWR|6aRCR|7VULN|9CGEN
9	62212 53153	 * 	262.88	DCR|3VULN|3DMG|1MLV	1TBNT|2MLV|37aVULN|459DMG|6RCR|8DUR
10	62212 53163	   	262.88	DCR|3VULN|3DMG|1MLV	1TBNT|2MLV|379VULN|45aDMG|6RCR|8DUR
11	42321 33255	   	260.72	ACR|DCR|3VULN|1MLV	169VULN|2MLV|3aRCR|4CGEN|5LWND|78RCVC
12	42321 33625	   	260.72	ACR|DCR|3VULN|1MLV	168VULN|2MLV|3aRCR|49CGEN|5LWND|7RCVC
13	42311 31255	   	260.52	ACR|DCR|3VULN|1MLV	169VULN|2MLV|3aRCR|47AME|5LWND|8RCVC
14	11166 23521	 * 	257.03	ACR|DCR|2VULN|1DMG|1MLV|2ZMB	18ZMB|28FEWX|3TBNT|49RCR|5MLV|6DMG|78VULN|8BPWR|aRMIN
15	11166 23523	 * 	257.03	ACR|DCR|2VULN|1DMG|1MLV|2ZMB	18ZMB|28FEWX|3TBNT|49RCR|5MLV|6DMG|78VULN|8BPWR|aLWND
16	11166 23522	 * 	256.93	ACR|DCR|2VULN|1DMG|1MLV|2ZMB	18ZMB|28FEWX|3TBNT|49RCR|5MLV|6DMG|78VULN|8BPWR|aERES
17	52526 31222	 * 	255.97	DCR|DCR|1VULN|3CDMG|1RPLT|1ZMB	167CDMG|2RPLT|3ZMB|47LHND|57BASARM|7BPWR|8VULN|9aRCR
18	22514 31231	   	255.85	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|49BELT|5DUR|6aRCR|7VULN|8MLV
19	31165 22124	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1AAC|2BBNT|3VENTOX|4ZMB|5DUR|6RPLT|79RCR|8MLV|aVULN
20	54111 14121	 * 	255.37	DCR|DCR|1VULN|2CDMG|2DUR	13CDMG|2TLV|4LIT|5aDUR|6VULN|79RCR|8LWND
21	42343 13632	   	255.22	ACR|DCR|2VULN|1MLV|1RPLT	15VULN|2MLV|38RCR|4BELT|6DUR|7TLV|9RCVC|aRPLT
22	12232 21414	   	254.88	ACR|DCR|2VULN|1MLV|1RPLT|1ZMB	1ZMB|2aVULN|37RCR|4DUR|5DUST|6RPLT|8MLV|9TLV
23	12232 21424	   	254.88	ACR|DCR|2VULN|1MLV|1RPLT|1ZMB	1ZMB|2aVULN|37RCR|4DUR|5DUST|6RPLT|8MLV|9AAC
24	42412 53331	   	254.57	DCR|3VULN|3DMG|1MLV	17aVULN|2MLV|3TBNT|459DMG|6RCR|8TLV
25	62212 53331	   	254.57	DCR|3VULN|3DMG|1MLV	1TBNT|2MLV|37aVULN|459DMG|6RCR|8TLV
26	62212 53431	   	254.47	DCR|3VULN|3DMG|1MLV	1TBNT|2MLV|37aVULN|459DMG|6RCR|8AME
27	62212 53531	   	254.33	DCR|3VULN|3DMG|1MLV|1ZMB	1TBNT|2MLV|37aVULN|459DMG|6RCR|8ZMB
28	12233 51652	 * 	254.15	ACR|DCR|2VULN|1DMG|2DUR|2ZMB	17ZMB|27VULN|39RCR|48DUR|5FRZARM|67ERES|7BPWR|aDMG
29	12234 51621	 * 	252.91	ACR|DCR|1VULN|2MLV|1DMG|1ZMB	1ZMB|2VULN|39RCR|4DUR|5TBNT|67MLV|8DMG|aRMIN
30	12234 51623	 * 	252.91	ACR|DCR|1VULN|2MLV|1DMG|1ZMB	1ZMB|2VULN|39RCR|4DUR|5TBNT|67MLV|8DMG|aLWND
31	12234 51622	 * 	252.81	ACR|DCR|1VULN|2MLV|1DMG|1ZMB	1ZMB|2VULN|39RCR|4DUR|5TBNT|67MLV|8DMG|aERES
32	12254 31222	   	252.50	ACR|DCR|3VULN|1RPLT|1ZMB	1ZMB|279VULN|3aRCR|4RPLT|58CGEN|6AME
33	12254 31322	   	252.50	ACR|DCR|3VULN|1RPLT|1ZMB	1ZMB|279VULN|3aRCR|4RPLT|5CGEN|6AME|8RCVC
34	12234 22212	 * 	251.01	ACR|DCR|2DMG|1VULN|1CDMG|1ZMB	1ZMB|2VULN|37RCR|4DUR|5TBNT|6aDMG|8BBNT|9CDMG
35	54111 14122	   	248.82	DCR|DCR|1VULN|2CDMG	13CDMG|2TLV|4aLIT|5DUR|6VULN|79RCR|8LWND
36	54111 14123	   	248.72	DCR|DCR|1VULN|2CDMG	13CDMG|2TLV|4LIT|5DUR|6VULN|79RCR|8LWND|aAME
37	62212 52124	   	248.58	DCR|3VULN|2DMG|1MLV|1RPLT	1TBNT|2MLV|38aVULN|45DMG|6RCR|7RPLT|9FEWX
38	62212 52136	   	248.58	DCR|3VULN|2DMG|1MLV|1RPLT	1TBNT|2MLV|38aVULN|45DMG|6RCR|7RPLT|9BELT
39	62212 52315	   	248.58	DCR|3VULN|2DMG|1MLV|1RPLT	1TBNT|2MLV|39aVULN|45DMG|6RCR|7RPLT|8TLV
40	62212 52114	   	248.48	DCR|3VULN|2DMG|1MLV|1RPLT	1TBNT|2MLV|38aVULN|45DMG|6RCR|7RPLT|9DUST
41	34162 22233	 * 	247.99	ACR|DCR|2VULN|1DMG	1AAC|2DUR|3TBNT|47RCR|5DUST|6DMG|8BEXP|9aVULN
42	12234 22244	   	247.95	ACR|DCR|2VULN|1DMG|2ZMB	1aZMB|2aVULN|37RCR|4DUR|5TBNT|6DMG|8BBNT|9aBEXP|aBPWR
43	12234 22264	   	247.95	ACR|DCR|2VULN|1DMG|2ZMB	1aZMB|2aVULN|37RCR|4DUR|5TBNT|6DMG|8BBNT|9aLWND|aBPWR
44	42315 32336	   	247.75	ACR|DCR|1VULN|2MLV|1ASPD|1AART|1SELL	1VULN|25MLV|3aRCR|45AME|5BPWR|6SELL|7AART|8ASPD|9LWND
45	12234 22116	   	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1ZMB|2aVULN|37RCR|4DUR|5TBNT|6DMG|8AAC|9ERES
46	12234 22436	   	247.75	ACR|DCR|2VULN|1DMG|1ZMB	1ZMB|2aVULN|37RCR|4DUR|5TBNT|6DMG|8CGEN|9AME
47	12234 22521	   	247.65	ACR|DCR|2VULN|1DMG|1ZMB	1ZMB|2aVULN|37RCR|4DUR|5TBNT|6DMG|8ERES|9AIRHEA
48	32132 52512	   	247.64	DCR|DCR|1VULN|1MLV|1RPLT	1AAC|2RPLT|3TBNT|4AIRARM|5MLV|6VULN|7aRCR|8LIT|9BBNT
49	22515 31231	   	247.54	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|4BELT|5BEXP|6aRCR|7VULN|8MLV|9RCVC
50	22515 31241	   	247.54	DCR|DCR|1VULN|1MLV|1RPLT	1DUST|2ERES|3RPLT|4BELT|59BEXP|6aRCR|7VULN|8MLV
