0	Index      	 *	Score 	Summary	Detail	
1	43122 61532	 * 	261.16	DCR|4VULN|3MLV|1AART	1AAC|2AART|389CGEN|4BBNT|589MLV|6RCR|789aVULN|89BPWR
2	66331 28341	 * 	259.89	DCR|2VULN|2DMG|2ASPD|3CDMG|1AART	159CDMG|25ASPD|3TBNT|4AART|59BPWR|6MBVNT|79DMG|89VULN|aRCR
3	45121 13123	 * 	254.63	DCR|3VULN|2DMG|2MLV	1AAC|28aVULN|38DMG|4LHND|5BEXP|6NUKE|78MLV|8BPWR|9RCR
4	45121 34123	   	254.63	DCR|3VULN|2DMG|2MLV	1AAC|28aVULN|38DMG|4LHND|5BEXP|68MLV|7NUKE|8BPWR|9RCR
5	45141 13123	   	254.63	DCR|3VULN|2DMG|2MLV	1AAC|28aVULN|38DMG|4LWND|5BEXP|6NUKE|78MLV|8BPWR|9RCR
6	66131 43123	 * 	253.62	DCR|DCR|2ASPD|1DMG|1CDMG	1CDMG|24ASPD|3DUR|5AIRARM|6aRCR|7LIT|8LWND|9DMG
7	45113 43123	 * 	253.23	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG	1AAC|28VULN|3DMG|45MDPS|68ASPD|78MLV|8BPWR|9RCR|aCDMG
8	51112 14132	 * 	252.75	ACR|DCR|3VULN|1AART	1AELOIC|2BEXP|39RCR|47aVULN|5TBNT|6TLV|8AART
9	52112 14132	   	252.75	ACR|DCR|3VULN|1AART	1AELOIC|2LWND|39RCR|47aVULN|5TBNT|6TLV|8AART
10	33623 13351	 * 	252.07	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|2LHND|3ASPD|4DUR|5TSLFST|6VULN|7aRCR|8LWND|9AART
11	34623 13351	   	252.07	DCR|DCR|1VULN|1ASPD|1AART	1FEWX|2LWND|3ASPD|4DUR|5TSLFST|6VULN|7aRCR|8LHND|9AART
12	45121 43123	   	250.79	DCR|3VULN|2MLV|1DMG|1ASPD	1AAC|28aVULN|3DMG|48LHND|5BEXP|6ASPD|78MLV|8BPWR|9RCR
13	12133 13556	 * 	248.62	DCR|DCR|1VULN|1DMG	1BASHEA|2FEWX|3MDPS|4DUST|5DMG|6LWND|7aRCR|8DUR|9VULN
14	43122 61141	 * 	247.64	DCR|DCR|1VULN|1MLV|1AART	1AAC|2AART|39CGEN|4BBNT|5MLV|6aRCR|7VULN|8MSLTOX
15	65212 11343	 * 	247.49	DCR|3VULN|2DMG|3CDMG	178CDMG|29LWND|39DMG|49aVULN|5MBVNT|6RCR|9BPWR
16	63141 43123	 * 	247.48	DCR|DCR|1DMG|2CDMG|1ASPD	13CDMG|2SPLREG|4DUR|5ASPD|6aRCR|7LIT|8LWND|9DMG
17	63131 43323	   	247.48	DCR|DCR|1DMG|2CDMG|1ASPD	13CDMG|2SPLREG|4LHND|5ASPD|6aRCR|7LIT|8DUR|9DMG
18	12551 34131	 * 	247.06	ACR|DCR|2DMG|1VULN|1AART	1BASHEA|2FEWX|35DMG|4aRCR|6DUR|7MDPS|8AART|9VULN
19	52116 42332	 * 	246.72	ACR|DCR|2VULN|1MLV|1AART	1AELOIC|2LWND|39RCR|4aVULN|5MDPS|6AART|7MLV|8LHND
20	52116 42132	   	246.62	ACR|DCR|2VULN|1MLV|1AART	1AELOIC|2LWND|39RCR|4aVULN|5MDPS|6AART|7MLV|8DUST
21	63221 42153	 * 	244.95	DCR|DCR|2CDMG|1MLV|1ASPD	17CDMG|2SPLREG|3CGEN|4MLV|5ASPD|69RCR|8DMSP|aDUR
22	63321 42153	   	244.85	DCR|DCR|2CDMG|1MLV|1ASPD	17CDMG|2SPLREG|3ERES|4MLV|5ASPD|69RCR|8DMSP|aDUR
23	45115 13123	   	244.72	DCR|2VULN|2DMG|2MLV|1CDMG	1AAC|28VULN|38DMG|4MDPS|5DMSP|6NUKE|78MLV|8BPWR|9RCR|aCDMG
24	12335 13245	   	244.70	DCR|3VULN|3MLV|1CDMG	189BASHEA|2FEWX|389MLV|4BEXP|5LWND|689VULN|7RCR|89BPWR|aCDMG
25	45113 13123	   	244.62	DCR|2VULN|2DMG|2MLV|1CDMG	1AAC|28VULN|38DMG|45MDPS|6NUKE|78MLV|8BPWR|9RCR|aCDMG
26	45113 34123	   	244.62	DCR|2VULN|2DMG|2MLV|1CDMG	1AAC|28VULN|38DMG|45MDPS|68MLV|7NUKE|8BPWR|9RCR|aCDMG
27	63221 42151	 * 	242.69	DCR|DCR|3CDMG|1MLV|1ASPD	17aCDMG|2SPLREG|3CGEN|4MLV|5ASPD|69RCR|8DMSP
28	63321 42151	   	242.59	DCR|DCR|3CDMG|1MLV|1ASPD	17aCDMG|2SPLREG|3ERES|4MLV|5ASPD|69RCR|8DMSP
29	66231 43123	   	241.17	DCR|DCR|1DMG|1ASPD|1CDMG	1CDMG|2ASPD|3RCVC|4DUR|5AIRARM|6aRCR|7LIT|8LWND|9DMG
30	43122 61531	   	241.01	DCR|3VULN|3MLV|1AART	1AAC|2AART|389CGEN|4BBNT|589MLV|6RCR|789VULN|89BPWR|aFEWX
