0	Index      	 *	Score 	Summary	Detail	
1	31626 21251	 * 	268.39	DCR|DCR|2VULN|1DMG	1FEWX|2ERES|3DUST|4FLTARM|5SPLREG|69RCR|7DMG|8aVULN
2	62321 21614	   	263.82	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG|aCDMG
3	22451 31361	 * 	263.27	DCR|2VULN|3DMG|3DUR|2CDMG|1AART	139DUR|23CDMG|39BPWR|4MBVNT|589DMG|6AART|79VULN|aRCR
4	62311 51352	   	261.29	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1CGEN|2VULN|3AART|4FEWX|5BELT|6CDMG|7MULHEA|8MLV|9aRCR
5	14312 75412	   	256.73	DCR|DCR|2VULN	1BELT|2MDPS|3MBVNT|49VULN|5LHND|68RCR|7LIT|aDUR
6	23212 43345	   	256.73	DCR|DCR|2VULN	1DUR|2FEWX|3TBNT|4BBNT|56VULN|7aRCR|8BLASTR|9DLOT
7	52332 23452	   	256.63	DCR|DCR|2VULN	1BASARM|28VULN|3VENICY|4AAC|5LEGI|69RCR|7DUR|aLIT
8	52332 23453	   	256.63	DCR|DCR|2VULN	1BASARM|28VULN|3VENICY|4AAC|5LEGI|69RCR|7DUR|aFEWX
9	63141 53113	 * 	256.58	DCR|2VULN|3DMG|2MLV|1RPLT	148CGEN|26MLV|3RPLT|58aDMG|78VULN|8BPWR|9RCR
10	52332 23451	   	256.53	DCR|DCR|2VULN	1BASARM|28VULN|3VENICY|4AAC|5LEGI|69RCR|7DUR|aERES
11	32333 61356	   	253.72	DCR|DCR|1VULN|1DMG|1CDMG|1SELL	1FEWX|2CDMG|3AIRARM|4VULN|5CANTOX|69RCR|7DUST|8SELL|aDMG
12	62321 21612	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG|aLIT
13	62321 21613	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1aCGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG
14	62321 26612	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7LWND|9DMG|aLIT
15	62321 26613	   	250.17	DCR|DCR|1VULN|1DMG|1AART	1aCGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7LWND|9DMG
16	62321 21611	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG|aDUST
17	62321 21615	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG|aLEGI
18	62321 21616	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9DMG|aMSLREG
19	62321 25612	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7DUST|9DMG|aLWND
20	62321 25613	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7DUST|9DMG|aRCVC
21	62321 26611	   	250.07	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7LWND|9DMG|aDUST
22	62321 25611	   	249.97	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7aDUST|9DMG
23	62335 11612	 * 	249.35	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5DUST|7BEXP|9DMG|aLWND
24	62335 11613	   	249.35	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5DUST|7BEXP|9DMG|aRCVC
25	62335 12612	   	249.35	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5DUST|7FEWX|9DMG|aLWND
26	62335 12613	   	249.35	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5DUST|7FEWX|9DMG|aRCVC
27	62335 11611	   	249.25	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5aDUST|7BEXP|9DMG
28	62335 12611	   	249.25	ACR|DCR|2VULN|1DMG|1AART	1CGEN|26VULN|3AART|48RCR|5aDUST|7FEWX|9DMG
29	21626 21151	   	248.62	DCR|DCR|1VULN|1DMG	1DUR|2ERES|3DUST|4FLTARM|5SPLREG|69RCR|7DMG|8FEWX|aVULN
30	21626 21251	   	248.62	DCR|DCR|1VULN|1DMG	1DUR|2ERES|3DUST|4FLTARM|5SPLREG|69RCR|7DMG|8LHND|aVULN
31	14312 75411	   	248.43	DCR|DCR|2VULN	1BELT|2MDPS|3MBVNT|49VULN|5LHND|68RCR|7aLIT
32	14312 75414	   	248.43	DCR|DCR|2VULN	1BELT|2MDPS|3MBVNT|49VULN|5LHND|68RCR|7LIT|aFEWX
33	52261 34333	   	248.43	DCR|DCR|2VULN	1BASARM|24VULN|349LIT|4BPWR|5DUST|6DLOT|7aRCR|8FEWX
34	14312 75413	   	248.33	DCR|DCR|2VULN	1BELT|2MDPS|3MBVNT|49VULN|5LHND|68RCR|7LIT|aBLAICY
35	52433 11352	   	248.18	DCR|DCR|2VULN|1ZMB	1BASARM|24VULN|3ZMB|5FLTHEA|6BEXP|7DUST|89RCR|aLIT
36	52433 11353	   	248.18	DCR|DCR|2VULN|1ZMB	1BASARM|24VULN|3ZMB|5FLTHEA|6BEXP|7DUST|89RCR|aBELT
37	52433 11351	   	248.08	DCR|DCR|2VULN|1ZMB	1BASARM|24VULN|3ZMB|5FLTHEA|6BEXP|7DUST|89RCR|aERES
38	14521 33412	   	247.64	DCR|DCR|1VULN|1MLV|1RPLT	1BELT|2MDPS|3RPLT|4LHND|5TBNT|6AAC|7VULN|89RCR|aMLV
39	11263 21352	   	247.40	DCR|DCR|1VULN|1MLV|1AART|1SELL	1BELT|2FEWX|3VULN|4CGEN|5SELL|6AART|7MULHEA|8MLV|9aRCR
40	62332 24612	   	247.11	ACR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2VULN|3AART|48RCR|5ERES|6DUR|7MLV|9DMG|aLIT
41	62332 24613	   	247.11	ACR|DCR|1VULN|1DMG|1MLV|1AART	1aCGEN|2VULN|3AART|48RCR|5ERES|6DUR|7MLV|9DMG
42	62332 24611	   	247.01	ACR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2VULN|3AART|48RCR|5ERES|6DUR|7MLV|9DMG|aDUST
43	63514 23113	   	246.17	DCR|2VULN|3DMG|1MLV|2RPLT	18CGEN|2MLV|38aDMG|45RPLT|6RCVC|78VULN|8BPWR|9RCR
44	62315 24233	 * 	245.71	DCR|2VULN|3MLV|1DMG|1AART	17CGEN|27VULN|3AART|4FEWX|5DUR|679MLV|7BPWR|8DMG|aRCR
45	63251 23113	   	244.82	DCR|2VULN|2DMG|2MLV|1CDMG	18CGEN|28MLV|3CDMG|4MBVNT|5aDMG|6RCVC|78VULN|8BPWR|9RCR
46	62233 46221	   	244.72	DCR|2VULN|2DMG|2MLV|1ASPD	1aCGEN|29VULN|3MDPS|4aMLV|5DUST|6ASPD|7aDMG|8RCR|aBPWR
47	62321 21624	   	243.66	DCR|DCR|1VULN|1CDMG|1AART	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9AME|aCDMG
48	32451 31361	   	243.40	DCR|2VULN|3DMG|2CDMG|1AART	139FEWX|23CDMG|39BPWR|4MBVNT|589DMG|6AART|79VULN|aRCR
49	22231 14353	   	242.61	DCR|2VULN|2DMG|2CDMG|2DUR|1AART	19DUR|27CDMG|3AAC|4AART|5RMIN|69VULN|89DMG|9BPWR|aRCR
50	22451 31313	   	242.41	DCR|2VULN|2DMG|2CDMG|2DUR|1AART	13DUR|23CDMG|3BPWR|4MBVNT|58DMG|6AART|79VULN|aRCR
51	62531 25113	   	241.58	ACR|DCR|2VULN|1ASPD	1CGEN|2aVULN|3BEXP|4ASPD|58RCR|6LWND|7VENFST|9DUR
52	62531 52133	   	241.48	ACR|DCR|2VULN|1ASPD	1CGEN|2aVULN|3BEXP|4ASPD|58RCR|6BASICY|7DUR|9DUST
53	63141 23113	   	240.97	DCR|2VULN|3DMG|1MLV|1RPLT	148CGEN|2MLV|3RPLT|58aDMG|6RCVC|78VULN|8BPWR|9RCR
54	63141 53111	   	240.93	DCR|2VULN|2DMG|2MLV|1RPLT	148CGEN|26MLV|3RPLT|58DMG|78VULN|8BPWR|9RCR|aBEXP
55	63141 53112	   	240.93	DCR|2VULN|2DMG|2MLV|1RPLT	148CGEN|26MLV|3RPLT|58DMG|78VULN|8BPWR|9RCR|aLIT
56	21331 26155	 * 	240.50	DCR|DCR|2MLV|1ASPD	1DUR|24ERES|3DMSP|56MLV|79RCR|8RCVC|aASPD
57	31626 21252	   	240.21	DCR|DCR|1VULN|1DMG|1MSE	1FEWX|2ERES|3DUST|4FLTARM|5SPLREG|69RCR|7DMG|8VULN|aMSE
58	31626 21253	   	240.21	DCR|DCR|1VULN|1DMG	1FEWX|2ERES|3DUST|4FLTARM|5SPLREG|69RCR|7DMG|8VULN|aVENICY
59	33154 22531	   	239.87	DCR|DCR|1VULN|1AART|1RPLT	124FEWX|3RPLT|5CGEN|68RCR|7BELT|9VULN|aAART
60	62321 21642	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9FEWX|aRPLT
61	62321 21652	   	239.77	DCR|DCR|1VULN|1AART|1RPLT	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9RPLT|aAAC
62	62321 21651	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7BEXP|9RPLT|aAIRARM
63	62321 21653	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1CGEN|2VULN|3AART|4RMIN|5aERES|68RCR|7BEXP|9RPLT
64	62321 25632	   	239.67	DCR|DCR|1VULN|1AART|1RPLT	1CGEN|2VULN|3AART|4RMIN|5ERES|68RCR|7DUST|9BEXP|aRPLT
65	62335 12632	   	238.94	ACR|DCR|2VULN|1AART|1RPLT	1CGEN|26VULN|3AART|48RCR|5DUST|7FEWX|9BEXP|aRPLT
66	62332 14612	   	238.80	ACR|DCR|1VULN|1DMG|1MLV|1AART	1CGEN|2VULN|3AART|48RCR|5ERES|6LHND|7MLV|9DMG|aLIT
67	62332 14613	   	238.80	ACR|DCR|1VULN|1DMG|1MLV|1AART	1aCGEN|2VULN|3AART|48RCR|5ERES|6LHND|7MLV|9DMG
