0	Index      	 *	Score 	Summary	Detail	
1	13661 12621	 * 	285.44	DCR|DCR|3VULN|1ASPD	1RCVC|27DUST|37SPLJET|457VULN|6MDPS|7BPWR|8ASPD|9aRCR
2	36251 12321	   	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|2CANTOX|3CGEN|4MLV|56VULN|7ASPD|8FEWX|9aRCR
3	36251 12421	   	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|2CANTOX|3CGEN|4MLV|56VULN|7ASPD|8LHND|9aRCR
4	36251 33421	   	279.71	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|2CANTOX|3CGEN|4MLV|58VULN|6BEXP|7ASPD|9aRCR
5	36151 33421	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1LWND|2CANTOX|3AME|4MLV|58VULN|6BEXP|7ASPD|9aRCR
6	66251 12121	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1BEXP|2CANTOX|3CGEN|4MLV|56VULN|7ASPD|8LEGI|9aRCR
7	66251 12321	   	279.61	DCR|DCR|2VULN|1MLV|1ASPD	1BEXP|2CANTOX|3CGEN|4MLV|56VULN|7ASPD|8DUST|9aRCR
8	21341 63421	   	279.51	DCR|DCR|2VULN|1MLV|1ASPD	1AELOIC|2MDPS|3MLV|46VULN|5ASPD|7CGEN|8TSLARM|9aRCR
9	12166 12621	   	277.13	DCR|DCR|2VULN|2DUR|1ASPD	1RCVC|27DUR|37DUST|4LWND|5FLTARM|67VULN|7BPWR|8ASPD|9aRCR
10	12165 12621	   	277.03	DCR|DCR|2VULN|2DUR|1ASPD	1RCVC|27DUR|37DUST|4LWND|5AIRHEA|67VULN|7BPWR|8ASPD|9aRCR
11	36251 43321	 * 	275.63	DCR|DCR|2DMG|1VULN|1MLV	1LWND|2CANTOX|3CGEN|4MLV|5VULN|67DMG|8FEWX|9aRCR
12	36151 43321	   	275.53	DCR|DCR|2DMG|1VULN|1MLV	1LWND|2CANTOX|3AME|4MLV|5VULN|67DMG|8FEWX|9aRCR
13	13216 12621	   	270.58	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37BEXP|4DUR|5FLTARM|67VULN|7BPWR|8ASPD|9aRCR
14	36342 12621	   	270.58	DCR|DCR|2VULN|1ASPD	17LWND|27CANTOX|3DUR|4BEXP|57VULN|6RCVC|7BPWR|8ASPD|9aRCR
15	61116 12621	   	270.58	DCR|DCR|2VULN|1ASPD	17BEXP|2DMSP|37DUST|4DUR|5FLTARM|67VULN|7BPWR|8ASPD|9aRCR
16	63116 12621	   	270.58	DCR|DCR|2VULN|1ASPD	17BEXP|2RCVC|37DUST|4DUR|5FLTARM|67VULN|7BPWR|8ASPD|9aRCR
17	12533 62421	   	270.48	DCR|DCR|2VULN|1ASPD	1RCVC|2DUR|3ASPD|4FEWX|5LWND|6FLTFST|78VULN|9aRCR
18	13215 12621	   	270.48	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37BEXP|4DUR|5AIRHEA|67VULN|7BPWR|8ASPD|9aRCR
19	36313 13421	   	270.48	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|3DUR|4CGEN|5ASPD|68VULN|7RMIN|9aRCR
20	61115 12621	   	270.48	DCR|DCR|2VULN|1ASPD	17BEXP|2DMSP|37DUST|4DUR|5AIRHEA|67VULN|7BPWR|8ASPD|9aRCR
21	63115 12621	   	270.48	DCR|DCR|2VULN|1ASPD	17BEXP|2RCVC|37DUST|4DUR|5AIRHEA|67VULN|7BPWR|8ASPD|9aRCR
22	12524 12421	   	270.38	DCR|DCR|2VULN|1ASPD	1RCVC|2DUR|3ASPD|45VULN|6FEWX|7LEGI|8BLAICY|9aRCR
23	62143 11433	 * 	269.19	ACR|DCR|2VULN|2ASPD|2RPLT	18BEXP|2AAC|3DUR|48VULN|5aRCR|68ASPD|79RPLT|8BPWR
24	34621 33421	 * 	268.49	DCR|DCR|2VULN|1DMG	1LWND|2LHND|35VULN|4FEWX|6DMG|7AELOIC|8BLAICY|9aRCR
25	13216 43621	   	266.41	DCR|DCR|2DMG|1VULN	1RCVC|2DUST|3BEXP|4DUR|5FLTARM|67DMG|8VULN|9aRCR
26	13215 43621	   	266.31	DCR|DCR|2DMG|1VULN	1RCVC|2DUST|3BEXP|4DUR|5AIRHEA|67DMG|8VULN|9aRCR
27	36451 11321	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	1LWND|2CANTOX|3ZMB|4MLV|56VULN|7CGEN|8FEWX|9aRCR
28	21342 63421	   	265.61	DCR|DCR|2VULN|1MLV|1ZMB	1AELOIC|2MDPS|3MLV|46VULN|5ZMB|7CGEN|8TSLARM|9aRCR
29	62143 11413	   	263.99	ACR|DCR|2VULN|2ASPD|1RPLT	18BEXP|29AAC|3DUR|48VULN|5aRCR|68ASPD|7RPLT|8BPWR
30	13266 12621	   	262.28	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37BEXP|4LWND|5FLTARM|67VULN|7BPWR|8ASPD|9aRCR
31	11533 62421	   	262.18	DCR|DCR|2VULN|1ASPD	1RCVC|2LHND|3ASPD|4FEWX|5LWND|6FLTFST|78VULN|9aRCR
32	13265 12621	   	262.18	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37BEXP|4LWND|5AIRHEA|67VULN|7BPWR|8ASPD|9aRCR
33	66213 13421	   	262.18	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3CGEN|4LWND|5ASPD|68VULN|7RMIN|9aRCR
34	13632 12621	   	262.08	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37SPLJET|4BEXP|5LWND|67VULN|7BPWR|8ASPD|9aRCR
35	13633 12621	   	262.08	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|37SPLJET|4BEXP|5LHND|67VULN|7BPWR|8ASPD|9aRCR
36	36263 13421	   	262.08	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|3CGEN|4DUST|5ASPD|68VULN|7RMIN|9aRCR
37	36512 12321	   	262.08	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|36VULN|4CGEN|5AME|7ASPD|8FEWX|9aRCR
38	36512 12421	   	262.08	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|36VULN|4CGEN|5AME|7ASPD|8LHND|9aRCR
39	36512 33421	   	262.08	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|38VULN|4CGEN|5AME|6BEXP|7ASPD|9aRCR
40	66113 13421	   	262.08	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3AME|4LWND|5ASPD|68VULN|7RMIN|9aRCR
41	66123 11421	   	262.08	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3AME|46VULN|5ASPD|7CGEN|8LHND|9aRCR
42	36163 13421	   	261.98	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|3AME|4DUST|5ASPD|68VULN|7RMIN|9aRCR
43	36633 22421	   	261.98	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|3RMIN|4LEGI|5ASPD|6ERES|78VULN|9aRCR
44	66113 22421	   	261.98	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3AME|4LWND|5ASPD|6ERES|78VULN|9aRCR
45	66123 11121	   	261.98	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3AME|46VULN|5ASPD|7CGEN|8LEGI|9aRCR
46	66123 11321	   	261.98	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3AME|46VULN|5ASPD|7CGEN|8DUST|9aRCR
47	66225 12121	   	261.98	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3CGEN|46VULN|5ERES|7ASPD|8LEGI|9aRCR
48	66225 12321	   	261.98	DCR|DCR|2VULN|1ASPD	1BEXP|2CANTOX|3CGEN|46VULN|5ERES|7ASPD|8DUST|9aRCR
49	13661 13621	   	261.88	DCR|DCR|2VULN|1ASPD	1RCVC|27DUST|3SPLJET|45VULN|6MDPS|8ASPD|9aRCR
50	36163 22421	   	261.88	DCR|DCR|2VULN|1ASPD	1LWND|2CANTOX|3AME|4DUST|5ASPD|6ERES|78VULN|9aRCR
51	21543 11433	   	260.58	ACR|DCR|2VULN|2ASPD|2RPLT	18AELOIC|2MDPS|3AAC|48VULN|5aRCR|68ASPD|79RPLT|8BPWR
52	12522 13421	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1RCVC|2DUR|3ASPD|4VULN|5ERES|6MLV|7FEWX|8TSLARM|9aRCR
53	12522 16421	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1RCVC|2DUR|3ASPD|4VULN|5ERES|6MLV|7LHND|8TSLARM|9aRCR
54	21343 33532	   	259.01	ACR|DCR|2VULN|1MLV|1ASPD	1AELOIC|2MDPS|3MLV|4aVULN|59RCR|6DUR|7TBNT|8ASPD
55	32123 55421	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2CGEN|3RCVC|4VULN|5LHND|6MLV|7DMG|8TSLARM|9aRCR
56	36251 34331	   	258.05	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2CANTOX|3CGEN|4MLV|5VULN|6BEXP|7aRCR|8RCVC|9DMG
57	13631 43121	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2DUST|3SPLJET|4BEXP|5VULN|67DMG|8LHND|9aRCR
58	13632 43621	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2DUST|3SPLJET|4BEXP|5LWND|67DMG|8VULN|9aRCR
59	13633 43621	   	258.00	DCR|DCR|2DMG|1VULN	1RCVC|2DUST|3SPLJET|4BEXP|5LHND|67DMG|8VULN|9aRCR
60	36512 43321	   	258.00	DCR|DCR|2DMG|1VULN	1LWND|2CANTOX|3VULN|4CGEN|5AME|67DMG|8FEWX|9aRCR
61	13234 33421	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2DUST|3BEXP|4MLV|5VULN|6DMG|7CGEN|8TSLARM|9aRCR
62	36151 34331	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1LWND|2CANTOX|3AME|4MLV|5VULN|6BEXP|7aRCR|8RCVC|9DMG
63	61134 33421	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2DMSP|3DUST|4MLV|5VULN|6DMG|7CGEN|8TSLARM|9aRCR
64	63134 33421	   	257.95	DCR|DCR|1VULN|1DMG|1MLV	1BEXP|2RCVC|3DUST|4MLV|5VULN|6DMG|7CGEN|8TSLARM|9aRCR
65	13234 36421	   	257.85	DCR|DCR|1VULN|1DMG|1MLV	1RCVC|2DUST|3BEXP|4MLV|5VULN|6DMG|7ERES|8TSLARM|9aRCR
66	21345 33421	   	257.85	DCR|DCR|1VULN|1DMG|1MLV	1AELOIC|2MDPS|3MLV|4VULN|5RCVC|6DMG|7CGEN|8TSLARM|9aRCR
67	32243 21531	 * 	257.22	ACR|DCR|2VULN|1DMG|1MLV	1LWND|2CGEN|3BEXP|46VULN|5aRCR|7MLV|8VENICY|9DMG
68	36312 13421	   	256.83	DCR|DCR|2VULN	1LWND|2CANTOX|3DUR|4CGEN|5AAC|68VULN|7RMIN|9aRCR
