0	Index      	 *	Score 	Summary	Detail	
1	34822 43416	 * 	289.81	DCR|DCR|2VULN|1CDMG|1AART|1RPLT	1RPLT|2MBVNT|3CDMG|4AART|5DUR|69VULN|7aRCR|8LIT
2	52171 14483	 * 	276.23	ACR|DCR|3VULN|2MLV	1MBVNT|29DUST|3BELT|49MLV|56RCR|789VULN|9BPWR|aRMIN
3	52171 14481	   	276.13	ACR|DCR|3VULN|2MLV|1ZMB	1MBVNT|29DUST|3BELT|49MLV|56RCR|789VULN|9BPWR|aZMB
4	52171 14482	   	276.13	ACR|DCR|3VULN|2MLV	1MBVNT|29DUST|3BELT|49MLV|56RCR|789VULN|9BPWR|aMULARM
5	52171 14484	   	276.13	ACR|DCR|3VULN|2MLV	1MBVNT|29DUST|3BELT|49MLV|56RCR|789VULN|9BPWR|aERES
6	24333 21137	 * 	274.43	DCR|DCR|2VULN|3CDMG	1aVULN|245CDMG|3CANSTR|6BEXP|7MBVNT|89RCR
7	52171 14181	 * 	266.83	ACR|DCR|2VULN|3MLV	1MBVNT|29DUST|3BELT|489MLV|56RCR|79VULN|9BPWR|aRCVC
8	52171 14182	   	266.83	ACR|DCR|2VULN|3MLV	1MBVNT|29DUST|3BELT|489MLV|56RCR|79VULN|9BPWR|aBEXP
9	52171 14183	   	266.83	ACR|DCR|2VULN|3MLV	1MBVNT|29DUST|3BELT|489MLV|56RCR|79VULN|9BPWR|aRMIN
10	52171 14184	   	266.83	ACR|DCR|2VULN|3MLV	1MBVNT|29DUST|3BELT|489MLV|56RCR|79VULN|9BPWR|aFEWX
11	53311 12418	 * 	266.21	DCR|DCR|2DMG|1VULN	1MBVNT|2LIT|36DMG|4DUR|5VULN|7aRCR|8BASICY|9TSLARM
12	58311 12418	   	266.21	DCR|DCR|2DMG|1VULN	1MBVNT|26DMG|3LIT|4DUR|5VULN|7aRCR|8BASICY|9TSLARM
13	51171 11633	   	261.07	ACR|DCR|2VULN|2MLV	1MBVNT|2FEWX|3BELT|49MLV|56RCR|7DUR|8aVULN
14	52171 11633	   	260.97	ACR|DCR|2VULN|2MLV	1MBVNT|2DUST|3BELT|49MLV|56RCR|7DUR|8aVULN
15	51171 14463	   	260.62	ACR|DCR|3VULN|1MLV	1MBVNT|2FEWX|3BELT|4MLV|56RCR|78aVULN|9LHND
16	51171 14483	   	260.62	ACR|DCR|3VULN|1MLV	1MBVNT|2FEWX|3BELT|4MLV|56RCR|78aVULN|9BEXP
17	51171 14443	   	260.52	ACR|DCR|3VULN|1MLV	1MBVNT|2FEWX|3BELT|4MLV|56RCR|78aVULN|9DUST
18	52171 14413	   	260.52	ACR|DCR|3VULN|1MLV	1MBVNT|2DUST|3BELT|4MLV|56RCR|78aVULN|9BEXP
19	52171 14423	   	260.52	ACR|DCR|3VULN|1MLV	1MBVNT|2DUST|3BELT|4MLV|56RCR|78aVULN|9FEWX
20	52171 14463	   	260.52	ACR|DCR|3VULN|1MLV	1MBVNT|2DUST|3BELT|4MLV|56RCR|78aVULN|9LHND
21	51171 13343	   	260.47	ACR|DCR|2VULN|1MLV|1CDMG|1RPLT	1MBVNT|2FEWX|3BELT|4MLV|56RCR|7RPLT|8CDMG|9aVULN
22	52171 14436	   	260.42	ACR|DCR|3VULN|1MLV	1MBVNT|2aDUST|3BELT|4MLV|56RCR|78aVULN|9aERES|aBPWR
23	52171 14445	   	260.37	ACR|DCR|2VULN|1MLV|1ASPD|1RPLT	1MBVNT|2DUST|3BELT|4MLV|56RCR|78VULN|9RPLT|aASPD
