0	Index      	 *	Score 	Summary	Detail	
1	34132 54121	 * 	358.01	DCR|2MDPS|2VULN|1DUR	12BOSS|3DUR|4RAT|5BBNT|6RCR|7aVULN|89MDPS
2	34132 54122	   	358.01	DCR|2MDPS|1VULN|1DUR	12BOSS|3DUR|4RAT|5BBNT|6RCR|7VULN|89MDPS|aBEXP
3	34132 54123	   	358.01	DCR|2MDPS|1VULN|1DUR	12BOSS|3DUR|4RAT|5BBNT|6RCR|7VULN|89MDPS|aDUST
4	42222 11335	 * 	357.15	DCR|2VULN|1MDPS|1TLV|1DUR	1TLV|2DUST|3LIT|47VULN|5ERES|6RCR|8TBNT|9DUR|aMDPS
5	25125 35323	 * 	352.74	3VULN|1MDPS|2CDMG|2DMG|1DUR	18CDMG|258VULN|3RAT|4DUR|68DMG|7BBNT|8BPWR|9MLV|aMDPS
6	25125 35333	 * 	352.74	DCR|3VULN|2CDMG|2DMG|1DUR	18CDMG|258VULN|3RAT|4DUR|68DMG|7BBNT|8BPWR|9RCR|aLIT
7	25125 35331	   	352.64	DCR|3VULN|2CDMG|2DMG|1DUR	18CDMG|258VULN|3RAT|4DUR|68DMG|7BBNT|8BPWR|9RCR|aDUST
8	25125 35332	   	352.64	DCR|3VULN|2CDMG|2DMG|1DUR	18CDMG|258VULN|3RAT|4DUR|68DMG|7BBNT|8BPWR|9RCR|aTSLARM
9	34133 42613	   	351.31	DCR|2VULN|1MDPS|1DMG|1DUR	12BOSS|3DUR|4RAT|5CGEN|6RCR|79VULN|8DMG|aMDPS
10	34153 11352	   	351.21	DCR|2VULN|1MDPS|1DMG|1DUR	12BOSS|3DUR|47VULN|5LWND|6RCR|8SPLREG|9DMG|aMDPS
11	25125 12613	 * 	348.80	DCR|3VULN|1CDMG|1TLV|1DMG|1DUR	1CDMG|259VULN|3RAT|4DUR|6FEWX|7TLV|8DMG|aRCR
12	33125 11245	   	340.28	DCR|3VULN|2DMG|1CDMG|1DUR	1BOSS|245VULN|35DMG|5BPWR|6RPLT|7DUR|8RMIN|9RCR|aCDMG
13	33125 11145	   	340.18	DCR|3VULN|2DMG|1CDMG|1DUR	1BOSS|245VULN|35DMG|5BPWR|6RPLT|7DUR|8AME|9RCR|aCDMG
14	33125 11311	   	340.18	DCR|3VULN|2DMG|1CDMG|1DUR	1BOSS|245VULN|35DMG|5BPWR|6RPLT|7DUR|8AEFRZ|9RCR|aCDMG
15	33125 43633	   	340.18	DCR|3VULN|2DMG|1CDMG|1DUR	1BOSS|245VULN|35DMG|5BPWR|6AETHUN|7BEXP|8RCR|9DUR|aCDMG
16	35353 11261	 * 	338.18	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8BEXP|aDUR
17	31353 11261	   	338.08	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8BEXP|aDUR
18	35353 11161	   	338.08	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2CGEN|3TLV|47VULN|5LWND|69RCR|8DUST|aDUR
19	31353 11161	   	337.98	DCR|DCR|2VULN|1TLV|1DUR	1BOSS|2ERES|3TLV|47VULN|5LWND|69RCR|8DUST|aDUR
20	34133 42113	   	331.24	DCR|2VULN|1MDPS|1DUR	12BOSS|3DUR|4RAT|5CGEN|6RCR|79VULN|8ZMB|aMDPS
21	33424 33165	   	331.14	DCR|2VULN|1MDPS|1DUR	1BOSS|27VULN|3LWND|4MBVNT|5FEWX|6DUR|8RCR|9LHND|aMDPS
22	34133 42313	   	331.14	DCR|2VULN|1MDPS|1DUR	12BOSS|3DUR|4RAT|5CGEN|6RCR|79VULN|8AME|aMDPS
23	34153 11511	   	331.14	DCR|2VULN|1MDPS|1DUR	12BOSS|3DUR|47VULN|5LWND|6RCR|8LIT|9BBNT|aMDPS
24	33424 33145	   	331.04	DCR|2VULN|1MDPS|1DUR	1BOSS|27VULN|3LWND|4MBVNT|5FEWX|6DUR|8RCR|9DUST|aMDPS
25	23413 21266	 * 	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1CDMG|2AEBURN|3TLV|4DUR|5VULN|6BBNT|7LHND|8LWND|9RCR|aMDPS
26	23413 21366	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	1CDMG|2AEBURN|3TLV|4DUR|5VULN|6BBNT|7LHND|8FEWX|9RCR|aMDPS
27	25113 35235	 * 	329.78	DCR|1MDPS|1VULN|2CDMG|2DUR	16CDMG|2VULN|3RAT|4AAC|56DUR|6BPWR|7BBNT|8AEWIND|9RCR|aMDPS
28	25125 12113	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1CDMG|259VULN|3RAT|4DUR|6FEWX|7TLV|8ZMB|aRCR
29	25125 12213	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1CDMG|259VULN|3RAT|4DUR|6FEWX|7TLV|8CGEN|aRCR
30	25125 42113	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1CDMG|259VULN|3RAT|4DUR|6LWND|7TLV|8ZMB|aRCR
31	25125 42213	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	1CDMG|259VULN|3RAT|4DUR|6LWND|7TLV|8CGEN|aRCR
32	25125 23163	   	328.64	DCR|3VULN|1CDMG|1TLV|1DUR	1CDMG|257VULN|3RAT|4DUR|6ASPD|8BOSS|9RCR|aTLV
