0	Index      	 *	Score 	Summary	Detail	
1	15114 14212	 * 	396.87	DCR|2MDPS|1VULN|2DUR|1TLV	1ZMB|2VULN|38DUR|4CGEN|5TLV|6RCR|7LWND|9aMDPS
2	15152 31532	 * 	394.89	DCR|3VULN|1MDPS|1DMG|1DUR	1ZMB|257VULN|3DUR|4ERES|6DMG|8ASPD|9RCR|aMDPS
3	15114 12412	   	384.22	DCR|2MDPS|1VULN|2DUR|1TLV|1MSE	1ZMB|2VULN|38DUR|4CGEN|5TLV|6RCR|7MSE|9aMDPS
4	15114 13122	   	384.22	DCR|2MDPS|1VULN|1TLV|1DUR	19ZMB|2VULN|3DUR|4CGEN|5TLV|6RCR|7aMDPS|8FEWX
5	15114 13132	   	384.22	DCR|2MDPS|1VULN|1TLV|1DUR	1ZMB|2VULN|3DUR|4CGEN|5TLV|6RCR|7aMDPS|8FEWX|9AEBURN
6	15114 13422	   	384.22	DCR|2MDPS|1VULN|1TLV|1DUR	19ZMB|2VULN|3DUR|4CGEN|5TLV|6RCR|7aMDPS|8DUST
7	15114 13432	   	384.22	DCR|2MDPS|1VULN|1TLV|1DUR	1ZMB|2VULN|3DUR|4CGEN|5TLV|6RCR|7aMDPS|8DUST|9AEBURN
8	15154 13122	   	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	19ZMB|2VULN|3DUR|4ERES|5TLV|6RCR|7aMDPS|8FEWX
9	15154 13132	   	384.12	DCR|2MDPS|1VULN|1TLV|1DUR	1ZMB|2VULN|3DUR|4ERES|5TLV|6RCR|7aMDPS|8FEWX|9AEBURN
10	15125 25231	 * 	382.44	DCR|2VULN|1MDPS|3DUR|1CDMG	1ZMB|25VULN|356DUR|4BBNT|5BPWR|7RCR|8LEGI|9CDMG|aMDPS
11	16115 32242	   	375.03	DCR|3VULN|1MDPS|1DUR	1ZMB|2LHND|3DUR|4CGEN|5LWND|689VULN|7RCR|aMDPS
12	24115 32242	   	374.93	DCR|3VULN|1MDPS|1DUR	1LEGI|2ZMB|3DUR|4CGEN|5LWND|689VULN|7RCR|aMDPS
13	25321 33134	   	374.83	DCR|3VULN|1MDPS|1DUR	1LEGI|2DUR|3RMIN|4BBNT|5BEXP|689VULN|7RCR|aMDPS
14	34121 33134	   	374.83	DCR|3VULN|1MDPS|1DUR	1DUST|2CGEN|3DUR|4BBNT|5BEXP|689VULN|7RCR|aMDPS
15	32121 33134	   	374.73	DCR|3VULN|1MDPS|1DUR	1DUST|2ERES|3DUR|4BBNT|5BEXP|689VULN|7RCR|aMDPS
16	34123 33134	   	374.73	DCR|3VULN|1MDPS|1DUR	1DUST|2CGEN|3DUR|4BBNT|5LEGI|689VULN|7RCR|aMDPS
17	32123 33134	   	374.63	DCR|3VULN|1MDPS|1DUR	1DUST|2ERES|3DUR|4BBNT|5LEGI|689VULN|7RCR|aMDPS
18	25112 35433	   	371.00	DCR|2VULN|1MDPS|1CDMG|2DUR	1LEGI|24DUR|3FEWX|56VULN|7BEXP|8RCR|9CDMG|aMDPS
19	16152 62212	   	370.57	DCR|2MDPS|1VULN|2DUR	1ZMB|2LHND|38DUR|4ERES|5VULN|6CGEN|7RCR|9aMDPS
20	24152 62212	   	370.47	DCR|2MDPS|1VULN|2DUR	1LEGI|2ZMB|38DUR|4ERES|5VULN|6CGEN|7RCR|9aMDPS
21	62235 12242	   	369.70	DCR|2VULN|1MDPS|2DUR|1TLV	16DUR|2ERES|3LIT|4DUST|5TLV|7RCR|89VULN|aMDPS
