0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64132 26121	7	 * 	291.20	DCR|5VULN|3DUR|1DMG	12345VULN|6DMG|78aDUR|9RCR
2	46236 11313	2	 * 	290.34	ACR|4VULN|3DMG|3DUR|2AART	139DUR|239DMG|39BPWR|4RCR|5aAART|6789VULN
3	64163 33122	3	 * 	289.35	DCR|4VULN|3DUR|2DMG	123aVULN|4LHND|5aDMG|6TBNT|78aDUR|9RCR|aBPWR
4	64233 32522	3	   	289.35	DCR|4VULN|3DUR|2DMG	128aVULN|3LWND|47aDUR|5aDMG|6TBNT|9RCR|aBPWR
5	61212 34531	5	 * 	287.74	DCR|5VULN|2DUR|2CDMG|1AART	1368aVULN|2AART|4aDUR|5RPLT|7RCR|9aCDMG|aBPWR
6	61232 15163	9	 * 	285.56	DCR|4VULN|3DMG|2LIT|1AART	139aVULN|2AART|4ZMB|59LIT|679DMG|8RCR|9BPWR
7	61211 42223	6	 * 	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	139VULN|2AART|49DUR|5FEWX|6RCR|7aDMG|89CDMG|9BPWR
8	61213 42223	6	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	139VULN|2AART|49DUR|5BEXP|6RCR|7aDMG|89CDMG|9BPWR
9	61141 42223	6	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	149VULN|2AART|39DUR|5FEWX|6RCR|7aDMG|89CDMG|9BPWR
10	61143 42223	6	   	283.21	DCR|3VULN|2DMG|2DUR|2CDMG|1AART	149VULN|2AART|39DUR|5BEXP|6RCR|7aDMG|89CDMG|9BPWR
11	46236 11312	2	   	282.57	ACR|4VULN|3DMG|3DUR|1AART	139DUR|239DMG|39BPWR|4RCR|5AART|6789VULN|aFEWX
12	64233 32622	3	 * 	282.36	DCR|3VULN|3DMG|3DUR	12aVULN|3LWND|47aDUR|58aDMG|6TBNT|9RCR|aBPWR
