0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11525 31432	7	 * 	287.46	DCR|4VULN|3DUR|3CDMG|1AART	1LEGI|239aVULN|4AART|569DUR|79aCDMG|8RCR|9aBPWR
2	22225 63113	3	   	283.33	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1aLIT|2MLV|348aVULN|5TLV|6RCR|7CDMG|9aDUR|aBPWR
3	22235 63113	4	   	283.33	DCR|4VULN|2DUR|1TLV|2LIT|1CDMG	1aLIT|2MLV|348aVULN|5TLV|6RCR|7CDMG|9aDUR|aBPWR
4	11166 32136	9	 * 	276.12	DCR|4VULN|2DMG|2DUR	1LEGI|249aVULN|3ZMB|59DMG|6BELT|7RCR|89DUR|9BPWR
5	11232 62451	9	 * 	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|6LHND|79aDMG|8RCR|aBPWR
6	33422 52252	10	 * 	273.55	DCR|3VULN|2DMG|2DUR|2CDMG	1RCVC|29DUR|368VULN|4DMSP|59CDMG|79DMG|9BPWR|aRCR
7	11232 36332	6	 * 	272.41	DCR|3VULN|2DMG|3TLV|1DUR|1CDMG	1LEGI|258VULN|3CDMG|478TLV|68DMG|8BPWR|9DUR|aRCR
8	11232 31251	6	   	272.11	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|6DMG|7RCR|8RCVC|9aDUR|aBPWR
9	11252 42252	9	 * 	271.29	DCR|4VULN|2DMG|3CDMG	1LEGI|2589VULN|349CDMG|6RCVC|79DMG|9BPWR|aRCR
10	11166 32133	10	 * 	269.14	DCR|3VULN|3DMG|2DUR	1LEGI|249VULN|3ZMB|59aDMG|6BELT|7RCR|89DUR|9BPWR
11	11524 31215	8	   	268.42	DCR|3VULN|2DMG|2TLV|1DUR|1AART	1LEGI|23aVULN|4AART|5MBVNT|6DUR|7aTLV|8aDMG|9RCR|aBPWR
12	22225 63623	3	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1aLIT|2MLV|34aVULN|5TLV|6RCR|7CDMG|8RMIN|9aDMG|aBPWR
13	22235 63623	4	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	1aLIT|2MLV|34aVULN|5TLV|6RCR|7CDMG|8RMIN|9aDMG|aBPWR
14	11252 52216	10	 * 	267.01	DCR|5VULN|1DMG|2CDMG	1LEGI|2568aVULN|34CDMG|7DMG|9RCR
