0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36324 13151	5	 * 	289.25	DCR|4VULN|3DUR|2DMG	1268VULN|349DUR|58DMG|78DUST|8BPWR|aRCR
2	36324 12161	6	 * 	289.10	DCR|3VULN|3DMG|2DUR|2TLV	129VULN|34DUR|569DMG|79TLV|8BBNT|9BPWR|aRCR
3	34121 42141	6	 * 	287.54	DCR|4VULN|2DMG|3CDMG|1DUR	1567VULN|2DUR|379CDMG|47DMG|7BPWR|8BBNT|aRCR
4	34121 42241	6	   	287.54	DCR|4VULN|2DMG|3CDMG|1DUR	1567VULN|2DUR|379CDMG|47DMG|7BPWR|8TBNT|aRCR
5	13235 33354	6	 * 	287.25	DCR|4VULN|3DMG|3CDMG	1RMIN|28aDMG|3FEWX|478aVULN|58aCDMG|6RCR|8aBPWR|9RCVC
6	36322 15226	7	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1279VULN|34DUR|5ASPD|68DMG|aRCR
7	36324 11126	8	   	287.03	DCR|4VULN|2DMG|2DUR|1ASPD	1279VULN|34DUR|56DMG|8ASPD|aRCR
8	36532 12613	9	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	125aVULN|3RPLT|4LWND|6aDMG|7AART|8RCR|9aDUR|aBPWR
9	36532 32613	9	   	285.89	DCR|4VULN|2DMG|2DUR|1AART	125aVULN|3RPLT|4LWND|6AART|7aDMG|8RCR|9aDUR|aBPWR
10	12451 13631	2	 * 	284.79	DCR|5VULN|2DMG|2CDMG	1RMIN|28CDMG|3589aVULN|4BBNT|68DMG|7RCR|8BPWR
11	36322 16151	3	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|378DUR|4FEWX|5TLV|67DMG|7BPWR|9CGEN|aRCR
12	36322 16151	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|378DUR|4FEWX|5TLV|67DMG|7BPWR|9CGEN|aRCR
13	32122 16531	1	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|257DUR|3MLV|4LHND|67DMG|7BPWR|9TLV|aRCR
14	32153 16131	1	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|278DUR|3MLV|5LHND|67DMG|7BPWR|9TLV|aRCR
15	32222 16531	1	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|257DUR|3CGEN|4LHND|67DMG|7BPWR|9TLV|aRCR
16	32253 16131	1	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|278DUR|3CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
17	32533 16531	1	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|237DUR|4CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
18	34122 16531	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|257DUR|3MLV|4LHND|67DMG|7BPWR|9TLV|aRCR
19	34153 16131	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|278DUR|3MLV|5LHND|67DMG|7BPWR|9TLV|aRCR
20	34222 16531	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|257DUR|3CGEN|4LHND|67DMG|7BPWR|9TLV|aRCR
21	34222 16531	3	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|257DUR|3CGEN|4LHND|67DMG|7BPWR|9TLV|aRCR
22	34253 16131	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|278DUR|3CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
23	34253 16131	3	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|278DUR|3CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
24	34262 16131	6	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	167VULN|278DUR|3CGEN|4LHND|57DMG|7BPWR|9TLV|aRCR
25	36316 16131	5	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|378DUR|4LWND|5CGEN|67DMG|7BPWR|9TLV|aRCR
26	36333 16131	3	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|378DUR|4CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
27	36333 16131	2	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	127VULN|378DUR|4CGEN|5LHND|67DMG|7BPWR|9TLV|aRCR
