0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33121 31514	4	 * 	315.73	DCR|5VULN|2DMG|2DUR|2CDMG	1356aVULN|29DMG|4aCDMG|7RCR|8aDUR|aBPWR
2	32553 17322	6	 * 	307.55	DCR|5VULN|3DUR|1DMG|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV
3	32553 17322	5	   	307.55	DCR|5VULN|3DUR|1DMG|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV
4	32553 17343	6	   	302.31	DCR|5VULN|3DUR|1DMG|1ASPD	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9ASPD
5	32553 17343	5	   	302.31	DCR|5VULN|3DUR|1DMG|1ASPD	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9ASPD
6	32553 12354	8	 * 	299.01	DCR|4VULN|3DUR|2DMG	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9aDMG
7	33121 31564	4	   	298.14	DCR|5VULN|2DUR|1DMG|2CDMG	1356aVULN|2DMG|4aCDMG|7RCR|8aDUR|9RCVC|aBPWR
8	32553 12344	8	   	297.67	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9TLV|aDMG
9	32553 17244	6	   	297.67	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8AART|9TLV|aDMG
10	32553 17244	5	   	297.67	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8AART|9TLV|aDMG
11	32553 12122	10	   	297.15	DCR|5VULN|3DUR|1TLV	14568VULN|2MBVNT|345DUR|45BPWR|7AART|9TLV|aRCR
12	32553 17342	6	   	296.42	DCR|4VULN|3DUR|1DMG|1CDMG|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9ASPD|aCDMG
13	32553 17342	5	   	296.42	DCR|4VULN|3DUR|1DMG|1CDMG|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9ASPD|aCDMG
