0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56132 42113	8	 * 	300.78	DCR|4VULN|2DMG|2DUR|1TLV	17DUR|2378VULN|4LIT|5LHND|67DMG|7BPWR|9TLV|aRCR
2	51272 32524	10	 * 	300.11	DCR|3VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78aVULN|9RCR
3	13325 43225	5	 * 	293.78	DCR|5VULN|2DUR|3CDMG	17aCDMG|2347aVULN|5AART|6RCR|7aBPWR|8BBNT|9aDUR
4	51412 62373	2	 * 	292.12	DCR|3VULN|3DMG|3DUR	148DUR|2MBVNT|348DMG|48BPWR|5AART|68aVULN|7RMIN|9RCR
5	51412 62373	3	   	292.12	DCR|3VULN|3DMG|3DUR	148DUR|2MBVNT|348DMG|48BPWR|5AART|68aVULN|7RMIN|9RCR
6	33143 36225	3	 * 	287.56	DCR|4VULN|3DUR|3CDMG	1RCVC|239aVULN|49aDUR|5BBNT|6AART|7RCR|89aCDMG|9aBPWR
7	33143 36225	2	   	287.56	DCR|4VULN|3DUR|3CDMG	1RCVC|239aVULN|39aBPWR|49aDUR|5BBNT|6AART|7RCR|89aCDMG
8	26136 42113	8	   	286.20	DCR|4VULN|2DMG|1DUR|1TLV	17LHND|2378VULN|4LIT|5DUR|67DMG|7BPWR|9TLV|aRCR
9	13325 43353	5	   	285.67	DCR|5VULN|3CDMG|2AART|2LIT	17aCDMG|2347aVULN|59AART|6RCR|7aBPWR|8aLIT
10	56132 42133	9	   	284.53	DCR|4VULN|2DMG|2DUR	17DUR|2378VULN|4LIT|5LHND|67DMG|7BPWR|9CGEN|aRCR
11	56132 42113	9	   	284.43	DCR|4VULN|2DMG|2DUR	17DUR|2378VULN|4LIT|5LHND|67DMG|7BPWR|9ERES|aRCR
12	51272 22543	10	   	284.36	DCR|3VULN|2DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|58DMG|789VULN|8BPWR|aRCR
13	13325 21361	9	 * 	283.48	DCR|3VULN|2DMG|2CDMG|1TLV|2LIT	18CDMG|234VULN|5AART|68LIT|78DMG|8BPWR|9RCR|aTLV
14	51473 47313	8	   	282.46	DCR|3VULN|3DMG|3DUR	14aDUR|2MBVNT|348DMG|4aBPWR|5aZMB|69aVULN|7RCR
15	26611 24313	10	   	280.56	DCR|3VULN|3DUR|2DMG|1CDMG	18LHND|25aVULN|358DUR|4BELT|58BPWR|6RCR|78DMG|9CDMG
16	13325 21362	10	   	278.23	DCR|3VULN|2DMG|2CDMG|2LIT|1ASPD	18CDMG|234VULN|5AART|68LIT|78DMG|8BPWR|9RCR|aASPD
17	33425 42113	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|278VULN|37DUR|4LWND|5LIT|67DMG|7BPWR|9TLV|aRCR
18	33432 42113	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|278VULN|37DUR|4LIT|5LHND|67DMG|7BPWR|9TLV|aRCR
19	52125 42113	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2DMSP|378VULN|4LWND|5LIT|67DMG|7BPWR|9TLV|aRCR
20	52132 42113	8	   	278.14	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2DMSP|378VULN|4LIT|5LHND|67DMG|7BPWR|9TLV|aRCR
21	35232 43225	2	 * 	275.01	DCR|4VULN|2DMG|2TLV	12RCVC|39DMG|4569VULN|7AART|89TLV|9BPWR|aRCR
22	13433 22135	10	 * 	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	1aCDMG|25aVULN|3BEXP|4DUR|67aDMG|8RCR|9RPLT|aBPWR
23	13315 43225	5	   	274.24	DCR|4VULN|2DUR|3CDMG	17aCDMG|237aVULN|4RCVC|5AART|6RCR|7aBPWR|8BBNT|9aDUR
24	13325 42225	5	   	274.14	DCR|4VULN|2DUR|3CDMG	17aCDMG|234aVULN|5AART|6RCR|8BBNT|9aDUR|aBPWR
25	13325 43115	5	 * 	273.58	DCR|4VULN|1DMG|2CDMG|1DUR	17CDMG|2347VULN|5AART|6RCR|7BPWR|8DUR|9RCVC|aDMG
26	13315 43135	5	   	273.58	DCR|4VULN|1DMG|2CDMG|1DUR	17CDMG|2379VULN|4RCVC|5AART|6RCR|7BPWR|8DUR|aDMG
27	44222 15113	7	   	273.53	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD|1SELL	1DMG|2SELL|368VULN|456DUR|6BPWR|7RCR|9CDMG|aASPD
28	44321 15113	7	   	273.53	DCR|3VULN|3DUR|1DMG|1CDMG|1ASPD|1SELL	1DMG|2SELL|346DUR|568VULN|6BPWR|7RCR|9CDMG|aASPD
29	13325 42135	5	   	273.48	DCR|4VULN|1DMG|2CDMG|1DUR	17CDMG|2349VULN|5AART|6RCR|8DUR|aDMG
30	13433 24161	6	 * 	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17CDMG|257VULN|3BEXP|48DUR|67DMG|7BPWR|9TBNT|aRCR
31	13433 24423	6	   	273.45	DCR|3VULN|2DMG|2DUR|2CDMG	17CDMG|257VULN|3BEXP|49DUR|67DMG|7BPWR|8ERES|aRCR
32	51272 32326	7	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9CGEN|aRCR
33	51272 32521	9	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aLHND
34	51272 32521	10	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aLWND
35	51272 32523	10	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aRCVC
36	51272 32523	9	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aFEWX
37	51272 32524	9	   	273.20	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aBEXP
38	51272 32522	9	   	273.10	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aDUST
39	51272 32522	10	   	273.10	DCR|2VULN|3DMG|2DUR|2ASPD	18DUR|2MBVNT|3AART|46ASPD|568DMG|68BPWR|78VULN|9RCR|aDUST
40	13325 43131	5	   	273.05	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aRCVC
41	13325 43132	5	   	273.05	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aBEXP
42	13325 43133	5	   	273.05	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aBELT
43	13325 43135	5	   	273.05	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aFEWX
44	13325 43134	5	   	272.95	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aTBNT
45	13325 43136	5	   	272.95	DCR|5VULN|2CDMG|1DUR	17CDMG|23479VULN|5AART|6RCR|7BPWR|8DUR|aERES
46	45112 21316	1	   	272.23	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	136DMG|23CGEN|36BPWR|4TLV|56VULN|7CDMG|8aDUR|9RCR
47	44222 11126	6	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|368aVULN|456DUR|6BPWR|7LWND|9RCR
48	44222 11126	7	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|368aVULN|456DUR|6BPWR|7LHND|9RCR
49	44222 12126	7	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|368aVULN|456DUR|6BPWR|7LWND|9RCR
50	44222 13326	6	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|367aVULN|456DUR|6BPWR|8BEXP|9RCR
51	44321 11126	7	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|346DUR|568aVULN|6BPWR|7LHND|9RCR
52	44321 11126	6	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|346DUR|568aVULN|6BPWR|7LWND|9RCR
53	44321 12126	7	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|346DUR|568aVULN|6BPWR|7LWND|9RCR
54	44321 13326	6	 * 	271.52	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|346DUR|567aVULN|6BPWR|8BEXP|9RCR
55	56132 42211	7	   	271.45	DCR|3VULN|2DMG|2DUR	17DUR|237VULN|4LIT|5LHND|67DMG|7BPWR|8BBNT|9RCR|aAART
56	44222 13226	6	 * 	271.42	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|367aVULN|456DUR|6BPWR|8DUST|9RCR
57	44321 13226	6	 * 	271.42	DCR|4VULN|3DUR|1DMG|1SELL	1DMG|2SELL|346DUR|567aVULN|6BPWR|8DUST|9RCR
58	51412 63351	2	   	271.35	DCR|3VULN|2DMG|2DUR	14DUR|2MBVNT|34DMG|4BPWR|5AART|679VULN|8RCR|aLIT
59	51412 63351	3	   	271.35	DCR|3VULN|2DMG|2DUR	14DUR|2MBVNT|34DMG|4BPWR|5AART|679VULN|8RCR|aLIT
