0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16652 23321	8	 * 	296.53	DCR|3VULN|3DUR|2DMG|3LIT	159LIT|2BELT|3aDMG|4AART|69aDUR|79aVULN|8RCR|9aBPWR
2	32431 15213	7	 * 	291.88	DCR|4VULN|3DMG|2DUR	18BEXP|29DUR|38aDMG|4568VULN|7RCR|8BPWR
3	32433 15243	7	   	291.88	DCR|4VULN|3DMG|2DUR	18BEXP|25DUR|38aDMG|4689VULN|7RCR|8BPWR
4	32431 15263	7	 * 	290.84	DCR|5VULN|2DMG|1DUR	18BEXP|2DUR|38DMG|4568aVULN|7RCR|8BPWR|9AART
5	32431 15212	7	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	18BEXP|29DUR|38DMG|4568VULN|7RCR|8BPWR|aASPD
6	32433 15242	7	   	287.23	DCR|4VULN|2DMG|2DUR|1ASPD	18BEXP|25DUR|38DMG|4689VULN|7RCR|8BPWR|aASPD
7	32433 15263	7	   	285.89	DCR|4VULN|2DMG|2DUR	18BEXP|25DUR|38DMG|468aVULN|7RCR|8BPWR|9AART
8	32431 15242	7	   	281.18	DCR|5VULN|2DMG|1DUR	18BEXP|2DUR|38DMG|45689VULN|7RCR|8BPWR|aFEWX
9	32431 15243	7	   	281.08	DCR|5VULN|2DMG|1DUR	18BEXP|2DUR|38DMG|45689VULN|7RCR|8BPWR|aLEGI
10	31431 15213	7	   	277.29	DCR|4VULN|3DMG|1DUR	18BEXP|2LWND|38aDMG|4568VULN|7RCR|8BPWR|9DUR
11	32431 15223	7	   	277.29	DCR|4VULN|3DMG|1DUR	18BEXP|2DUR|38aDMG|4568VULN|7RCR|8BPWR|9FEWX
12	33431 15213	7	   	277.29	DCR|4VULN|3DMG|1DUR	18BEXP|2LHND|38aDMG|4568VULN|7RCR|8BPWR|9DUR
13	32431 15233	7	   	277.19	DCR|4VULN|3DMG|1DUR	18BEXP|2DUR|38aDMG|4568VULN|7RCR|8BPWR|9LEGI
14	32413 15223	7	   	276.42	DCR|4VULN|2DMG|2DUR	148BEXP|2aDUR|38DMG|568aVULN|7RCR|8aBPWR|9aLHND
15	32413 15233	7	   	276.42	DCR|4VULN|2DMG|2DUR	148BEXP|2aDUR|38DMG|568aVULN|7RCR|8aBPWR|9aLWND
16	31413 15253	7	   	276.42	DCR|4VULN|2DMG|2DUR	148BEXP|2aLWND|38DMG|568aVULN|7RCR|8aBPWR|9aDUR
17	33413 15233	7	   	276.42	DCR|4VULN|2DMG|2DUR	148BEXP|2aLHND|38DMG|568aVULN|7RCR|8aBPWR|9aDUR
18	32431 15143	9	   	276.22	DCR|4VULN|2DMG|2DUR	1aBEXP|28DUR|3aDMG|456aVULN|7RCR|9RPLT|aBPWR
19	31431 15215	7	   	276.22	DCR|4VULN|2DMG|2DUR	18BEXP|2LWND|38DMG|4568VULN|7RCR|8BPWR|9aDUR
