0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56132 32113	9	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1RPLT|238DUR|48DMG|578VULN|6MBVNT|8BPWR|9CDMG|aRCR
2	36331 23322	1	 * 	278.33	DCR|3VULN|3DMG|2TLV|2CDMG	1RCVC|29CDMG|3TBNT|469VULN|568DMG|69BPWR|79TLV|aRCR
3	32166 33432	3	 * 	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|2DMSP|39DUR|4LWND|569aVULN|7RCR|89DMG|9BPWR
4	34236 33432	3	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569aVULN|7RCR|89DMG|9BPWR
5	34236 33432	2	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569aVULN|7RCR|89DMG|9BPWR
6	31236 43432	2	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|259aVULN|34LWND|69DUR|7RCR|89DMG|9BPWR
7	31236 43432	3	   	276.22	DCR|4VULN|2DMG|2DUR	1RCVC|259aVULN|34LWND|69DUR|7RCR|89DMG|9BPWR
8	31514 33512	4	 * 	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	1RCVC|268aVULN|38TLV|48DUR|5RMIN|7RCR|8BPWR|9ASPD
9	31524 33512	3	   	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	1RCVC|268aVULN|38TLV|48DUR|5RMIN|7RCR|8BPWR|9ASPD
10	56136 13222	4	 * 	269.09	DCR|3VULN|3DUR|2TLV|1DMG	1RPLT|239DUR|4DMG|5TBNT|689VULN|79TLV|9BPWR|aRCR
11	56131 33511	2	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|29DUR|3RMIN|49aVULN|5CDMG|6RCR|7DUST|89DMG|9BPWR
12	55111 33511	1	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|29aVULN|3RMIN|49DUR|5CDMG|6RCR|7DUST|89DMG|9BPWR
13	31254 33433	3	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|269VULN|3LWND|459DUR|7RCR|89DMG|9BPWR|aBEXP
14	31254 33433	2	   	266.81	DCR|3VULN|3DUR|2DMG	1RCVC|269VULN|3LWND|459DUR|7RCR|89DMG|9BPWR|aBEXP
15	31254 33432	3	   	266.71	DCR|3VULN|3DUR|2DMG	1RCVC|269VULN|3LWND|459DUR|7RCR|89DMG|9BPWR|aERES
16	31254 33432	2	   	266.71	DCR|3VULN|3DUR|2DMG	1RCVC|269VULN|3LWND|459DUR|7RCR|89DMG|9BPWR|aERES
17	31114 33551	4	 * 	265.65	DCR|4VULN|3DUR|1CDMG	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aCDMG
18	31124 33551	3	   	265.65	DCR|4VULN|3DUR|1CDMG	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aCDMG
19	32235 22145	1	   	262.93	DCR|4VULN|2DUR|1TLV	1RCVC|2TBNT|36DUR|456aVULN|6BPWR|7TLV|8LIT|9RCR
20	61151 32225	6	   	261.16	DCR|4VULN|3DUR|1AART	189ERES|2DUST|3AART|4789VULN|589DUR|6LEGI|89BPWR|aRCR
