0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36323 43362	7	 * 	274.54	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	1LEGI|28aDMG|3aLIT|4TLV|59DUR|6aVULN|7RCR|aBPWR
2	11455 32221	5	 * 	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	12LIT|3569VULN|45DUR|5BPWR|7DMG|8CDMG|aRCR
3	32533 31283	2	 * 	271.40	DCR|3VULN|3DMG|3DUR	1LEGI|2MBVNT|3RPLT|489VULN|5DUST|689DMG|789DUR|89BPWR|aRCR
4	44612 32221	5	 * 	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	13TLV|2369VULN|3BPWR|4CGEN|5LIT|7DMG|8CDMG|aRCR
5	44612 32221	4	   	271.39	DCR|4VULN|2TLV|1DMG|1CDMG	13TLV|2369VULN|3BPWR|4CGEN|5LIT|7DMG|8CDMG|aRCR
6	44622 32221	4	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	13TLV|2369VULN|3BPWR|4ERES|5LIT|7DMG|8CDMG|aRCR
7	44622 32221	5	   	271.29	DCR|4VULN|2TLV|1DMG|1CDMG	13TLV|2369VULN|3BPWR|4ERES|5LIT|7DMG|8CDMG|aRCR
8	13166 32153	3	 * 	268.50	DCR|3VULN|3DMG|1TLV|2LIT	19LIT|2TLV|3RCVC|469VULN|579DMG|8BELT|9BPWR|aRCR
9	13244 31423	8	   	267.89	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	18LIT|28TLV|3RPLT|4ASPD|5DMG|6RCR|789VULN|8BPWR|aDUR
10	13355 13411	10	 * 	267.46	DCR|3VULN|3DUR|1TLV|2LIT	15LIT|2TLV|3ASPD|456DUR|5BPWR|79aVULN|8RCR
11	44142 31121	4	 * 	267.43	DCR|2VULN|2DMG|2TLV|2ASPD|1DUR|1CDMG	18TLV|28VULN|3CDMG|46ASPD|5BELT|78DMG|8BPWR|9RCR|aDUR
12	32531 31287	2	 * 	265.41	ACR|3VULN|3DMG|3DUR|1TLV	1LEGI|2MBVNT|3RPLT|489VULN|5RCR|689DMG|789DUR|89BPWR|aTLV
13	21615 31162	4	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LHND|2579VULN|3aDUR|48DMG|6RCR
14	21615 31162	3	   	263.47	DCR|4VULN|2DMG|2DUR	1LHND|2579VULN|3aDUR|48DMG|6RCR
15	24315 31162	2	   	263.47	DCR|4VULN|2DMG|2DUR	1LHND|2aDUR|3579VULN|48DMG|6RCR
16	26315 31162	1	   	263.47	DCR|4VULN|2DMG|2DUR	1LHND|2aDUR|3579VULN|48DMG|6RCR
17	44342 32221	5	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2469VULN|3LIT|5MLV|7DMG|8CDMG|aRCR
18	44343 32221	4	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1TLV|2469VULN|3LIT|5CGEN|7DMG|8CDMG|aRCR
19	13355 13412	10	 * 	262.83	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	15LIT|2TLV|3ASPD|456DUR|5BPWR|79VULN|8RCR|aDMG
20	21615 31163	4	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1LHND|2579VULN|3DUR|48DMG|6RCR|aCDMG
21	21615 31163	3	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1LHND|2579VULN|3DUR|48DMG|6RCR|aCDMG
22	24315 31163	2	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1LHND|2DUR|3579VULN|48DMG|6RCR|aCDMG
23	26315 31163	1	   	262.54	DCR|4VULN|2DMG|1DUR|1CDMG	1LHND|2DUR|3579VULN|48DMG|6RCR|aCDMG
24	11411 52483	6	 * 	261.12	DCR|4VULN|1TLV|3LIT|2CDMG	128LIT|3578VULN|48CDMG|6MBVNT|8BPWR|9TLV|aRCR
25	45322 11162	10	 * 	260.69	DCR|3VULN|3DUR|3TLV	149TLV|269DUR|3LIT|5MLV|79aVULN|8RCR|9BPWR
26	13244 31432	8	 * 	259.97	DCR|2VULN|2TLV|3LIT|1DMG|2CDMG|2ASPD	18aLIT|28TLV|3RPLT|4aASPD|5DMG|6RCR|78VULN|8aBPWR|9aCDMG
