0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61152 21216	1	 * 	305.43	DCR|4VULN|3DMG|2DUR|1TLV	1248VULN|34DUR|4BPWR|579DMG|6TLV|aRCR
2	56122 32111	6	   	294.41	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	138DMG|2TLV|489VULN|58LIT|6RCR|7AART|8BPWR|aDUR
3	66111 12312	10	 * 	291.75	DCR|4VULN|3DUR|2DMG|2LIT	1289VULN|38DMG|457DUR|68LIT|8BPWR|aRCR
4	64121 31216	1	   	290.74	DCR|4VULN|3DMG|1TLV|1DUR	1368VULN|279DMG|4TLV|5DUR|aRCR
5	66111 31216	4	   	290.74	DCR|4VULN|3DMG|1TLV|1DUR	1268VULN|379DMG|4DUR|5TLV|aRCR
6	66121 31216	3	   	290.74	DCR|4VULN|3DMG|1TLV|1DUR	1268VULN|379DMG|4TLV|5DUR|aRCR
7	51121 62162	9	   	290.22	DCR|3VULN|3DMG|1TLV|2CDMG	137DMG|2ASPD|47aVULN|57CDMG|6RCR|7BPWR|8TLV|9LIT
8	51121 62162	10	   	290.22	DCR|3VULN|3DMG|1TLV|2CDMG	137DMG|2ASPD|47aVULN|57CDMG|6RCR|7BPWR|8TLV|9LIT
9	66111 21261	5	   	289.67	DCR|4VULN|2DMG|2DUR|1TLV	1289VULN|37DMG|45DUR|6TLV|aRCR
10	66113 23126	4	 * 	288.94	DCR|5VULN|2DUR|1DMG|2LIT	12678VULN|3DMG|47DUR|57LIT|7BPWR|9AART|aRCR
11	66116 13121	6	   	286.83	DCR|4VULN|2DMG|2DUR|2LIT	1278VULN|35DMG|47DUR|67LIT|7BPWR|9RCR|aASPD
12	56122 12322	8	   	284.75	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	138DMG|2TLV|478VULN|58LIT|6RPLT|8BPWR|9DUR|aRCR
13	56122 12332	9	   	284.75	DCR|3VULN|3DMG|1TLV|1DUR|2LIT	138DMG|2TLV|478VULN|58LIT|6RPLT|8BPWR|9DUR|aRCR
14	66111 21216	5	   	284.28	DCR|3VULN|3DMG|2DUR|1TLV	128VULN|379DMG|45DUR|6TLV|aRCR
15	62151 23311	10	 * 	282.77	DCR|4VULN|3DMG|3TLV	179aVULN|2DUST|37aTLV|4MLV|5CGEN|67aDMG|7aBPWR|8RCR
16	51121 62114	10	   	281.91	DCR|3VULN|3DMG|1TLV|2CDMG	137DMG|2ASPD|47aVULN|57CDMG|6RCR|7BPWR|8TLV|9RPLT
17	51121 62131	10	   	281.91	DCR|3VULN|3DMG|1TLV|2CDMG	137DMG|2ASPD|47aVULN|57CDMG|6RCR|7BPWR|8TLV|9CGEN
18	56433 33121	6	 * 	281.52	DCR|2VULN|3DMG|2TLV|2DUR|1CDMG	169DMG|2aTLV|3CDMG|4BELT|5aDUR|7aVULN|8RCR|aBPWR
19	66116 13122	6	   	278.53	DCR|4VULN|2DMG|2DUR|2LIT	1278VULN|35DMG|47DUR|67LIT|7BPWR|9RCR|aBEXP
20	66116 13123	6	   	278.53	DCR|4VULN|2DMG|2DUR|2LIT	1278VULN|35DMG|47DUR|67LIT|7BPWR|9RCR|aFEWX
21	54122 32161	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2CGEN|48aVULN|58LIT|6RCR|7AART|8BPWR|9TLV
22	56122 32112	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2TLV|489VULN|58LIT|6RCR|7AART|8BPWR|aDMSP
23	56122 32113	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2TLV|489VULN|58LIT|6RCR|7AART|8BPWR|aLHND
24	56122 32115	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2TLV|489VULN|58LIT|6RCR|7AART|8BPWR|aFEWX
25	56122 32116	6	   	278.16	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2TLV|489VULN|58LIT|6RCR|7AART|8BPWR|aMLV
26	56122 32131	6	   	278.06	DCR|3VULN|3DMG|1TLV|2LIT	138DMG|2TLV|48aVULN|58LIT|6RCR|7AART|8BPWR|9ERES
27	56122 32161	6	   	277.80	DCR|2VULN|3DMG|2TLV|1DUR|2LIT	138DMG|29TLV|48VULN|58LIT|6RCR|7AART|8BPWR|aDUR
28	56122 12222	9	   	276.17	DCR|2VULN|3DMG|2TLV|2DUR	139DMG|29TLV|47VULN|5LIT|6RPLT|89DUR|9BPWR|aRCR
29	52153 23126	1	 * 	275.80	DCR|5VULN|2DMG|2LIT	17DMG|24FEWX|34678VULN|47BPWR|57LIT|9AART|aRCR
30	52153 23126	2	   	275.60	DCR|5VULN|2DMG|2LIT	17DMG|24DUST|34678VULN|47BPWR|57LIT|9AART|aRCR
