0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32114 22435	2	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1RMIN|237aVULN|4TLV|59aDUR|6RCR|8aASPD|aBPWR
2	21613 11125	5	 * 	275.01	DCR|4VULN|2DMG|2TLV|1AART	1679VULN|2ZMB|37DMG|47TLV|5AART|7BPWR|8RMIN|aRCR
3	21613 11625	5	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	1679VULN|2ZMB|37DMG|47TLV|5AART|7BPWR|8MLV|aRCR
4	32613 11225	5	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	1RMIN|2679VULN|37DMG|47TLV|5AART|7BPWR|8MLV|aRCR
5	32613 11425	5	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	1RMIN|2679VULN|37DMG|47TLV|5AART|7BPWR|8ZMB|aRCR
6	62132 11125	5	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	17TLV|2AART|3ZMB|4679VULN|57DMG|7BPWR|8RMIN|aRCR
7	62132 11625	5	   	275.01	DCR|4VULN|2DMG|2TLV|1AART	17TLV|2AART|3ZMB|4679VULN|57DMG|7BPWR|8MLV|aRCR
8	21613 11525	5	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	1679VULN|2ZMB|37DMG|47TLV|5AART|7BPWR|8ERES|aRCR
9	32613 11614	5	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	1RMIN|2679VULN|37DMG|47TLV|5AART|7BPWR|8DLOT|aRCR
10	62132 11525	5	   	274.91	DCR|4VULN|2DMG|2TLV|1AART	17TLV|2AART|3ZMB|4679VULN|57DMG|7BPWR|8ERES|aRCR
11	24233 31166	6	 * 	271.70	DCR|5VULN|1DMG|1DUR	1458aVULN|2BEXP|3LIT|6DUR|7DMG|9RCR
12	34151 23533	7	 * 	271.61	DCR|3VULN|3DUR|3CDMG|1TLV	1RMIN|279CDMG|3TLV|4BELT|579VULN|679DUR|79BPWR|8RCVC|aRCR
13	34151 23633	8	   	271.61	DCR|3VULN|3DUR|3CDMG|1TLV	1RMIN|279CDMG|3TLV|4BELT|579VULN|679DUR|79BPWR|8RCVC|aRCR
14	24221 23166	7	   	267.88	DCR|5VULN|1DUR|1TLV	1578aVULN|2BEXP|3LIT|4TLV|6DUR|9RCR
15	24221 23166	8	   	267.88	DCR|5VULN|1DUR|1TLV	1578aVULN|2BEXP|3LIT|4TLV|6DUR|9RCR
16	24231 21336	8	   	267.51	DCR|3VULN|2DMG|1DUR|2LIT|1CDMG	148VULN|2BEXP|38LIT|5LWND|6CDMG|78DMG|8BPWR|9RCR|aDUR
17	24231 21356	10	   	267.51	DCR|3VULN|2DMG|1TLV|2LIT|1CDMG	148VULN|2BEXP|38LIT|5LWND|6CDMG|78DMG|8BPWR|9TLV|aRCR
18	24231 21334	8	 * 	266.91	DCR|3VULN|3DMG|2LIT|1CDMG	148VULN|2BEXP|38LIT|5LWND|6CDMG|78aDMG|8BPWR|9RCR
19	24233 31162	6	 * 	266.74	DCR|4VULN|2DUR|1DMG	1458VULN|2BEXP|3LIT|6aDUR|7DMG|9RCR
20	24233 41162	5	   	266.74	DCR|4VULN|2DUR|1DMG	1458VULN|2BEXP|3LIT|6aDUR|7DMG|9RCR
21	24235 13162	8	   	266.74	DCR|4VULN|2DUR|1DMG	1478VULN|2BEXP|3LIT|5aDUR|6DMG|9RCR
22	24235 13162	7	   	266.74	DCR|4VULN|2DUR|1DMG	1478VULN|2BEXP|3LIT|5aDUR|6DMG|9RCR
23	32114 22435	3	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	13RMIN|27aVULN|4TLV|59aDUR|6RCR|8aASPD|aBPWR
24	32114 26335	2	   	266.62	DCR|3VULN|3DUR|2ASPD|1TLV	1RMIN|23aVULN|4TLV|59aDUR|6RCR|7aASPD|8RCVC|aBPWR
25	25123 15346	1	   	266.46	DCR|4VULN|3DUR|2LIT	1569VULN|239DUR|4TBNT|7MBVNT|89LIT|9BPWR|aRCR
26	32114 22443	2	   	264.69	DCR|4VULN|1TLV|1DUR|1CDMG|1ASPD	1RMIN|2379VULN|4TLV|5DUR|6RCR|8ASPD|aCDMG
27	62523 13351	1	   	263.15	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1TLV|258VULN|3BELT|45DUR|5BPWR|6ASPD|7DMG|9LWND|aRCR
28	62122 33536	1	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|238VULN|4FEWX|5ASPD|6DMG|7CDMG|9DUR|aRCR
29	62133 41163	1	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2358VULN|4DUR|6LIT|7BEXP|9RCR|aCDMG
30	24221 23163	7	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1578VULN|2BEXP|3LIT|4TLV|6DUR|9RCR|aCDMG
31	24221 23163	8	   	262.00	DCR|4VULN|1DUR|1TLV|1CDMG	1578VULN|2BEXP|3LIT|4TLV|6DUR|9RCR|aCDMG
32	62133 43163	1	   	261.90	DCR|4VULN|1DUR|1TLV|1CDMG	1TLV|2358VULN|4DUR|6LIT|7DUST|9RCR|aCDMG
33	32626 21115	3	 * 	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|28aVULN|3aDMG|4TBNT|5LHND|6LIT|7aDUR|9RCR|aBPWR
