0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63333 12622	10	 * 	281.95	DCR|3VULN|3DUR|2DMG|3CDMG|1NUKE	128CDMG|38aDUR|4CGEN|5aDMG|68aVULN|7RCR|8aBPWR|9NUKE
2	63331 52622	10	 * 	272.91	DCR|2VULN|3DMG|3DUR|3CDMG|1NUKE	128CDMG|38aDUR|4CGEN|5aVULN|68aDMG|7RCR|8aBPWR|9NUKE
3	65143 33144	7	 * 	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17CDMG|2DUST|37DUR|4MBVNT|567VULN|7BPWR|8TLV|9RCR|aDMG
4	63111 24622	10	 * 	270.81	ACR|3VULN|2DMG|2TLV|2DUR|3CDMG	127CDMG|3RMIN|4RCR|57aVULN|67TLV|7aBPWR|8aDUR|9aDMG
5	63322 14314	9	 * 	270.50	DCR|3VULN|3DUR|1TLV|3CDMG	127CDMG|378DUR|4ERES|58ZMB|678VULN|78BPWR|9TLV|aRCR
6	63352 23316	2	 * 	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	12CDMG|358aVULN|45TLV|5BPWR|6RCR|7ZMB|9DUR
7	61631 11162	5	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1CDMG|2CGEN|347VULN|5TLV|68DUR|9DMG|aRCR
8	11323 54312	7	 * 	262.84	DCR|4VULN|2DMG|1DUR|1CDMG	17FEWX|2478VULN|34CGEN|47BPWR|5CDMG|67DMG|9DUR|aRCR
9	11313 54312	7	   	262.74	DCR|4VULN|2DMG|1DUR|1CDMG	17FEWX|2478VULN|3CGEN|5CDMG|67DMG|7BPWR|9DUR|aRCR
10	11413 54312	7	   	262.64	DCR|4VULN|2DMG|1DUR|1CDMG	17FEWX|2478VULN|3ERES|5CDMG|67DMG|7BPWR|9DUR|aRCR
11	11423 54312	7	   	262.64	DCR|4VULN|2DMG|1DUR|1CDMG	17FEWX|2478VULN|34ERES|47BPWR|5CDMG|67DMG|9DUR|aRCR
12	16142 12133	2	 * 	262.55	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|2ZMB|389VULN|4DUR|5LIT|68DMG|7RCR|8BPWR|aTLV
13	16442 12133	3	   	262.55	DCR|3VULN|2DMG|1TLV|1DUR	18FEWX|2ZMB|389VULN|4DUR|5LIT|68DMG|7RCR|8BPWR|aTLV
14	52425 23323	8	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	18ERES|24LHND|348VULN|48BPWR|5LIT|6DUR|78DMG|9RCR|aTLV
15	26142 12133	2	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|2ZMB|389VULN|4DUR|5LIT|68DMG|7RCR|8BPWR|aTLV
16	26442 12133	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	18DUST|2ZMB|389VULN|4DUR|5LIT|68DMG|7RCR|8BPWR|aTLV
17	52415 23323	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	18ERES|2LHND|348VULN|5LIT|6DUR|78DMG|8BPWR|9RCR|aTLV
18	63333 12614	8	 * 	262.21	DCR|2VULN|2DUR|1TLV|3CDMG|1DMG|1AART	128CDMG|38DUR|4CGEN|5DMG|68VULN|7RCR|8BPWR|9AART|aTLV
19	11323 52636	10	   	260.05	DCR|3VULN|2DMG|1TLV|1CDMG	18FEWX|248VULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9ASPD|aTLV
20	11313 52636	10	   	259.95	DCR|3VULN|2DMG|1TLV|1CDMG	18FEWX|248VULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9ASPD|aTLV
21	21323 52636	9	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	18DUST|248VULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9ASPD|aTLV
22	21323 52636	10	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	18DUST|248VULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9ASPD|aTLV
23	21313 52636	9	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	18DUST|248VULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9ASPD|aTLV
24	21313 52636	10	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	18DUST|248VULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9ASPD|aTLV
25	63111 25622	10	 * 	259.35	ACR|2VULN|3DUR|2DMG|2TLV|3CDMG	128CDMG|3RMIN|4RCR|5aVULN|68TLV|78aDUR|8aBPWR|9aDMG
26	63121 14112	10	 * 	258.98	DCR|3VULN|2TLV|3CDMG|1DUR	127CDMG|3RMIN|467VULN|57TLV|7BPWR|8LIT|9RCR|aDUR
27	63631 61442	6	 * 	258.74	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4CGEN|578aVULN|68DMG|8BPWR|9RCR
28	63633 11418	6	   	258.74	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4CGEN|58DMG|6789VULN|8BPWR|aRCR
29	63633 11442	6	   	258.74	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4CGEN|58DMG|678aVULN|8BPWR|9RCR
30	63623 11418	6	   	258.64	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4ERES|58DMG|6789VULN|8BPWR|aRCR
