0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13323 42424	4	 * 	286.56	DCR|3VULN|2DMG|2TLV|2DUR|1AART	1aDMG|2RMIN|357VULN|4aTLV|6AART|8aDUR|9RCR|aBPWR
2	31311 87223	3	 * 	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1RPLT|2MBVNT|3aDMG|4TLV|56aDUR|7RCR|89aVULN|aBPWR
3	31611 87223	2	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	1RPLT|2MBVNT|3aDMG|4TLV|56aDUR|7RCR|89aVULN|aBPWR
4	13253 15612	2	 * 	281.09	DCR|2VULN|3DMG|3DUR|2TLV	179DMG|2RMIN|35VULN|49aDUR|6RCR|89TLV|9BPWR
5	13353 15612	3	   	281.09	DCR|2VULN|3DMG|3DUR|2TLV	179DMG|2RMIN|35VULN|49aDUR|6RCR|89TLV|9BPWR
6	13233 15211	3	 * 	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2RMIN|3DUST|459VULN|6RCR|89TLV|9BPWR|aDUR
7	13321 42424	4	   	277.53	DCR|2VULN|3DMG|2TLV|2DUR|1AART	15aDMG|2RMIN|37VULN|4aTLV|6AART|8aDUR|9RCR|aBPWR
8	35162 35332	5	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1RPLT|2579VULN|37DUR|47DMG|6TBNT|7BPWR|8RCR|aCDMG
9	35163 35332	4	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1RPLT|2579VULN|37DUR|47DMG|6TBNT|7BPWR|8RCR|aCDMG
10	35633 35332	3	   	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1RPLT|2579VULN|37DMG|47DUR|6TBNT|7BPWR|8RCR|aCDMG
11	35623 24332	7	   	277.18	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	1RPLT|279VULN|39DMG|4aLIT|5DUR|6RCR|89TLV|9BPWR
12	31376 27423	5	 * 	276.68	DCR|4VULN|2DMG|2TLV|1AART	1RPLT|2MBVNT|3aDMG|4AART|589aVULN|6aTLV|7RCR|aBPWR
13	11213 42424	1	   	273.23	DCR|4VULN|2DMG|2DUR|1AART	1aDMG|2ERES|357aVULN|4RMIN|6AART|8aDUR|9RCR|aBPWR
14	31311 87413	3	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1RPLT|2MBVNT|38aDMG|4TLV|56aDUR|7RCR|9aVULN|aBPWR
15	31611 87413	2	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1RPLT|2MBVNT|38aDMG|4TLV|56aDUR|7RCR|9aVULN|aBPWR
16	15334 33413	8	 * 	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	18aDMG|2ERES|39aVULN|4CDMG|5DUST|6aDUR|7RCR|aBPWR
17	31326 33648	6	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|2MBVNT|39DMG|4LIT|569VULN|7RCR|89TLV|9BPWR|aDUR
18	35623 24331	7	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|279VULN|39DMG|4LIT|5DUR|6RCR|89TLV|9BPWR|aTBNT
19	35623 24333	7	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	1RPLT|279VULN|39DMG|4LIT|5DUR|6RCR|89TLV|9BPWR|aDUST
20	35623 22334	7	   	270.18	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1RPLT|29VULN|39DMG|4LIT|57DUR|6RCR|89TLV|9BPWR|aAART
21	33622 23542	3	 * 	269.86	DCR|4VULN|3TLV|2DUR|1AART	1RPLT|268TLV|389aVULN|48DUR|5AART|7RCR|8BPWR
22	31672 31343	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aLHND|46aVULN|56DUR|6aBPWR|7TLV|8RCR|9aDMG
23	31672 31343	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aLHND|46aVULN|56DUR|6aBPWR|7TLV|8RCR|9aDMG
24	31772 31343	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aLWND|46aVULN|56DUR|6aBPWR|7TLV|8RCR|9aDMG
25	31772 31343	5	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aLWND|46aVULN|56DUR|6aBPWR|7TLV|8RCR|9aDMG
26	13223 25416	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2RMIN|359VULN|4LHND|6TLV|7DMSP|89DUR|9BPWR|aRCR
27	13231 22416	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|25RMIN|349VULN|6TLV|7LHND|89DUR|9BPWR|aRCR
28	13323 25416	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2RMIN|359VULN|4LHND|6TLV|7DMSP|89DUR|9BPWR|aRCR
29	13331 22416	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|25RMIN|349VULN|6TLV|7LHND|89DUR|9BPWR|aRCR
30	13333 25416	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|2RMIN|359VULN|4LWND|6TLV|7DMSP|89DUR|9BPWR|aRCR
31	14223 22416	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|27ZMB|359VULN|4BEXP|6TLV|89DUR|9BPWR|aRCR
32	14323 22416	3	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|27ZMB|359VULN|4BEXP|6TLV|89DUR|9BPWR|aRCR
33	14333 22416	4	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	19DMG|27ZMB|359VULN|4LWND|6TLV|89DUR|9BPWR|aRCR
34	31783 31343	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aDUR|46aVULN|56LHND|6aBPWR|7TLV|8RCR|9aDMG
35	31786 31343	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	1RPLT|2MBVNT|3aDUR|46aVULN|56LWND|6aBPWR|7TLV|8RCR|9aDMG
