0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23143 63513	1	 * 	274.90	DCR|3VULN|2DMG|2DUR|2ASPD	17aLWND|2aASPD|367VULN|47DUR|5DLOT|7aBPWR|8RCR|9aDMG
2	23143 63512	1	 * 	269.54	DCR|4VULN|2DUR|1DMG|1ASPD	17LWND|2ASPD|367aVULN|47DUR|5DLOT|7BPWR|8RCR|9DMG
3	12241 41331	7	 * 	265.95	DCR|4VULN|2DMG|1ASPD|1AART	1BELT|28DMG|3RCVC|4AART|568aVULN|7RCR|8BPWR|9ASPD
4	32617 24353	9	 * 	265.56	DCR|3VULN|3DMG|1DUR|1ASPD	19BEXP|289DMG|3MBVNT|4DUR|5ASPD|679VULN|9BPWR|aRCR
5	35123 11131	7	 * 	264.83	DCR|5VULN|2DMG	127BEXP|3ERES|47DMG|5678aVULN|7BPWR|9RCR
6	32326 33265	10	   	263.36	DCR|3VULN|2DMG|1DUR|1TLV	1BEXP|24DMG|3DUR|57aVULN|6TLV|8LIT|9RCR
7	22323 41313	4	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1aLWND|2RMIN|38DUR|4aDMG|59aVULN|6RCR|7AART|aBPWR
8	32326 12414	8	   	261.44	DCR|4VULN|2DMG|1DUR	1BEXP|24DMG|3DUR|568aVULN|7LWND|9RCR
9	32342 11414	8	   	261.44	DCR|4VULN|2DMG|1DUR	1BEXP|27DMG|3DUR|468aVULN|5LWND|9RCR
10	32326 11414	8	   	261.34	DCR|4VULN|2DMG|1DUR	1BEXP|24DMG|3DUR|568aVULN|7LEGI|9RCR
11	35123 11134	7	 * 	260.94	DCR|4VULN|3DMG	127BEXP|3ERES|47aDMG|5678VULN|7BPWR|9RCR
12	32316 33265	10	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1BEXP|2DMG|34DUR|57aVULN|6TLV|8LIT|9RCR
13	12624 13151	9	 * 	259.76	DCR|2VULN|3DUR|2DMG|3LIT	1BELT|29DMG|347LIT|589DUR|69VULN|9BPWR|aRCR
14	12633 13551	9	   	259.76	DCR|2VULN|3DUR|2DMG|3LIT	1BELT|29DMG|378LIT|459DUR|69VULN|9BPWR|aRCR
15	12241 41333	7	   	259.56	DCR|3VULN|2DMG|1TLV|1ASPD|1AART	1BELT|28DMG|3RCVC|4AART|568VULN|7RCR|8BPWR|9ASPD|aTLV
16	32363 33356	9	   	259.31	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1aBEXP|2DMG|3aDUR|4CDMG|5AART|6FEWX|79aVULN|8RCR|aBPWR
17	32363 33366	8	   	259.31	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1aBEXP|2DMG|3aDUR|4CDMG|5AART|6FEWX|79aVULN|8RCR|aBPWR
18	12241 41334	7	   	258.97	DCR|3VULN|3DMG|1ASPD|1AART	1BELT|28aDMG|3RCVC|4AART|568VULN|7RCR|8BPWR|9ASPD
19	35123 11132	7	   	258.94	DCR|4VULN|2DMG|1CDMG	127BEXP|3ERES|47DMG|5678VULN|7BPWR|9RCR|aCDMG
20	32316 14132	8	 * 	258.68	DCR|3VULN|3DUR|1DMG|1AART	1BEXP|2DMG|347DUR|56aVULN|8RCR|9AART
21	33141 51214	1	   	258.67	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	1BEXP|25ASPD|36aVULN|4DUR|7TLV|8DMG|9RCR
22	32342 14214	6	   	258.44	DCR|4VULN|2DUR|1DMG	1BEXP|2DMG|38DUR|467aVULN|5LWND|9RCR
23	32316 12414	8	   	258.44	DCR|4VULN|2DUR|1DMG	1BEXP|2DMG|34DUR|568aVULN|7LWND|9RCR
24	32316 11414	8	   	258.34	DCR|4VULN|2DUR|1DMG	1BEXP|2DMG|34DUR|568aVULN|7LEGI|9RCR
25	32366 25122	5	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2DMG|3DUR|4CDMG|5679VULN|8RCR|aBELT
26	32366 25121	5	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2DMG|3DUR|4CDMG|5679VULN|8RCR|aBBNT
27	32366 25123	5	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2DMG|3DUR|4CDMG|5679VULN|8RCR|aDUST
28	12633 12612	7	   	257.33	DCR|3VULN|3DUR|1DMG	1BELT|2DMG|3LIT|459DUR|678VULN|aRCR
29	15263 12612	7	   	257.33	DCR|3VULN|3DUR|1DMG	1BELT|259DUR|3LIT|4DMG|678VULN|aRCR
30	12241 41325	7	   	256.33	DCR|3VULN|2DMG|2AART|1DUR	1BELT|28DMG|3RCVC|49AART|568VULN|7RCR|8BPWR|aDUR
31	23143 63133	1	   	256.31	DCR|3VULN|3DUR|1TLV|1ASPD	17LWND|2ASPD|367VULN|479DUR|5DLOT|7BPWR|8TLV|aRCR
32	32341 22414	8	 * 	255.96	DCR|3VULN|2DUR|2TLV|1DMG	17BEXP|2DMG|37DUR|48aVULN|5CGEN|67TLV|7BPWR|9RCR
33	15315 11454	3	   	255.76	DCR|3VULN|2DUR|2TLV|1DMG	1BELT|27DUR|3MBVNT|47TLV|5BBNT|67aVULN|7BPWR|8RCR|9DMG
34	32341 21414	8	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|27DMG|3DUR|48aVULN|5CGEN|6TLV|9RCR
35	32326 11514	6	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|24DMG|3DUR|56aVULN|7TLV|8CGEN|9RCR
36	32326 33114	8	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|24DMG|3DUR|57aVULN|6TLV|8RMIN|9RCR
37	32326 33514	7	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|24DMG|3DUR|57aVULN|6TLV|8CGEN|9RCR
38	32687 14432	9	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	14BEXP|24DMG|3MBVNT|4BPWR|567VULN|8DUR|9TLV|aRCR
39	12241 41341	7	   	254.95	DCR|4VULN|2DMG|1AART	1BELT|28DMG|3RCVC|4AART|568aVULN|7RCR|8BPWR|9RMIN
40	32648 14482	6	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|29DMG|3MBVNT|468VULN|5DUR|7TLV|aRCR
41	32648 11472	9	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|27DMG|3MBVNT|469VULN|5DUR|8TLV|aRCR
42	32648 11532	9	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1BEXP|27DMG|3MBVNT|468VULN|5DUR|9TLV|aRCR
43	32266 33133	8	   	254.75	DCR|3VULN|3DMG|1TLV	1BEXP|29aDMG|3ERES|4MLV|59aVULN|6TLV|79aCGEN|8RCR|9aBPWR
44	35123 11623	7	   	254.55	DCR|3VULN|3DMG|1DUR	127BEXP|3ERES|479DMG|567VULN|7BPWR|8RCR|aDUR
45	42163 21314	1	 * 	253.69	ACR|4VULN|2DMG|2DUR|1AART	1RCVC|2aDUR|36FEWX|4RCR|568aVULN|6aBPWR|7AART|9aDMG
46	35123 11133	7	   	253.60	DCR|4VULN|2DMG	127BEXP|3ERES|47DMG|5678VULN|7BPWR|9RCR|aLIT
47	43223 12541	10	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|29LWND|3RMIN|4aDMG|569VULN|7RCR|89DUR|9BPWR
48	32648 11152	9	   	253.48	DCR|3VULN|2DMG|2DUR	19BEXP|27DMG|3MBVNT|469VULN|59DUR|8RMIN|9BPWR|aRCR
49	32618 18431	9	   	253.45	DCR|2VULN|3DUR|2DMG|1CDMG	19BEXP|29DMG|3MBVNT|457DUR|69VULN|8RCR|9BPWR|aCDMG
50	32648 28431	9	   	253.45	DCR|2VULN|3DUR|2DMG|1CDMG	19BEXP|29DMG|3MBVNT|49VULN|567DUR|8RCR|9BPWR|aCDMG
51	24623 41312	2	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	1LWND|2DUST|3DMG|4TLV|589aVULN|6RCR|7AART
52	32316 12124	8	   	253.38	DCR|3VULN|2DMG|2DUR	1BEXP|29DMG|34DUR|56aVULN|7LWND|8RCR
