0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16433 34372	9	 * 	304.52	DCR|3VULN|3DMG|3LIT|1TLV|1DUR|1CDMG	1MBVNT|29aLIT|3TLV|49aVULN|5DUR|6RCR|7CDMG|89aDMG|9aBPWR
2	62622 26131	7	 * 	302.14	DCR|4VULN|2DMG|2DUR|1TLV	19DUR|2FEWX|3469VULN|59DMG|7AART|8RCR|9BPWR|aTLV
3	65622 21131	6	   	302.14	DCR|4VULN|2DMG|2DUR|1TLV	19DUR|2LWND|3469VULN|59DMG|7AART|8RCR|9BPWR|aTLV
4	41234 36131	3	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	1479VULN|2DUST|39DMG|59DUR|6AART|8RCR|9BPWR|aTLV
5	61622 26131	7	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	19DUR|2DUST|3469VULN|59DMG|7AART|8RCR|9BPWR|aTLV
6	61622 36131	5	   	302.04	DCR|4VULN|2DMG|2DUR|1TLV	19DUR|2DUST|3479VULN|59DMG|6AART|8RCR|9BPWR|aTLV
7	12833 34372	9	   	296.57	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	1MBVNT|29aTLV|3LIT|49aVULN|5DUR|6RCR|7CDMG|89aDMG|9aBPWR
8	62622 26132	7	   	294.19	DCR|4VULN|2DMG|2DUR	19DUR|2FEWX|3469VULN|59DMG|7AART|8RCR|9BPWR|aLIT
9	65622 21132	6	   	294.19	DCR|4VULN|2DMG|2DUR	19DUR|2LWND|3469VULN|59DMG|7AART|8RCR|9BPWR|aLIT
10	41234 36132	3	   	294.09	DCR|4VULN|2DMG|2DUR	1479VULN|2DUST|39DMG|59DUR|6AART|8RCR|9BPWR|aLIT
11	61622 26132	7	   	294.09	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|3469VULN|59DMG|7AART|8RCR|9BPWR|aLIT
12	61622 36132	5	   	294.09	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|3479VULN|59DMG|6AART|8RCR|9BPWR|aLIT
13	61236 36132	3	 * 	292.62	DCR|3VULN|3DUR|2DMG|1TLV	159DUR|2DUST|39DMG|479VULN|6AART|8RCR|9BPWR|aTLV
