0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22521 22345	1	 * 	285.82	DCR|3VULN|3DMG|2TLV|1DUR|1ASPD	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aASPD
2	55225 11221	6	 * 	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1RCVC|2345VULN|5BPWR|69DMG|7RCR|8DUR|aTLV
3	55225 31121	8	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aTLV
4	55225 31221	7	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aTLV
5	31212 35346	7	 * 	277.49	DCR|4VULN|3DMG|1TLV	128FEWX|289BPWR|389aVULN|4TLV|59LWND|6RCR|789DMG
6	31223 35346	7	   	277.29	DCR|4VULN|3DMG|1DUR	128FEWX|289BPWR|389aVULN|4DUR|59ERES|6RCR|789DMG
7	61211 32346	7	   	277.19	DCR|4VULN|3DMG|1TLV	128DUST|289BPWR|389aVULN|4TLV|59BEXP|6RCR|789DMG
8	61212 32346	7	   	277.19	DCR|4VULN|3DMG|1TLV	128DUST|289BPWR|389aVULN|4TLV|59LWND|6RCR|789DMG
9	55315 22222	7	 * 	276.32	DCR|4VULN|2DMG|2DUR	1RCVC|2478VULN|34CGEN|47BPWR|57DMG|67DUR|9BEXP|aRCR
10	55612 22222	7	   	276.32	DCR|4VULN|2DMG|2DUR	1RCVC|2478VULN|34DMG|47BPWR|57MLV|67DUR|9BEXP|aRCR
11	12616 16323	8	   	276.02	DCR|4VULN|2DMG|2DUR	124ERES|248BPWR|348aVULN|58DMG|6RCR|78DUR|9CGEN
12	12616 16313	8	 * 	274.92	DCR|3VULN|3DUR|2DMG	124ERES|248BPWR|348VULN|58DMG|6RCR|78aDUR|9LIT
13	22521 22342	1	   	274.82	DCR|3VULN|3DMG|2TLV|1DUR	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aFEWX
14	22521 22343	1	   	274.82	DCR|3VULN|3DMG|2TLV|1DUR	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aCGEN
