0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14323 35361	9	 * 	290.77	DCR|4VULN|3DMG|2TLV|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8aTLV|9AART
2	22225 45313	9	 * 	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	19FEWX|289aVULN|34DUR|5CDMG|6RCR|79DMG|9BPWR
3	14323 35322	8	   	281.11	DCR|4VULN|3DMG|2TLV	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aLWND
4	14323 35323	8	   	281.11	DCR|4VULN|3DMG|2TLV	1aRCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV
5	14323 35324	8	   	281.11	DCR|4VULN|3DMG|2TLV	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aCGEN
6	54323 35322	8	   	281.11	DCR|4VULN|3DMG|2TLV	1DMSP|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aLWND
7	54323 35323	8	   	281.11	DCR|4VULN|3DMG|2TLV	1DMSP|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aRCVC
8	14323 35321	8	   	281.01	DCR|4VULN|3DMG|2TLV	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aTBNT
9	14323 35325	8	   	281.01	DCR|4VULN|3DMG|2TLV	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aDUST
10	14323 35326	8	   	281.01	DCR|4VULN|3DMG|2TLV|1NUKE	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aNUKE
11	54323 35321	8	   	281.01	DCR|4VULN|3DMG|2TLV	1DMSP|259DMG|3579VULN|4BELT|59BPWR|6RCR|89TLV|aTBNT
12	14213 13126	4	   	280.92	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1RCVC|28DMG|38TLV|4CDMG|5DUR|68aVULN|7RCR|8BPWR|9LIT
13	14225 13126	5	   	280.92	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1RCVC|28DMG|38TLV|4DUR|5CDMG|68aVULN|7RCR|8BPWR|9LIT
14	54213 13126	4	   	280.92	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1DMSP|28DMG|38TLV|4CDMG|5DUR|68aVULN|7RCR|8BPWR|9LIT
15	42255 11313	2	 * 	275.02	DCR|3VULN|3DUR|2DMG	1LIT|249DUR|345VULN|4BPWR|68DMG|7BEXP|aRCR
16	42255 13313	2	   	275.02	DCR|3VULN|3DUR|2DMG	1LIT|249DUR|345VULN|4BPWR|68DMG|7FEWX|aRCR
17	14213 13134	4	 * 	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	1RCVC|28DMG|38TLV|4CDMG|59aDUR|68VULN|7RCR|8BPWR
18	14225 13134	5	   	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	1RCVC|28DMG|38TLV|49aDUR|5CDMG|68VULN|7RCR|8BPWR
19	54213 13134	4	   	273.51	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	1DMSP|28DMG|38TLV|4CDMG|59aDUR|68VULN|7RCR|8BPWR
