0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22422 62233	5	 * 	300.20	DCR|3VULN|3DMG|2DUR|2TLV|1ASPD	158DMG|28aVULN|3ASPD|45TLV|58BPWR|6BBNT|78DUR|9RCR
2	24623 42138	8	 * 	300.07	DCR|3VULN|3DMG|3ASPD|2DUR	18aDMG|2MBVNT|38aVULN|45DUR|6ZMB|78aASPD|8aBPWR|9RCR
3	62134 52112	10	 * 	291.93	DCR|4VULN|3DUR|3TLV|1DMG	1789VULN|2BEXP|3DMSP|478DUR|578TLV|6RCR|78BPWR|aDMG
4	62234 52112	10	   	291.93	DCR|4VULN|3DUR|3TLV|1DMG	1789VULN|23BEXP|478DUR|578TLV|6RCR|78BPWR|aDMG
5	62422 52312	10	   	291.83	DCR|4VULN|3DUR|3TLV|1DMG	1579VULN|2BEXP|378TLV|457DUR|57BPWR|6RCR|aDMG
6	22532 56131	2	 * 	291.17	DCR|4VULN|1DMG|2CDMG|1TLV|1DUR|1ASPD	1DMG|2458VULN|34CDMG|4BPWR|6DUR|7ASPD|9RCR|aTLV
7	22135 12362	10	   	290.65	DCR|3VULN|3DMG|2DUR|2ASPD	18aDMG|26aVULN|38FEWX|4RPLT|58DUR|7RCR|8aBPWR|9aASPD
8	56223 34111	9	 * 	289.75	DCR|4VULN|3DUR|2DMG	178FEWX|268aVULN|3aBEXP|4aDMG|568DUR|68aBPWR|9RCR
9	56323 34111	9	   	289.55	DCR|4VULN|3DUR|2DMG	178FEWX|268aVULN|3aDUST|4aDMG|568DUR|68aBPWR|9RCR
10	26513 22121	10	 * 	288.50	DCR|4VULN|3DMG|1DUR|1ASPD	178DMG|2DUR|378aVULN|4CGEN|5ASPD|678FEWX|78BPWR|9RCR
11	26513 32121	10	   	288.50	DCR|4VULN|3DMG|1DUR|1ASPD	178DMG|2DUR|378aVULN|4CGEN|5ASPD|678BEXP|78BPWR|9RCR
12	62324 22153	8	   	288.50	DCR|4VULN|3DMG|1DUR|1ASPD	178aVULN|2BEXP|378MLV|4DUR|5ASPD|678DMG|78BPWR|9RCR
13	26542 32131	5	   	288.44	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1DMG|25DUR|3458VULN|5BPWR|6CDMG|7MLV|9RCR|aTLV
14	22424 22121	10	   	288.40	DCR|4VULN|3DMG|1TLV|1ASPD	178DMG|278aVULN|3ASPD|4TLV|5LEGI|678FEWX|78BPWR|9RCR
15	22424 32121	10	   	288.40	DCR|4VULN|3DMG|1TLV|1ASPD	178DMG|278aVULN|3ASPD|4TLV|5LEGI|678BEXP|78BPWR|9RCR
16	26542 33131	5	   	288.34	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	1DMG|25DUR|3458VULN|5BPWR|6CDMG|7ERES|9RCR|aTLV
17	22531 66111	5	 * 	285.69	ACR|4VULN|3DMG|2DUR|3CDMG	18aDMG|2358VULN|4RCR|6BBNT|78aCDMG|8aBPWR|9aDUR
