0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16153 23163	3	 * 	299.57	DCR|4VULN|2DMG|2TLV|1DUR	19TLV|269aVULN|3AART|4LIT|5DUR|79DMG|8RCR|9BPWR
2	16153 23162	3	 * 	292.58	DCR|3VULN|3DMG|2TLV|1DUR	19TLV|269VULN|3AART|4LIT|5DUR|79aDMG|8RCR|9BPWR
3	16141 23163	5	   	283.32	DCR|4VULN|2DMG|2TLV	19TLV|269aVULN|3AART|4LWND|5LIT|79DMG|8RCR|9BPWR
4	16142 33163	5	   	283.32	DCR|4VULN|2DMG|2TLV	19TLV|259aVULN|3AART|4LWND|6LIT|79DMG|8RCR|9BPWR
5	16143 33163	3	   	283.32	DCR|4VULN|2DMG|2TLV	19TLV|249aVULN|3AART|5LWND|6LIT|79DMG|8RCR|9BPWR
6	16153 23161	3	   	276.83	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|269VULN|3AART|4LIT|5DUR|79DMG|8RCR|9BPWR|aDUST
7	16141 23162	5	   	276.33	DCR|3VULN|3DMG|2TLV	19TLV|269VULN|3AART|4LWND|5LIT|79aDMG|8RCR|9BPWR
8	16142 33162	5	   	276.33	DCR|3VULN|3DMG|2TLV	19TLV|259VULN|3AART|4LWND|6LIT|79aDMG|8RCR|9BPWR
9	16143 33162	3	   	276.33	DCR|3VULN|3DMG|2TLV	19TLV|249VULN|3AART|5LWND|6LIT|79aDMG|8RCR|9BPWR
10	16153 23123	3	   	273.02	DCR|3VULN|2DMG|1TLV|1DUR	1TLV|26aVULN|3AART|4LIT|5DUR|79DMG|8RCR
11	21253 31163	1	 * 	271.45	DCR|3VULN|2DMG|2DUR	1DMSP|29DMG|39DUR|4LIT|5AART|6ERES|79aVULN|8RCR|9BPWR
12	24353 31163	1	   	271.45	DCR|3VULN|2DMG|2DUR	1DMSP|29DUR|39DMG|4LIT|5AART|6ERES|79aVULN|8RCR|9BPWR
13	12162 11144	2	   	271.21	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|24LWND|348aVULN|4BPWR|5ASPD|6DMG|7DUR|9RCR
14	11122 11144	1	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2LHND|348aVULN|5ASPD|6DMG|7DUR|9RCR
15	12122 11144	2	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2LWND|348aVULN|5ASPD|6DMG|7DUR|9RCR
16	13122 11144	2	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2LHND|348aVULN|5ASPD|6DMG|7DUR|9RCR
17	16322 11144	2	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|248aVULN|3LHND|5ASPD|6DMG|7DUR|9RCR
18	12646 33111	1	 * 	270.45	DCR|5VULN|2TLV|1CDMG	14TLV|2RMIN|3469aVULN|4BPWR|5AART|7RCR|8CDMG
19	16246 33111	3	   	270.45	DCR|5VULN|2TLV|1CDMG	14TLV|2469aVULN|3RMIN|4BPWR|5AART|7RCR|8CDMG
