0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11222 65125	2	 * 	284.62	DCR|3VULN|2DMG|3ASPD|2DUR	18aASPD|248VULN|34aFEWX|48aBPWR|5ZMB|68DUR|7RCR|9aDMG
2	11215 34628	8	 * 	282.39	DCR|4VULN|3DUR|3ASPD|1SELL	178ASPD|278aVULN|3SELL|4MBVNT|578DUR|6BELT|78BPWR|9RCR
3	15223 32512	9	 * 	280.27	DCR|3VULN|3DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|39aDUR|4CGEN|5TLV|67aVULN|8RCR|aBPWR
4	15223 32562	8	   	280.27	DCR|3VULN|3DUR|2ASPD|1TLV|1CDMG	1aASPD|2CDMG|39aDUR|4CGEN|5TLV|67aVULN|8RCR|aBPWR
5	13511 15126	5	 * 	279.85	DCR|4VULN|2DUR|2ASPD|1DMG	18ASPD|2RMIN|3LWND|468aVULN|58DUR|7RCR|8BPWR|9DMG
6	11213 42386	6	 * 	278.00	DCR|3VULN|3ASPD|3CDMG|1DMG|1DUR|1SELL	19aASPD|29aVULN|3SELL|4MBVNT|5DMG|6DUR|7RCR|89aCDMG|9aBPWR
7	31324 35125	3	 * 	276.47	DCR|3VULN|3DUR|2DMG|1AART	18ZMB|24aVULN|348DUR|48BPWR|58DMG|6LEGI|7RCR|9AART
8	11326 63226	2	   	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	18ASPD|278aVULN|3DMSP|4CGEN|5TLV|68DUR|8BPWR|9RCR
9	12126 63226	1	   	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	18ASPD|2DMSP|378aVULN|4CGEN|5TLV|68DUR|8BPWR|9RCR
10	11316 33226	2	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	18ASPD|278aVULN|3DMSP|4ERES|5TLV|68DUR|8BPWR|9RCR
11	12116 33226	1	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	18ASPD|2DMSP|378aVULN|4ERES|5TLV|68DUR|8BPWR|9RCR
12	11125 13125	7	 * 	275.83	ACR|4VULN|3DMG|3ASPD|1DUR|1NUKE	18aASPD|268aVULN|3RCR|4LWND|5DUR|78aDMG|8aBPWR|9NUKE
13	11126 53125	7	   	275.83	ACR|4VULN|3DMG|3ASPD|1DUR|1NUKE	18aASPD|258aVULN|3RCR|4LWND|6DUR|78aDMG|8aBPWR|9NUKE
14	16223 32532	9	   	275.79	DCR|4VULN|2DUR|2ASPD|1TLV|1SELL	1aASPD|2aDUR|3SELL|4CGEN|5TLV|679aVULN|8RCR|aBPWR
15	11224 65133	2	   	273.56	DCR|3VULN|2DUR|2ASPD|1DMG|1TLV	18ASPD|248VULN|34FEWX|48BPWR|5DMG|68DUR|7RCR|9RPLT|aTLV
16	11215 34622	8	 * 	273.40	DCR|3VULN|3DUR|3ASPD|1CDMG|1SELL	178ASPD|278VULN|3SELL|4MBVNT|578DUR|6BELT|78BPWR|9RCR|aCDMG
17	11215 34682	9	 * 	273.40	DCR|3VULN|3DUR|3ASPD|1CDMG|1SELL	178ASPD|278VULN|3SELL|4MBVNT|578DUR|6BELT|78BPWR|9RCR|aCDMG
18	16323 32512	9	 * 	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	1aASPD|29DUR|3aCDMG|4CGEN|5TLV|67aVULN|8RCR|aBPWR
19	16323 32562	8	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	1aASPD|29DUR|3aCDMG|4CGEN|5TLV|67aVULN|8RCR|aBPWR
20	11322 13486	6	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|257aVULN|3CDMG|4CGEN|67DUR|7BPWR|8MBVNT|9RCR
21	11323 13486	5	   	273.34	DCR|4VULN|2DUR|2ASPD|1CDMG	17ASPD|267aVULN|3CDMG|4CGEN|57DUR|7BPWR|8MBVNT|9RCR
22	31324 21161	3	   	272.43	DCR|3VULN|3DUR|1DMG|1CDMG|1AART	1ZMB|249VULN|348DUR|4BPWR|5DMG|6CDMG|7AART|aRCR
23	11224 65111	2	   	270.96	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|248VULN|34FEWX|48BPWR|5DMG|68DUR|7RCR|9CGEN|aCDMG
24	11222 65121	2	   	270.96	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|248VULN|34FEWX|48BPWR|5ZMB|68DUR|7RCR|9DMG|aCDMG
25	11422 65121	2	   	270.96	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|248VULN|34BEXP|48BPWR|5ZMB|68DUR|7RCR|9DMG|aCDMG
26	11422 65121	3	   	270.96	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|248VULN|34FEWX|48BPWR|5ZMB|68DUR|7RCR|9DMG|aCDMG
27	11224 65121	2	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG|1NUKE	18ASPD|248VULN|34FEWX|48BPWR|5DMG|68DUR|7RCR|9NUKE|aCDMG
28	13511 15121	5	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|2RMIN|3LWND|468VULN|58DUR|7RCR|8BPWR|9DMG|aCDMG
29	13513 65121	5	   	270.86	DCR|3VULN|2DUR|2ASPD|1DMG|1CDMG	18ASPD|2RMIN|3LWND|458VULN|68DUR|7RCR|8BPWR|9DMG|aCDMG
30	15223 32542	8	 * 	270.76	DCR|3VULN|2DUR|2ASPD|2TLV|1CDMG	1aASPD|2CDMG|3aDUR|4CGEN|59TLV|67aVULN|8RCR|aBPWR
31	11622 15125	3	   	269.93	DCR|3VULN|2DMG|3ASPD|1DUR	18aASPD|268VULN|3aLHND|4DUR|58ZMB|7RCR|8aBPWR|9aDMG
32	41331 31113	4	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2DUR|3479VULN|5ERES|6RCR|8DMG|aTLV
33	41336 31113	5	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2DUR|3479VULN|5ERES|6RCR|8DMG|aTLV
34	45321 31113	4	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2379VULN|4DUR|5ERES|6RCR|8DMG|aTLV
35	45326 31113	5	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2379VULN|4DUR|5ERES|6RCR|8DMG|aTLV
36	45531 31113	4	   	269.66	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1AART|2479VULN|3DUR|5ERES|6RCR|8DMG|aTLV
37	23261 22462	3	 * 	269.13	DCR|3VULN|3DMG|3LIT|1ASPD|1AART|1SELL	178LIT|2RPLT|3ASPD|4AART|578VULN|678DMG|78BPWR|9SELL|aRCR
38	23262 22462	4	 * 	269.13	DCR|3VULN|3DMG|3LIT|1ASPD|1SELL	178LIT|2RPLT|3ASPD|478DMG|578VULN|6DLOT|78BPWR|9SELL|aRCR
