0	Index      	 *	Score 	Summary	Detail	
1	35364 31235	 * 	234.06	ACR|4VULN|3DMG|3CDMG	147DUST|2MBVNT|3RCR|579aVULN|679DMG|79aBPWR|89aCDMG
2	35364 31451	 * 	231.39	ACR|2VULN|1BASARM|2DMG|2BEXP	147DUST|2MBVNT|3RCR|57VULN|67DMG|7BPWR|8aBEXP|9BASARM
3	51531 31134	   	227.54	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|25FEWX|37VULN|4RCR|67DMG|7BPWR|8LIT|9RCVC|aBASARM
4	51533 31134	   	227.54	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2FEWX|37VULN|4RCR|5DMSP|67DMG|7BPWR|8LIT|9RCVC|aBASARM
5	51531 31225	   	226.79	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|25FEWX|37VULN|4RCR|67DMG|7BPWR|8LHND|9DUR|aBASARM
6	51533 31225	   	226.79	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2FEWX|37VULN|4RCR|5DMSP|67DMG|7BPWR|8LHND|9DUR|aBASARM
7	51531 31124	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|25FEWX|37VULN|4RCR|67DMG|7BPWR|8LIT|9AEMAG|aBASARM
8	51533 31124	   	226.69	ACR|2VULN|1BASARM|2DMG|2BEXP	17BEXP|2FEWX|37VULN|4RCR|5DMSP|67DMG|7BPWR|8LIT|9AEMAG|aBASARM
9	35364 31448	 * 	224.90	ACR|4VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579aVULN|679DMG|79BPWR|89BEXP
10	35364 31232	   	224.18	ACR|4VULN|3DMG|2CDMG	147DUST|2MBVNT|3RCR|579aVULN|679DMG|79BPWR|89CDMG
11	13514 11235	   	223.93	ACR|1BASARM|2DMG|1VULN|2BEXP	1MDPS|2RCR|3VULN|4AAC|5LWND|68BEXP|79DMG|aBASARM
12	13532 11235	   	223.93	ACR|1BASARM|2DMG|1VULN|2BEXP	1MDPS|2RCR|3VULN|4LWND|5AAC|68BEXP|79DMG|aBASARM
13	13512 11235	   	223.83	ACR|1BASARM|2DMG|1VULN|2BEXP	1MDPS|2RCR|3VULN|4AAC|5DUST|68BEXP|79DMG|aBASARM
14	35364 31446	   	221.84	ACR|3VULN|3DMG|2BEXP|1AAC	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aAAC
15	13122 11335	   	221.55	ACR|2VULN|1BASARM|2DMG|1BEXP	1MDPS|2RCR|3DUR|48VULN|5AAC|6BEXP|79DMG|aBASARM
16	13515 11521	 * 	217.45	ACR|3DMG|2VULN|3BEXP	1MDPS|2RCR|38VULN|4AAC|5FEWX|689BEXP|78aDMG|8BPWR
17	55311 21241	 * 	216.59	ACR|2VULN|2DMG|2BEXP|1ASPD|1CDMG	19BEXP|2MBVNT|3SNIHEL|4RCR|59VULN|6ASPD|7LIT|89DMG|9BPWR|aCDMG
18	35364 31453	   	216.55	ACR|2VULN|1BASARM|2DMG|1BEXP	147DUST|2MBVNT|3RCR|57VULN|67DMG|7BPWR|8BEXP|9BASARM|aLWND
19	35364 31454	   	216.55	ACR|2VULN|1BASARM|2DMG|1BEXP	147DUST|2MBVNT|3RCR|57VULN|67DMG|7BPWR|8BEXP|9BASARM|aRPLT
20	11343 12214	 * 	216.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1MDPS|25BEXP|3BELT|4RCR|6LWND|7CDMG|8DMG|9BASARM|aASPD
21	11343 62214	   	216.51	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1MDPS|25BEXP|3BELT|4RCR|6LHND|7CDMG|8DMG|9BASARM|aASPD
22	35364 31452	   	216.45	ACR|2VULN|1BASARM|2DMG|1BEXP	147DUST|2MBVNT|3RCR|57VULN|67DMG|7BPWR|8BEXP|9BASARM|aTLV
23	11346 12214	   	216.41	ACR|1BASARM|2BEXP|1ASPD|1DMG|1CDMG	1MDPS|26BEXP|3BELT|4RCR|5LEGI|7CDMG|8DMG|9BASARM|aASPD
24	13515 11325	   	216.37	ACR|2VULN|1BASARM|2BEXP|1DMG	1MDPS|2RCR|38VULN|4AAC|5FEWX|69BEXP|7DMG|aBASARM
25	31532 31234	   	215.80	ACR|3VULN|3DMG|3CDMG	157DUST|29aFEWX|37aVULN|4RCR|679DMG|79aBPWR|89aCDMG
26	13126 31156	 * 	215.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1MDPS|2RCR|39DUR|49VULN|5BEXP|6LEGI|7aASPD|89DMG|9BPWR
27	13543 23512	   	215.69	ACR|2VULN|2ASPD|2DMG|1BEXP	1MDPS|2RCR|38VULN|48LIT|5DUST|69ASPD|78DMG|8BPWR|aBEXP
28	13511 14253	 * 	215.36	ACR|3VULN|2ASPD|2DMG	1MDPS|2RCR|37aVULN|4AAC|5RMIN|67MLV|7aBPWR|8aDMG|9aASPD
29	13326 14253	   	215.26	ACR|3VULN|2ASPD|2DMG	13MDPS|2RCR|47aVULN|5LEGI|67MLV|7aBPWR|8aDMG|9aASPD
30	13126 31154	   	214.06	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	1MDPS|2RCR|39DUR|49VULN|5BEXP|6LEGI|7ASPD|89DMG|9BPWR|aAART
31	35364 31443	   	213.54	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aCGEN
32	35364 31447	   	213.54	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aLHND
33	35364 31441	   	213.44	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aVENICY
34	35364 31442	   	213.44	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aERES
35	35364 31444	   	213.44	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aTLV
36	35364 31445	   	213.44	ACR|3VULN|3DMG|2BEXP	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89BEXP|aAEFBLL
37	13541 13614	 * 	213.43	ACR|3VULN|3DMG|1ASPD	1MDPS|2RCR|39aVULN|49aLIT|5ERES|6ASPD|79aDMG|8MBVNT|9aBPWR
38	35338 33241	 * 	212.51	ACR|1BASARM|2VULN|1ASPD|1BEXP|1CDMG	1DUST|2MBVNT|3RCR|4MDPS|5BEXP|6CDMG|79VULN|8BASARM|aASPD
39	51533 31234	 * 	212.26	ACR|2VULN|3BEXP|2DMG|1ASPD	179BEXP|29FEWX|37VULN|4RCR|5DMSP|67DMG|79BPWR|89LHND|aASPD
40	13126 61151	   	212.10	ACR|2DMG|1VULN|2BEXP|1ASPD|1CDMG	1MDPS|2RCR|39DUR|4VULN|59BEXP|6FEWX|7ASPD|89DMG|9BPWR|aCDMG
41	55311 21243	   	211.86	ACR|2VULN|3BEXP|2DMG|1ASPD	19aBEXP|2MBVNT|3SNIHEL|4RCR|59VULN|6ASPD|7LIT|89DMG|9BPWR
42	11233 64253	 * 	211.76	ACR|2VULN|3BEXP|2ASPD|1DMG	1MDPS|27aBEXP|3AEFBLL|4RCR|57aTLV|67VULN|7aBPWR|8DMG|9aASPD
43	13126 31151	   	211.75	ACR|2VULN|2DMG|1ASPD|1BEXP|1CDMG	1MDPS|2RCR|39DUR|49VULN|5BEXP|6LEGI|7ASPD|89DMG|9BPWR|aCDMG
