0	Index      	 *	Score 	Summary	Detail	
1	16162 11323	 * 	257.95	ACR|3VULN|3ASPD|2DMG|2BASICY	17aVULN|278ASPD|3RCR|4aDMG|5LWND|67CGEN|7aBPWR|9aBASICY
2	16132 32413	 * 	250.22	ACR|3VULN|3BEXP|2ASPD|2DMG	159VULN|29ASPD|3RCR|467BEXP|89DMG|9BPWR|aRPLT
3	16132 32416	   	250.22	ACR|3VULN|3BEXP|2ASPD|2DMG	159VULN|29ASPD|3RCR|467BEXP|89DMG|9BPWR|aCGEN
4	16132 32411	   	250.12	ACR|3VULN|3BEXP|2ASPD|2DMG	159VULN|29ASPD|3RCR|467BEXP|89DMG|9BPWR|aVENFST
5	16132 32412	   	250.12	ACR|3VULN|3BEXP|2ASPD|2DMG	159VULN|29ASPD|3RCR|467BEXP|89DMG|9BPWR|aLSRICY
6	16132 32414	   	250.12	ACR|3VULN|3BEXP|2DMG|2ASPD	159VULN|29ASPD|3RCR|467BEXP|89DMG|9BPWR|aAEMAG
7	16161 31162	 * 	245.38	ACR|1BASARM|2VULN|2ASPD|2DMG	1aVULN|28ASPD|3RCR|49DMG|5MDPS|6CGEN|7BASARM
8	16131 32413	   	236.99	ACR|2VULN|3BEXP|2ASPD|2DMG	19VULN|29ASPD|3RCR|467BEXP|5DMSP|89DMG|9BPWR|aRPLT
9	16131 32416	   	236.99	ACR|2VULN|3BEXP|2ASPD|2DMG	19VULN|29ASPD|3RCR|467BEXP|5DMSP|89DMG|9BPWR|aCGEN
10	16131 32411	   	236.89	ACR|2VULN|3BEXP|2ASPD|2DMG	19VULN|29ASPD|3RCR|467BEXP|5DMSP|89DMG|9BPWR|aVENFST
11	16131 32412	   	236.89	ACR|2VULN|3BEXP|2ASPD|2DMG	19VULN|29ASPD|3RCR|467BEXP|5DMSP|89DMG|9BPWR|aLSRICY
12	16131 32414	   	236.89	ACR|2VULN|3BEXP|2ASPD|2DMG	19VULN|29ASPD|3RCR|467BEXP|5DMSP|89DMG|9BPWR|aAEMAG
13	16161 31163	   	230.79	ACR|1BASARM|2ASPD|2DMG|1VULN	1VULN|28ASPD|3RCR|49DMG|5MDPS|6CGEN|7BASARM|aBELT
14	16161 31161	   	230.69	ACR|1BASARM|2ASPD|2DMG|1VULN	1VULN|28ASPD|3RCR|49DMG|5MDPS|6CGEN|7BASARM|aMSLFST
