0	Index      	 *	Score 	Summary	Detail	
1	22361 31622	 * 	215.01	3ASPD|3DMG|1BASARM|3BEXP|1VULN	19aBEXP|2LHND|37BELT|49aDMG|5BASARM|6VULN|89aASPD|9aBPWR
2	12243 23411	 * 	203.33	ACR|3BEXP|2DMG|1ASPD|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9aDMG
3	24243 23411	   	203.33	ACR|3BEXP|2DMG|1ASPD|1BASICY	167BEXP|2ZMB|3ERES|4RCR|5ASPD|8BASICY|9aDMG
4	22512 36214	 * 	197.85	DCR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG	1BEXP|2LHND|3DMG|4AART|5BASARM|6ASPD|7DUST|8CDMG|9VULN|aRCR
5	36521 53133	 * 	196.65	ACR|2VULN|2ASPD|1DMG|1BEXP|1CDMG	1CDMG|2MDPS|37ASPD|4RMIN|5RCR|6DMG|89VULN|aBEXP
6	36531 53133	   	196.55	ACR|2VULN|2ASPD|1DMG|1CDMG|1BEXP	1CDMG|2MDPS|37ASPD|4TLV|5RCR|6DMG|89VULN|aBEXP
7	12243 21523	 * 	196.34	ACR|1BASARM|2BEXP|1ASPD|1AART	1ZMB|26BEXP|3ERES|4RCR|5ASPD|7AART|8VENTOX|9AME|aBASARM
8	12442 21523	 * 	196.34	ACR|1BASARM|2BEXP|1DMG|1AART	1ZMB|26BEXP|3DMG|4RCR|5ERES|7AART|8VENTOX|9AME|aBASARM
9	24243 21523	   	196.34	ACR|1BASARM|2BEXP|1ASPD|1AART	16BEXP|2ZMB|3ERES|4RCR|5ASPD|7AART|8VENTOX|9AME|aBASARM
10	36521 53131	 * 	196.23	ACR|3VULN|2ASPD|1DMG|1CDMG	1CDMG|2MDPS|37ASPD|4RMIN|5RCR|6DMG|89aVULN
11	36531 53131	   	196.13	ACR|3VULN|2ASPD|1DMG|1CDMG	1CDMG|2MDPS|37ASPD|4TLV|5RCR|6DMG|89aVULN
12	12442 21224	   	192.98	ACR|3BEXP|1ASPD|1DMG|1CDMG|1AART	1ZMB|268BEXP|3DMG|4RCR|5ERES|7AART|9ASPD|aCDMG
13	21361 43111	 * 	191.53	DCR|2BASARM|3BEXP|2DMG	179BEXP|2DUR|3BELT|47DMG|57BASARM|6RMIN|7BPWR|8CGEN|aRCR
14	21361 43331	   	191.53	DCR|2BASARM|3BEXP|2DMG	178BEXP|2DUR|3BELT|47DMG|57BASARM|6RMIN|7BPWR|9CGEN|aRCR
15	21361 43311	   	191.43	DCR|2BASARM|3BEXP|2DMG	178BEXP|2DUR|3BELT|47DMG|57BASARM|6RMIN|7BPWR|9ERES|aRCR
16	62336 31612	 * 	189.61	ACR|1BASARM|2DMG|1CDMG	1RCVC|29LWND|3SNIHEL|4RCR|57DMG|6AME|8CDMG|aBASARM
17	15243 61223	 * 	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1ZMB|2LHND|3ERES|4RCR|5ASPD|6AART|7FEWX|8RPLT|9BASARM|aDMG
18	16143 61223	   	188.02	ACR|1BASARM|1ASPD|1DMG|1AART	1ZMB|2ERES|3LHND|4RCR|5ASPD|6AART|7FEWX|8RPLT|9BASARM|aDMG
19	11442 23225	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ZMB|2LWND|3DMG|4RCR|5ERES|6BEXP|7DLOT|8RPLT|9BASARM|aASPD
