0	Index      	 *	Score 	Summary	Detail	
1	15263 13113	 * 	222.32	ACR|3VULN|2ASPD|2BEXP|2AART	1RPLT|28BEXP|378VULN|4aAART|5RCR|68ASPD|8BPWR|9DUST
2	15263 43113	 * 	222.32	ACR|3VULN|2DMG|2BEXP|2AART	1RPLT|28BEXP|378VULN|4aAART|5RCR|68DMG|8BPWR|9DUST
3	14551 12113	 * 	219.22	ACR|2VULN|3ASPD|2CDMG|1AART|1BEXP	1RPLT|2MDPS|37CDMG|478ASPD|5RCR|67VULN|7BPWR|9AART|aBEXP
4	15263 13142	 * 	217.05	ACR|4VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378aVULN|4AART|5RCR|68ASPD|8BPWR|9BELT
5	15263 13122	   	213.26	ACR|3VULN|2ASPD|2BEXP|1AART|1AAC	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DMSP|aAAC
6	15263 43122	   	213.26	ACR|3VULN|2DMG|2BEXP|1AART|1AAC	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9DMSP|aAAC
7	14551 12311	 * 	209.98	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	1RPLT|2MDPS|37CDMG|47ASPD|5RCR|67VULN|7BPWR|8AART|9DMG|aVENTOX
8	14551 12312	   	209.88	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	1RPLT|2MDPS|37CDMG|47ASPD|5RCR|67VULN|7BPWR|8AART|9DMG|aAEMAG
9	14551 12313	   	209.88	ACR|2VULN|2ASPD|1DMG|2CDMG|1AART	1RPLT|2MDPS|37CDMG|47ASPD|5RCR|67VULN|7BPWR|8AART|9DMG|aERES
10	14551 12133	   	205.57	ACR|2VULN|3ASPD|2CDMG|1AART	1RPLT|2MDPS|37CDMG|478ASPD|5RCR|67VULN|7BPWR|9CGEN|aAART
11	14551 12111	   	205.47	ACR|2VULN|3ASPD|2CDMG|1AART	1RPLT|2MDPS|37CDMG|478ASPD|5RCR|67VULN|7BPWR|9AART|aERES
12	14551 12112	   	205.47	ACR|2VULN|3ASPD|2CDMG|1AART	1RPLT|2MDPS|37CDMG|478ASPD|5RCR|67VULN|7BPWR|9AART|aAME
13	15263 13125	   	205.28	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DMSP|aRCVC
14	15263 13135	   	205.28	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9CGEN|aRCVC
15	15263 13143	   	205.28	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9BELT|aRCVC
16	15263 13121	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DMSP|aDUR
17	15263 13126	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DMSP|aFEWX
18	15263 13131	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9CGEN|aLIT
19	15263 13134	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9aCGEN
20	15263 13136	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9CGEN|aFEWX
21	15263 13141	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9BELT|aLWND
22	15263 13153	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9LWND|aDUR
23	15263 13163	   	204.95	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9LIT|aCGEN
24	15263 43121	   	204.95	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9DMSP|aDUR
25	15263 43131	   	204.95	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9CGEN|aLIT
26	15263 13115	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DUST|aLIT
27	15263 13116	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DUST|aLHND
28	15263 13123	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DMSP|aERES
29	15263 13132	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9CGEN|aERES
30	15263 13133	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9CGEN|aAME
31	15263 13151	   	204.85	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9LWND|aMDPS
32	15263 43123	   	204.85	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9DMSP|aERES
33	15263 43132	   	204.85	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9CGEN|aERES
