0	Index      	 *	Score 	Summary	Detail	
1	53133 62211	 * 	254.85	ACR|3DMG|2VULN|3BEXP|2ASPD	19aDMG|24aBEXP|3RCR|5LSRREG|68ASPD|7aVULN|aBPWR
2	53153 62211	   	243.59	ACR|3DMG|2VULN|2ASPD|2BEXP	19aDMG|2aBEXP|3RCR|4DMSP|5LSRREG|68ASPD|7aVULN|aBPWR
3	53126 63221	 * 	241.77	ACR|3ASPD|3BEXP|2DMG|2CDMG	1aDMG|26aBEXP|3RCR|46CDMG|5AAC|6aBPWR|7DUR|89aASPD
4	63126 63121	   	241.77	ACR|3ASPD|3BEXP|2DMG|2CDMG	19aASPD|26aBEXP|3RCR|46CDMG|5AAC|6aBPWR|7DUR|8aDMG
5	53123 23221	 * 	239.95	ACR|3ASPD|3DMG|2BEXP|1CDMG	16aDMG|2aBEXP|3RCR|4CDMG|56LHND|6aBPWR|7RMIN|89aASPD
6	53122 23221	   	239.75	ACR|3ASPD|3DMG|2BEXP|1CDMG	16aDMG|2aBEXP|3RCR|4CDMG|56DUST|6aBPWR|7RMIN|89aASPD
7	53133 62241	   	237.64	ACR|2VULN|3BEXP|2ASPD|2DMG	1aDMG|24aBEXP|3RCR|5LSRREG|68ASPD|7aVULN|9RCVC|aBPWR
8	53131 14421	 * 	237.46	ACR|3ASPD|3DMG|3BEXP	16aDMG|24aBEXP|3RCR|5RMIN|79aASPD|8RPLT|aBPWR
9	53133 62121	   	236.89	ACR|2VULN|3BEXP|2ASPD|2DMG	1aDMG|249BEXP|3RCR|5LSRREG|6aASPD|7aVULN|8RMIN|aBPWR
10	63131 13253	 * 	236.81	ACR|1BASARM|3BEXP|2DMG|1ASPD	1ASPD|24aBEXP|3RCR|5RMIN|68DMG|7BELT|9BASARM
11	63135 21253	   	236.81	ACR|1BASARM|3BEXP|2DMG|1ASPD	1ASPD|24aBEXP|3RCR|5BELT|6ZMB|78DMG|9BASARM
12	53133 62521	   	236.79	ACR|2VULN|3BEXP|2ASPD|2DMG	1aDMG|249BEXP|3RCR|5LSRREG|6aASPD|7aVULN|8AAC|aBPWR
13	53133 62261	   	236.79	ACR|2VULN|3BEXP|2ASPD|2DMG	1aDMG|24aBEXP|3RCR|59LSRREG|68ASPD|7aVULN|aBPWR
14	63131 51511	 * 	236.09	ACR|3ASPD|1BASARM|2BEXP|1VULN	19aASPD|24BEXP|3RCR|5RMIN|6RPLT|7BASARM|8VULN
15	53134 33221	   	235.46	ACR|3ASPD|3BEXP|2DMG|1CDMG	1aDMG|24aBEXP|3RCR|5CDMG|6FEWX|7RMIN|89aASPD|aBPWR
16	63134 33121	   	235.46	ACR|3ASPD|3BEXP|2DMG|1CDMG	19aASPD|24aBEXP|3RCR|5CDMG|6FEWX|7RMIN|8aDMG|aBPWR
17	53126 61222	 * 	231.52	ACR|3ASPD|2BEXP|1VULN|1DMG|2CDMG	1DMG|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7VULN|89aASPD
18	63126 61122	   	231.52	ACR|3ASPD|2BEXP|1VULN|1DMG|2CDMG	19aASPD|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7VULN|8DMG
19	53126 14322	 * 	230.77	ACR|1BASARM|2DMG|1ASPD|2CDMG|1BEXP	17DMG|2BEXP|3RCR|47CDMG|5AAC|67CGEN|7BPWR|8LWND|9ASPD|aBASARM
