0	Index      	 *	Score 	Summary	Detail	
1	31536 15312	 * 	213.02	ACR|3DMG|2BEXP|2VULN|1ASPD	1BELT|258LHND|3RCR|45aDMG|58BPWR|68BEXP|78VULN|9ASPD
2	31536 15311	   	211.02	ACR|2DMG|2BEXP|2VULN|1ASPD|1CDMG	1BELT|258LHND|3RCR|45DMG|58BPWR|68BEXP|78VULN|9ASPD|aCDMG
3	31533 23323	 * 	210.82	ACR|2DMG|2BEXP|1ASPD|1BASICY|1AART	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aAART
4	31533 34153	 * 	204.19	ACR|1BASARM|2DMG|1BEXP|1CDMG	1BELT|29LHND|3RCR|49DMG|5BEXP|6CDMG|7LEGI|89AEFBLL|9BPWR|aBASARM
5	31533 23326	   	204.11	ACR|2DMG|2BEXP|1ASPD|1BASICY|1VULN	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aVULN
6	31533 35153	 * 	201.54	ACR|1BASARM|2BEXP|1DMG|1CDMG	1BELT|29LHND|3RCR|4DMG|59BEXP|6CDMG|7DUR|89AEFBLL|9BPWR|aBASARM
7	31536 11223	 * 	199.10	ACR|3DMG|2BEXP|2AART	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9aAART
8	31536 11221	 * 	198.01	ACR|3DMG|3BEXP|1AART	1BELT|258aLHND|3RCR|458DMG|58aBPWR|68aBEXP|7DMSP|9AART
9	31536 15313	   	197.27	ACR|2DMG|2BEXP|2VULN|1ASPD	1BELT|258LHND|3RCR|45DMG|58BPWR|68BEXP|78VULN|9ASPD|aSNITOX
10	31533 23321	   	197.17	ACR|2DMG|2BEXP|1ASPD|1BASICY	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aLWND
11	31533 23322	   	197.17	ACR|2DMG|2BEXP|1ASPD|1BASICY	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aRPLT
12	31533 23325	   	197.17	ACR|2DMG|2BEXP|1ASPD|1BASICY	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aRMIN
13	31533 23324	   	197.07	ACR|2DMG|2BEXP|1ASPD|1BASICY	1BELT|2LHND|3RCR|49DMG|58BEXP|6ASPD|7BASICY|aAIRHEL
14	31531 23361	 * 	195.98	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5FEWX|6aASPD|7BASICY|8BEXP|9CDMG
15	31531 23641	   	195.98	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5FEWX|6aASPD|7BASICY|8CDMG|9BEXP
16	31533 23631	   	195.98	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5BEXP|6aASPD|7BASICY|8CDMG|9LWND
17	31533 23641	   	195.98	ACR|2ASPD|1DMG|1BASICY|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5BEXP|6aASPD|7BASICY|8CDMG|9FEWX
18	31535 23371	   	195.88	ACR|2ASPD|1BASICY|1DMG|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5MBVNT|6aASPD|7BASICY|8BEXP|9CDMG
19	31536 11224	   	193.58	ACR|3DMG|2BEXP|1AART|1VULN	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9AART|aVULN
20	31531 23352	   	193.23	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1BELT|2LHND|3RCR|4DMG|5FEWX|6ASPD|7BASICY|89BEXP|aAART
21	31533 23343	   	193.23	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1BELT|29LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|aAART
22	31533 23353	   	193.23	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	19BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|aAART
23	31533 23363	   	193.23	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|9RCVC|aAART
24	31533 23333	   	193.13	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|9AEMAG|aAART
25	31535 23362	   	193.13	ACR|2BEXP|1ASPD|1DMG|1BASICY|1AART	1BELT|2LHND|3RCR|4DMG|5MBVNT|6ASPD|7BASICY|89BEXP|aAART
26	31536 11236	   	193.06	ACR|3DMG|2BEXP|1ASPD	1BELT|2589LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|aASPD
27	31542 31332	 * 	192.92	ACR|1BASARM|2VULN|1DMG|1CDMG	1BELT|2LHND|3RCR|45VULN|6MDPS|7CDMG|8DUR|9BASARM|aDMG
28	31542 32232	   	192.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1BELT|2LHND|3RCR|45VULN|6MDPS|7LEGI|8CDMG|9BASARM|aDMG
29	35542 32232	   	192.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1BELT|2DUST|3RCR|45VULN|6MDPS|7LHND|8CDMG|9BASARM|aDMG
30	35542 31332	   	192.82	ACR|1BASARM|2VULN|1DMG|1CDMG	1BELT|2DUST|3RCR|45VULN|6MDPS|7CDMG|8DUR|9BASARM|aDMG
31	31533 23312	 * 	190.84	ACR|3BEXP|1ASPD|1DMG|1BASICY	1BELT|2aLHND|3RCR|4DMG|58aBEXP|6ASPD|7BASICY|9aERES|aBPWR
32	31536 61321	   	190.74	ACR|1BASARM|2DMG|1AART	1BELT|257LHND|3RCR|45DMG|5BPWR|6RMIN|8LWND|9AART|aBASARM
33	31533 23314	   	190.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	1BELT|2LHND|3RCR|4DMG|58aBEXP|6ASPD|7BASICY|9ERES
34	31536 14313	   	190.73	ACR|2DMG|1BASICY|1ASPD|1BEXP|1AAC	1BELT|25LHND|3RCR|45DMG|5BPWR|6BEXP|7AAC|8CGEN|9ASPD|aBASICY
35	31535 23416	 * 	188.74	ACR|2DMG|2VULN|1ASPD|1BASICY	1BELT|2aLHND|3RCR|4aDMG|5MBVNT|6ASPD|7BASICY|8aVULN|9RPLT|aBPWR
36	31523 11614	 * 	186.71	ACR|1BASARM|1ASPD|1AART|1BEXP	1BELT|24LHND|3RCR|5MLV|6BEXP|7AART|8DMSP|9ASPD|aBASARM
37	31531 23365	   	186.70	ACR|1BASICY|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1BELT|2LHND|3RCR|4DMG|5FEWX|6ASPD|7BASICY|8BEXP|9CDMG|aAAC
38	31533 23635	   	186.70	ACR|1BASICY|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1BELT|2LHND|3RCR|4DMG|5BEXP|6ASPD|7BASICY|8CDMG|9LWND|aAAC
39	31536 11222	   	186.64	ACR|3DMG|2BEXP|1AART	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9AART|aFEWX
40	31513 51633	   	186.61	ACR|1BASARM|1ASPD|1AART|1CDMG	1BELT|2LHND|3RCR|4DUR|5MLV|6ASPD|7ERES|8AART|9BASARM|aCDMG
41	31523 11514	   	186.61	ACR|1BASARM|1ASPD|1AART|1BEXP	1BELT|24LHND|3RCR|5MLV|6BEXP|7AART|8AEFBLL|9ASPD|aBASARM
42	31536 11225	   	186.54	ACR|3DMG|2BEXP|1AART	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9AART|aERES
43	31536 11226	   	186.54	ACR|3DMG|2BEXP|1AART	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9AART|aAEMAG
44	31536 11263	   	186.54	ACR|3DMG|2BEXP|1AART	1BELT|258LHND|3RCR|458DMG|58BPWR|68BEXP|7DMSP|9DLOT|aAART
45	31536 11521	   	186.54	ACR|3DMG|2BEXP|1AART	1BELT|25aLHND|3RCR|45aDMG|5aBPWR|6aBEXP|7DMSP|8MDPS|9AART
46	31531 23356	   	186.52	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	1BELT|2LHND|3RCR|4DMG|5FEWX|6ASPD|7BASICY|89BEXP|aVULN
47	31533 23346	   	186.52	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	1BELT|29LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|aVULN
48	31533 23356	   	186.52	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	19BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|aVULN
49	31533 23366	   	186.52	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	1BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|9RCVC|aVULN
50	31533 36413	   	186.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5BEXP|6CDMG|7TLV|8AME|9FEWX|aBASARM
51	31533 36433	   	186.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5BEXP|6CDMG|7TLV|8AME|9DUR|aBASARM
52	31533 36523	   	186.51	ACR|1BASARM|1DMG|1BEXP|1CDMG	1BELT|2LHND|3RCR|4DMG|5BEXP|6CDMG|7TLV|8DUST|9CGEN|aBASARM
53	31511 51633	   	186.51	ACR|1BASARM|1ASPD|1AART|1CDMG	1BELT|2LHND|3RCR|4DUR|5TLV|6ASPD|7ERES|8AART|9BASARM|aCDMG
54	31542 31333	   	186.51	ACR|1BASARM|2VULN|1BEXP|1CDMG	1BELT|2LHND|3RCR|45VULN|6MDPS|7CDMG|8DUR|9BASARM|aBEXP
55	34221 33442	 * 	186.48	ACR|2BASARM|2ASPD	1BELT|2aLIT|3LWND|4RCR|56AEMAG|7aBASARM|8DLOT|9aASPD|aBPWR
56	31533 23315	   	186.42	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	1BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|9ERES|aVULN
57	31533 23336	   	186.42	ACR|2BEXP|1ASPD|1DMG|1BASICY|1VULN	1BELT|2LHND|3RCR|4DMG|58BEXP|6ASPD|7BASICY|9AEMAG|aVULN
58	31542 32233	   	186.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1BELT|2LHND|3RCR|45VULN|6MDPS|7LEGI|8CDMG|9BASARM|aBEXP
59	35542 32233	   	186.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1BELT|2DUST|3RCR|45VULN|6MDPS|7LHND|8CDMG|9BASARM|aBEXP
