0	Index      	 *	Score 	Summary	Detail	
1	31514 43322	 * 	223.92	ACR|1BASARM|3BEXP|1ASPD|1DMG	14DUST|2RCR|3VENFST|5ASPD|678BEXP|9BASARM|aDMG
2	31514 43321	 * 	221.45	ACR|1BASARM|3BEXP|2ASPD	14DUST|2RCR|3VENFST|5aASPD|678BEXP|9BASARM
3	51333 53131	 * 	218.00	ACR|3BEXP|2ASPD|2DMG	1aLHND|2RCR|3VULN|4aDMG|5MDPS|6aASPD|789BEXP|aBPWR
4	51313 31322	 * 	217.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aAART
5	51313 51422	   	217.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1LHND|2RCR|39VULN|4ERES|5MDPS|6ASPD|7BASARM|8DMG|aAART
6	51333 21322	   	217.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aAART
7	21524 33321	   	217.47	ACR|1BASARM|3BEXP|1ASPD|1CDMG|1SELL	1FEWX|2RCR|3VENFST|478BEXP|5SELL|6CDMG|9BASARM|aASPD
8	51333 53152	 * 	213.43	ACR|3BEXP|2DMG|2VULN|1ASPD	1aLHND|2RCR|3aVULN|49DMG|5MDPS|6ASPD|78aBEXP|aBPWR
9	54613 31322	   	212.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1LHND|29VULN|3RCR|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aAART
10	54633 21322	   	212.88	ACR|1BASARM|2VULN|1ASPD|1DMG|1AART	1LHND|29VULN|3RCR|4DMG|5MDPS|6AME|7BASARM|8ASPD|aAART
11	31431 86221	 * 	212.38	ACR|1BASARM|2BEXP|2AART|1CDMG	1DUST|2RCR|36AART|4MLV|5MBVNT|7BASARM|89BEXP|aCDMG
12	21522 23321	   	212.37	ACR|1BASARM|3BEXP|1ASPD|1AAC	1FEWX|2RCR|3VENFST|478BEXP|5DMSP|6AAC|9BASARM|aASPD
13	21525 23321	   	212.37	ACR|1BASARM|3BEXP|1ASPD|1AAC	15FEWX|2RCR|3VENFST|478BEXP|6AAC|9BASARM|aASPD
14	61522 23321	   	212.37	ACR|1BASARM|3BEXP|1ASPD|1AAC	1DUR|2RCR|3VENFST|478BEXP|5DMSP|6AAC|9BASARM|aASPD
15	51332 23341	   	211.87	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	158LHND|2RCR|38VULN|4DMG|6CDMG|78MLV|8BPWR|9AART|aBASARM
16	21552 36321	   	211.67	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1FEWX|2RCR|3VENFST|4LWND|5AART|6DMG|7LIT|8BEXP|9ASPD|aBASARM
17	21126 26231	   	211.67	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	15FEWX|2RCR|3RMIN|49VULN|6CDMG|7DMG|8BASARM|aAART
18	21136 26231	   	211.67	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	1FEWX|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aAART
19	21146 26231	   	211.67	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	1FEWX|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aAART
20	21346 26231	   	211.67	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	15FEWX|2RCR|39VULN|4ZMB|6CDMG|7DMG|8BASARM|aAART
21	21413 36321	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1FEWX|2RCR|3AART|4FLTFST|5DUST|6DMG|7LIT|8BEXP|9ASPD|aBASARM
22	21453 36321	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1FEWX|2RCR|3AART|4VENFST|5DUST|6DMG|7LIT|8BEXP|9ASPD|aBASARM
23	31136 26231	   	211.57	ACR|1BASARM|2VULN|1DMG|1AART|1CDMG	1DUST|2RCR|3RMIN|4RCVC|59VULN|6CDMG|7DMG|8BASARM|aAART
24	31146 26231	   	211.57	ACR|1BASARM|2VULN|1DMG|1CDMG|1AART	1DUST|2RCR|34RMIN|59VULN|6CDMG|7DMG|8BASARM|aAART
25	31552 36321	   	211.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1DUST|2RCR|3VENFST|4LWND|5AART|6DMG|7LIT|8BEXP|9ASPD|aBASARM
26	61413 36321	   	211.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1DUR|2RCR|3AART|4FLTFST|5DUST|6DMG|7LIT|8BEXP|9ASPD|aBASARM
27	31631 44231	   	211.47	ACR|1BASARM|2VULN|1DMG|1CDMG|1AART	13DUST|2RCR|4DMG|5CDMG|6ZMB|79VULN|8BASARM|aAART
28	21524 35221	   	211.43	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1FEWX|2RCR|3VENFST|4BEXP|5SELL|6CDMG|7ASPD|8DUR|9BASARM|aDMG
29	31416 23235	 * 	210.06	ACR|1BASARM|3AART|1ASPD|1AAC	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9ASPD|aAAC
30	51632 21321	 * 	209.29	ACR|1BASARM|2DMG|1BEXP|1CDMG	15LHND|2RCR|3BEXP|4aDMG|6CDMG|7RPLT|8VENTOX|9BASARM
31	51233 52133	 * 	209.22	ACR|3DMG|3BEXP|1ASPD	19aLHND|2RCR|3LWND|49aDMG|5MDPS|6ASPD|7DUST|89aBEXP|9aBPWR
32	51433 52133	   	209.22	ACR|3DMG|3BEXP|1ASPD	19aLHND|2RCR|3DUR|49aDMG|5MDPS|6ASPD|7DUST|89aBEXP|9aBPWR
33	21131 64253	 * 	208.75	ACR|1BASARM|2ASPD|1DMG|1SELL	1FEWX|2RCR|3RMIN|4RCVC|5SELL|6DMG|7VULN|8BASARM|9aASPD
34	31416 23233	   	208.70	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9ASPD|aVULN
35	31456 23233	   	208.70	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4VENFST|5CGEN|8BASARM|9ASPD|aVULN
36	31131 64253	 * 	208.65	ACR|1BASARM|2ASPD|1DMG|1SELL	1DUST|2RCR|3RMIN|4RCVC|5SELL|6DMG|7VULN|8BASARM|9aASPD
37	61433 25223	   	208.44	ACR|1BASARM|2BEXP|1AART|1CDMG|1AAC	16DUR|2RCR|3AART|4MLV|58BEXP|7BASARM|9AAC|aCDMG
38	31443 25223	   	208.34	ACR|1BASARM|2BEXP|1AART|1CDMG|1AAC	1DUST|2RCR|3AART|48BEXP|5RCVC|6CGEN|7BASARM|9AAC|aCDMG
