0	Index      	 *	Score 	Summary	Detail	
1	51313 14361	 * 	253.58	ACR|2BASARM|3ASPD|1VULN|1DMG|1CDMG	19LIT|239ASPD|4RCR|5AAC|6CDMG|7VULN|89BASARM|9BPWR|aDMG
2	51316 16132	 * 	240.08	ACR|2BASARM|3ASPD|2DMG	159LIT|238ASPD|4RCR|69BASARM|79DMG|9BPWR|aMLV
3	51316 16133	   	240.08	ACR|2BASARM|3ASPD|2DMG	159LIT|238ASPD|4RCR|69BASARM|79DMG|9BPWR|aCGEN
4	51316 16131	   	239.98	ACR|2BASARM|3ASPD|2DMG	159LIT|238ASPD|4RCR|69BASARM|79DMG|9BPWR|aAME
5	51213 14361	   	232.33	ACR|2BASARM|3ASPD|1VULN|1CDMG	139LIT|239ASPD|39BPWR|4RCR|5AAC|6CDMG|7VULN|89BASARM|aZMB
6	51213 14362	   	232.33	ACR|2BASARM|3ASPD|1VULN|1CDMG	139LIT|239ASPD|39BPWR|4RCR|5AAC|6CDMG|7VULN|89BASARM|aLWND
7	51213 14363	   	232.33	ACR|2BASARM|3ASPD|1VULN|1CDMG	139LIT|239ASPD|39BPWR|4RCR|5AAC|6CDMG|7VULN|89BASARM|aMLV
8	51313 14362	   	232.23	ACR|2BASARM|3ASPD|1VULN|1CDMG	19LIT|239ASPD|4RCR|5AAC|6CDMG|7VULN|89BASARM|9BPWR|aLWND
9	51313 14363	   	232.23	ACR|2BASARM|3ASPD|1VULN|1CDMG	19LIT|239ASPD|4RCR|5AAC|6CDMG|7VULN|89BASARM|9BPWR|aDUR
10	33143 61152	 * 	231.56	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG|1CDMG	1LHND|2CDMG|35BEXP|4RCR|6VULN|7CGEN|8ASPD|9BASARM|aDMG
11	33143 25423	 * 	229.79	ACR|3DMG|1BASARM|2BEXP|1CDMG	19LHND|2CDMG|35BEXP|4RCR|67aDMG|8BASARM
12	33145 25213	   	229.69	ACR|3DMG|1BASARM|2BEXP|1CDMG	1LHND|2CDMG|38BEXP|4RCR|5AEFBLL|67aDMG|9BASARM
13	33141 22152	 * 	229.09	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1LHND|2CDMG|37BEXP|4RCR|5aDMG|6MLV|8VULN|9BASARM
14	33143 21452	   	229.09	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1LHND|2CDMG|35BEXP|4RCR|6aDMG|7VULN|8CGEN|9BASARM
15	33143 21652	   	228.99	ACR|1BASARM|2DMG|2BEXP|1VULN|1CDMG	1LHND|2CDMG|35BEXP|4RCR|6aDMG|7VULN|8TLV|9BASARM
16	51316 16111	   	223.96	ACR|3ASPD|1BASARM|1DMG|1VULN	15LIT|238ASPD|4RCR|6BASARM|7DMG|9CGEN|aVULN
