0	Index      	 *	Score 	Summary	Detail	
1	13361 12131	 * 	201.03	ACR|1BASARM|2DMG|1CDMG|1AART|1VULN	1MLV|2AART|37DMG|4TLV|5RCR|6DUST|8CDMG|9BASARM|aVULN
2	24215 23316	 * 	196.54	ACR|1BASARM|2BEXP|1DMG|1AART	1LWND|2AART|3MLV|4RCR|5LHND|67BEXP|8DMG|9FEWX|aBASARM
3	24216 23316	   	196.54	ACR|1BASARM|2BEXP|1DMG|1AART	1LWND|2AART|3MLV|4RCR|5DUR|67BEXP|8DMG|9FEWX|aBASARM
4	13361 12135	   	194.09	ACR|1BASARM|2DMG|1CDMG|1AART	1MLV|2AART|37DMG|4TLV|5RCR|6DUST|8CDMG|9BASARM|aFEWX
5	13361 12136	   	194.09	ACR|1BASARM|2DMG|1CDMG|1AART	1MLV|2AART|37DMG|4TLV|5RCR|6DUST|8CDMG|9BASARM|aRMIN
6	13361 12133	   	193.99	ACR|1BASARM|2DMG|1CDMG|1AART	1MLV|2AART|37DMG|4TLV|5RCR|6aDUST|8CDMG|9BASARM
7	13361 12134	   	193.99	ACR|1BASARM|2DMG|1CDMG|1AART	1MLV|2AART|37DMG|4TLV|5RCR|6DUST|8CDMG|9BASARM|aERES
8	11651 23225	 * 	185.54	ACR|1BASARM|2ASPD|1BEXP	12MLV|2BPWR|3RMIN|4RCR|5BELT|6BEXP|79ASPD|8AEMAG|aBASARM
9	13613 66132	 * 	184.21	ACR|1BASARM|1ASPD|2AAC|1AART	1MLV|2AART|3LHND|4RCR|5CGEN|6RPLT|7ASPD|8aAAC|9BASARM
10	13261 12634	 * 	183.40	ACR|2ASPD|2DMG|1AART|1BEXP	19MLV|2AART|39ASPD|4TLV|5RCR|6DUST|79DMG|8MDPS|9BPWR|aBEXP
11	13261 16131	 * 	183.35	ACR|1BASARM|1ASPD|1CDMG|1AART|1VULN	1MLV|2AART|3ASPD|4TLV|5RCR|67DUST|8CDMG|9BASARM|aVULN
12	13361 16131	   	183.35	ACR|1BASARM|1DMG|1CDMG|1AART|1VULN	1MLV|2AART|3DMG|4TLV|5RCR|67DUST|8CDMG|9BASARM|aVULN
13	11652 16133	   	183.30	ACR|1BASARM|1DMG|1CDMG|1AAC|1VULN	12MLV|2BPWR|3RMIN|4RCR|5RCVC|6DMG|7AAC|8CDMG|9VULN|aBASARM
14	24215 22316	   	181.71	ACR|1BASARM|1DMG|1AART|1BEXP	17LWND|2AART|3MLV|4RCR|5LHND|6BEXP|8DMG|9FEWX|aBASARM
15	24216 22316	   	181.71	ACR|1BASARM|1DMG|1AART|1BEXP	17LWND|2AART|3MLV|4RCR|5DUR|6BEXP|8DMG|9FEWX|aBASARM
16	13361 22353	 * 	181.47	ACR|3DMG|1BASICY|1AART|1BEXP	1MLV|2AART|379DMG|4TLV|5RCR|6FEWX|8BEXP|aBASICY
17	13361 32353	   	181.47	ACR|3DMG|1BASICY|1BEXP|1AART	1MLV|2AART|379DMG|4TLV|5RCR|6LHND|8BEXP|aBASICY
