0	Index      	 *	Score 	Summary	Detail	
1	63251 11224	 * 	242.64	ACR|2VULN|1BASARM|2DMG|1CDMG|1AART	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aAART
2	63251 31224	   	242.54	ACR|2VULN|1BASARM|2DMG|1AART|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aAART
3	63431 11224	 * 	228.82	ACR|1BASARM|2VULN|2BEXP|1AART|1CDMG	1RPLT|2RCR|38BEXP|48ZMB|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aAART
4	63431 31224	   	228.72	ACR|1BASARM|2VULN|2BEXP|1AART|1CDMG	1RPLT|2RCR|38BEXP|48ZMB|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aAART
5	63251 11221	   	224.33	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38aFEWX|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BASARM
6	63251 11222	   	224.33	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aLHND
7	63251 11223	   	224.33	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aBELT
8	63251 11225	   	224.33	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6aCGEN|78VULN|8BPWR|9BASARM
9	63251 11226	   	224.23	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aAME
10	63251 31221	   	224.23	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38aFEWX|48DMG|5CDMG|6ERES|78VULN|8BPWR|9BASARM
11	63251 31222	   	224.23	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aLHND
12	63251 31223	   	224.23	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aBELT
13	63251 31225	   	224.23	ACR|2VULN|1BASARM|2DMG|1CDMG	1RPLT|2RCR|38FEWX|48DMG|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aCGEN
14	63114 23134	 * 	219.75	ACR|3VULN|1BASARM|2DMG	1RPLT|2RCR|39LHND|4LWND|59DMG|679VULN|8BELT|9BPWR|aBASARM
15	63352 62213	 * 	219.65	ACR|1BASARM|2ASPD|2DMG	1RPLT|2RCR|3aAME|4DMSP|5FEWX|6aASPD|7BASARM|8LWND|9aDMG|aBPWR
16	63351 62213	   	219.55	ACR|1BASARM|2ASPD|2DMG	1RPLT|2RCR|3aAME|4DMSP|5DUST|6aASPD|7BASARM|8LWND|9aDMG|aBPWR
17	63353 22113	   	219.55	ACR|1BASARM|2ASPD|2DMG	1RPLT|2RCR|3aAME|4DMSP|5aASPD|6LHND|7BASARM|8MBVNT|9aDMG|aBPWR
18	63353 42113	   	219.45	ACR|1BASARM|2ASPD|2DMG	1RPLT|2RCR|3aAME|4DMSP|5aASPD|6DUST|7BASARM|8MBVNT|9aDMG|aBPWR
19	63431 11222	   	218.67	ACR|1BASARM|2VULN|2BEXP|1CDMG|1AAC	1RPLT|2RCR|38BEXP|48ZMB|5CDMG|6CGEN|78VULN|8BPWR|9BASARM|aAAC
20	63431 31222	   	218.57	ACR|1BASARM|2VULN|2BEXP|1CDMG|1AAC	1RPLT|2RCR|38BEXP|48ZMB|5CDMG|6ERES|78VULN|8BPWR|9BASARM|aAAC
21	63251 22263	 * 	213.08	ACR|1BASARM|1VULN|1ASPD|1DMG|1CDMG	1RPLT|2RCR|3FEWX|4DMG|5CDMG|6DUR|7VULN|8BELT|9BASARM|aASPD
