0	Index      	 *	Score 	Summary	Detail	
1	63424 21331	 * 	255.45	ACR|4VULN|1BASARM|2ASPD|1AART|1BEXP	126aVULN|2BPWR|3BASARM|4RCR|5BEXP|79ASPD|8AART
2	63424 31131	   	251.52	ACR|4VULN|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1279VULN|2BPWR|3BASARM|4RCR|5BEXP|6CDMG|8AART|aASPD
3	63424 31111	 * 	248.88	ACR|3VULN|1BASARM|1ASPD|2CDMG|1AART|1BEXP	127VULN|2BPWR|3BASARM|4RCR|5BEXP|69CDMG|8AART|aASPD
4	63422 61133	 * 	243.55	ACR|3VULN|2BASARM|1ASPD|1BASICY|1AART	126VULN|26BPWR|36BASARM|4RCR|5NUKE|7AART|8FEWX|9ASPD|aBASICY
5	63422 61333	   	243.55	ACR|3VULN|2BASARM|1ASPD|1BASICY|1AART	126VULN|26BPWR|36BASARM|4RCR|5NUKE|7AART|8LHND|9ASPD|aBASICY
6	63423 61133	   	243.55	ACR|3VULN|2BASARM|1ASPD|1BASICY|1AART	126VULN|26BPWR|36BASARM|4RCR|5AAC|7AART|8FEWX|9ASPD|aBASICY
7	63423 61333	   	243.55	ACR|3VULN|2BASARM|1ASPD|1BASICY|1AART	126VULN|26BPWR|36BASARM|4RCR|5AAC|7AART|8LHND|9ASPD|aBASICY
8	63424 21332	   	243.36	ACR|3VULN|1BASARM|2ASPD|1BEXP|1AART	126VULN|2BPWR|3BASARM|4RCR|5BEXP|79ASPD|8AART|aCGEN
9	63424 21333	   	243.36	ACR|3VULN|1BASARM|2ASPD|1AART|1BEXP	126VULN|2BPWR|3BASARM|4RCR|5BEXP|79ASPD|8AART|aZMB
10	63426 22231	   	241.80	ACR|4VULN|1BASARM|2ASPD|1AART	127aVULN|2BPWR|3BASARM|4RCR|59ASPD|6LHND|8AART
11	63424 31133	 * 	238.02	ACR|5VULN|1BASARM|1AART|1BEXP|1CDMG	1279aVULN|2BPWR|3BASARM|4RCR|5BEXP|6CDMG|8AART
12	63424 31113	 * 	237.77	ACR|4VULN|1BASARM|2CDMG|1AART|1BEXP	127aVULN|2BPWR|3BASARM|4RCR|5BEXP|69CDMG|8AART
13	16332 45132	 * 	235.02	ACR|3ASPD|3DMG|3BEXP	139BEXP|2BELT|39aBPWR|4RCR|5RCVC|69aASPD|7RPLT|89aDMG
14	16333 45132	   	232.46	ACR|3ASPD|3DMG|3BEXP	139BEXP|2BELT|39aBPWR|4RCR|5aAEFBLL|69aASPD|7RPLT|89aDMG
15	63421 33332	   	232.34	ACR|2VULN|1BASARM|2ASPD|1AART|1CDMG	12VULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7VENFST|8AART|aCDMG
16	63422 25333	 * 	232.08	ACR|3VULN|1BASARM|1ASPD|1DMG|1AART	12aVULN|2BPWR|3BASARM|4RCR|5NUKE|6LHND|7AART|8ASPD|9DMG
17	63423 25333	   	232.08	ACR|3VULN|1BASARM|1ASPD|1DMG|1AART	12aVULN|2BPWR|3BASARM|4RCR|5AAC|6LHND|7AART|8ASPD|9DMG
18	63424 11333	   	231.86	ACR|2VULN|1BASARM|1ASPD|1BASICY|1BEXP|1AART	12VULN|2BPWR|3BASARM|4RCR|5BEXP|6RMIN|7RCVC|8AART|9ASPD|aBASICY
19	63422 61232	   	231.79	ACR|3VULN|2BASARM|1ASPD|1AART	126VULN|26BPWR|36BASARM|4RCR|5NUKE|7AART|8DUR|9ASPD|aAAC
20	63423 61232	   	231.33	ACR|3VULN|2BASARM|1ASPD|1AART	126VULN|26BPWR|36BASARM|4RCR|5aAAC|7AART|8DUR|9ASPD
21	63426 11331	   	231.21	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|59ASPD|6DUST|7RCVC|8AART
22	63426 22232	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	127VULN|2BPWR|3BASARM|4RCR|59ASPD|6LHND|8AART|aCGEN
23	63426 22233	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	127VULN|2BPWR|3BASARM|4RCR|59ASPD|6LHND|8AART|aZMB
24	63421 21231	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|6LWND|79ASPD|8AART
25	63421 31131	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7AART|8FEWX
26	63421 31231	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7AART|8DUR
27	63421 31331	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7AART|8LHND
28	63426 32231	   	229.70	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|59ASPD|6MLV|7CGEN|8AART
29	63421 33333	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7VENFST|8AART
30	63421 36231	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5DMSP|69ASPD|7LEGI|8AART
31	63422 31331	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5NUKE|6MLV|79ASPD|8AART
32	63422 41331	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5NUKE|6CGEN|79ASPD|8AART
33	63423 31331	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5AAC|6MLV|79ASPD|8AART
34	63423 41331	   	229.60	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|5AAC|6CGEN|79ASPD|8AART
35	63426 12331	   	229.50	ACR|3VULN|1BASARM|2ASPD|1AART	12aVULN|2BPWR|3BASARM|4RCR|59ASPD|67DUST|8AART
36	63422 22233	   	228.86	ACR|3VULN|1BASARM|1ASPD|1BASICY|1AART	127VULN|2BPWR|3BASARM|4RCR|5NUKE|6LHND|8AART|9ASPD|aBASICY
37	63423 22233	   	228.86	ACR|3VULN|1BASARM|1ASPD|1BASICY|1AART	127VULN|2BPWR|3BASARM|4RCR|5AAC|6LHND|8AART|9ASPD|aBASICY
38	63425 11311	 * 	228.82	ACR|3VULN|2BASARM|2BEXP|1AART	127VULN|27BPWR|37BASARM|4RCR|5RPLT|67BEXP|8DUR|9LIT|aAART
39	63422 52233	   	228.76	ACR|3VULN|1BASARM|1ASPD|1BASICY|1AART	127VULN|2BPWR|3BASARM|4RCR|5NUKE|6LEGI|8AART|9ASPD|aBASICY
40	63423 52233	   	228.76	ACR|3VULN|1BASARM|1ASPD|1BASICY|1AART	127VULN|2BPWR|3BASARM|4RCR|5AAC|6LEGI|8AART|9ASPD|aBASICY
41	63425 11333	   	228.72	ACR|3VULN|2BASARM|2BEXP|1AART	127VULN|27BPWR|37BASARM|4RCR|5RPLT|67BEXP|8DUR|9MDPS|aAART
42	63422 63312	 * 	228.33	ACR|4VULN|2BASARM|1AART|1CDMG	1269VULN|26BPWR|36BASARM|4RCR|5NUKE|7VENFST|8AART|aCDMG
43	63423 63312	   	228.33	ACR|4VULN|2BASARM|1AART|1CDMG	1269VULN|26BPWR|36BASARM|4RCR|5AAC|7VENFST|8AART|aCDMG
44	63426 23313	   	227.78	ACR|2VULN|1BASARM|2ASPD|1BEXP|1CDMG	12VULN|2BPWR|3BASARM|4RCR|59ASPD|6LHND|7CDMG|8CGEN|aBEXP
45	63424 31132	   	227.50	ACR|4VULN|1BASARM|1BEXP|1CDMG|1AART	1279VULN|2BPWR|3BASARM|4RCR|5BEXP|6CDMG|8AART|aLWND
46	63422 22236	 * 	226.41	ACR|3VULN|1BASARM|2AART|1ASPD	127VULN|2BPWR|3BASARM|4RCR|5NUKE|6LHND|8aAART|9ASPD
47	63423 22236	   	226.41	ACR|3VULN|1BASARM|2AART|1ASPD	127VULN|2BPWR|3BASARM|4RCR|5AAC|6LHND|8aAART|9ASPD
48	63421 13216	   	225.67	ACR|3VULN|1BASARM|1ASPD|1DMG|1BEXP	126VULN|2BPWR|3BASARM|4RCR|5DMSP|7RPLT|8BEXP|9ASPD|aDMG
49	63424 31112	   	225.67	ACR|3VULN|1BASARM|2CDMG|1BEXP|1AART	127VULN|2BPWR|3BASARM|4RCR|5BEXP|69CDMG|8AART|aLWND
50	63421 33312	   	225.67	ACR|3VULN|1BASARM|1ASPD|1AART|1CDMG	129VULN|2BPWR|3BASARM|4RCR|5DMSP|6ASPD|7VENFST|8AART|aCDMG
