0	Index      	 *	Score 	Summary	Detail	
1	55332 63113	 * 	222.70	ACR|3BEXP|2ASPD|3VULN|1AART|1CDMG	169VULN|2CDMG|39ASPD|4RCR|579BEXP|8BELT|9BPWR|aAART
2	55332 63332	 * 	219.37	ACR|2ASPD|2BEXP|2VULN|1DMG|1CDMG|1AART	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9DMG|aAART
3	32436 11334	 * 	214.87	ACR|3ASPD|3DMG|1CDMG|1AAC	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aAAC
4	35136 11334	   	214.87	ACR|3ASPD|3DMG|1CDMG|1AAC	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aAAC
5	55332 63311	   	214.02	ACR|2ASPD|2BEXP|2VULN|1DMG|1CDMG|1AAC	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9AAC|aDMG
6	51336 43123	 * 	213.93	ACR|2DMG|3VULN|2BEXP|2AAC|1CDMG	13aVULN|26AAC|4RCR|5aDMG|7CGEN|8CDMG|9aBEXP|aBPWR
7	51336 21125	 * 	211.21	ACR|2DMG|3VULN|1ASPD|1BEXP|1CDMG|1AAC	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9BEXP|aASPD
8	51336 21162	   	211.21	ACR|2DMG|3VULN|1ASPD|1CDMG|1AART|1AAC	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9ASPD|aAART
9	55334 33221	 * 	209.22	ACR|2ASPD|3VULN|2CDMG|1DMG|1BEXP	168VULN|25CDMG|35ASPD|4RCR|5BPWR|7CGEN|9BEXP|aDMG
10	55332 63111	   	208.95	ACR|3BEXP|2ASPD|3VULN|1CDMG	169VULN|2CDMG|39ASPD|4RCR|579BEXP|8BELT|9BPWR|aMDPS
11	55332 63112	   	208.95	ACR|3BEXP|2ASPD|3VULN|1CDMG	169VULN|2CDMG|39ASPD|4RCR|579BEXP|8BELT|9BPWR|aERES
12	64111 33214	 * 	208.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6DMG|7RCVC|8BASICY|9LHND|aBASARM
13	64111 33234	   	208.08	ACR|1BASARM|1ASPD|1DMG|1BASICY|1BEXP	1BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6DMG|7RCVC|8BASICY|9DUR|aBASARM
14	32436 11312	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aCDMG
15	32436 11315	   	206.56	ACR|3ASPD|3DMG|1BEXP	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aBEXP
16	32436 11331	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aRCVC
17	32436 11332	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aFEWX
18	32436 11335	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aLWND
19	32436 11336	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aDMSP
20	35136 11312	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aCDMG
21	35136 11315	   	206.56	ACR|3ASPD|3DMG|1BEXP	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aBEXP
22	35136 11331	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2aRCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG
23	35136 11332	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aFEWX
24	35136 11335	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aLWND
25	35136 11336	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aDMSP
26	35636 11312	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aCDMG
27	35636 11331	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2aRCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9CDMG
28	35636 11332	   	206.56	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aFEWX
29	32436 11324	   	206.46	ACR|3ASPD|3DMG|1BEXP	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aBEXP
