0	Index      	 *	Score 	Summary	Detail	
1	12348 83318	 * 	282.95	橙橙1易伤1等级1矿等1全技能1攻速1雷电	1加一2易伤3最后敌人4等级5雷电6全技能7矿等8攻速9a核
2	51325 12511	 * 	266.95	橙橙2易伤1伤害1雷电	1随机技能2伤害3时间4掉矿5a易伤68核7加农对毒9雷电
3	14344 16173	   	265.13	橙橙1易伤1等级1矿等1攻速	1加一2时间3最后敌人4等级5狙击对黄6a核7矿等8易伤9攻速
4	12542 65143	 * 	264.63	橙橙3易伤1攻速	1加一248易伤3赏金塔5攻速6a核7立即金币9基础对甲
5	51325 12532	   	262.55	橙橙2易伤1伤害2时间	1随机技能2伤害39时间4掉矿5a易伤68核7加农对毒
6	62163 32363	   	260.73	橙橙2易伤1攻速1雷电	1时间2平台34易伤5攻速6雷电7a核8低血量敌人9敌人爆炸
7	51633 12511	   	260.11	橙橙2易伤1伤害1雷电	1随机技能2伤害3金币生成4a易伤5低血量敌人68核7加农对毒9雷电
8	51225 12511	   	260.01	橙橙2易伤1伤害1雷电	1随机技能2伤害3低血量敌人4掉矿5a易伤68核7加农对毒9雷电
9	51331 13614	   	259.19	橙橙1易伤1伤害1矿等1暴击	1随机技能2伤害3时间4暴击5立即金币6a核7矿等8易伤9敌人爆炸
10	12344 16673	   	258.19	橙橙1易伤1等级1矿等1攻速	1加一2易伤3最后敌人4等级5寒冰对黄6a核7矿等8低血量敌人9攻速
11	13344 16173	   	258.19	橙橙1易伤1等级1矿等1攻速	1加一2低血量敌人3最后敌人4等级5狙击对黄6a核7矿等8易伤9攻速
12	13631 16173	   	258.19	橙橙1易伤1等级1矿等1攻速	1加一2低血量敌人3等级4寒冰对黄5基地爆炸6a核7矿等8易伤9攻速
13	12344 16573	   	258.09	橙橙1易伤1等级1矿等1攻速	1加一2易伤3最后敌人4等级5寒冰对黄6a核7矿等8挖尘9攻速
14	18144 16173	   	258.09	橙橙1易伤1等级1矿等1攻速	1加一2最后敌人3雷电减费4等级5寒冰对黄6a核7矿等8易伤9攻速
15	12634 25373	   	257.99	橙橙2易伤1矿等1攻速	1加一28易伤3技能点4爆破对壮5双倍秒伤6矿等7a核9攻速
16	12734 25373	   	257.99	橙橙2易伤1矿等1攻速	1加一28易伤3掉矿4爆破对壮5双倍秒伤6矿等7a核9攻速
17	51325 12252	 * 	257.63	橙橙1易伤2矿等1伤害	1随机技能2伤害3时间4掉矿5易伤69核7加农对毒8a矿等
18	12231 84843	 * 	254.94	橙橙2易伤2攻速	1加一25易伤3基地爆炸4电塔对甲69攻速7a核8双倍秒伤
19	12563 24116	 * 	254.54	橙3易伤2伤害2攻速1全技能1雷电	1加一26a易伤3赏金塔4全技能5雷电7核8a伤害9a攻速a序列升级
20	12441 61518	   	254.49	橙橙1易伤1伤害1全技能1雷电	1加一2易伤3双倍矿4敌人爆炸5雷电6时间7全技能8伤害9a核
21	12141 61518	   	254.39	橙橙1易伤1伤害1全技能1雷电	1加一2易伤3毒气减费4敌人爆炸5雷电6时间7全技能8伤害9a核
22	42163 33533	   	253.69	橙橙2易伤1攻速1雷电	1最后敌人2平台34易伤5攻速6雷电7风暴减费8敌人爆炸9a核
23	55133 12511	   	253.69	橙橙2易伤1攻速1雷电	1随机技能2金币生成3攻速4a易伤5低血量敌人68核7加农对毒9雷电
24	42163 33633	   	253.59	橙橙2易伤1攻速1雷电	1最后敌人2平台34易伤5攻速6雷电7风暴减费8挖尘9a核
