0	Index      	 *	Score 	Summary	Detail	
1	23313 63164	 * 	284.30	橙橙2易伤1等级1矿等2时间	16易伤2等级37时间4矿等5赏金塔8a核9散射对喷气
2	23622 16141	   	269.30	橙橙1易伤1等级1矿等1攻速1雷电	1易伤2等级3策反4雷电5双倍秒伤6金币生成7a核8矿等9攻速
3	23146 32336	   	263.28	橙橙1易伤1等级1暴击1攻速	1易伤2等级3平台4随机矿5攻速6a核7时间8暴击9双倍秒伤
4	23231 15164	 * 	261.82	橙橙2等级1易伤1矿等	1易伤27等级3赏金塔4矿等5立即金币6时间8a核9散射对喷气
5	11341 81583	 * 	259.75	橙3易伤2喷火对甲3雷电1矿等	179雷电2加一3矿等49a易伤59喷火对甲6核8双倍矿9序列升级
6	22221 62164	 * 	258.12	橙橙3易伤	146易伤2赏金邻近3时间5立即金币7低血量敌人8a核9寒冰对甲
7	32321 62164	   	258.12	橙橙3易伤	1时间2赏金邻近346易伤5立即金币7低血量敌人8a核9寒冰对甲
8	33321 62164	   	258.12	橙橙3易伤	1时间2赏金塔346易伤5立即金币7低血量敌人8a核9寒冰对甲
9	23231 13164	   	258.09	橙橙1易伤1等级1矿等2时间	1易伤2等级3赏金塔4矿等5立即金币67时间8a核9散射对喷气
10	22221 63164	   	258.02	橙橙3易伤	146易伤2赏金邻近3时间5立即金币7挖青8a核9寒冰对甲
11	32321 63164	   	258.02	橙橙3易伤	1时间2赏金邻近346易伤5立即金币7挖青8a核9寒冰对甲
12	33321 63164	   	258.02	橙橙3易伤	1时间2赏金塔346易伤5立即金币7挖青8a核9寒冰对甲
13	23312 43164	   	257.99	橙橙1易伤1等级1矿等2时间	1易伤2等级37时间4矿等5烈焰减费6赏金塔8a核9散射对喷气
14	11821 23851	 * 	255.81	橙橙2伤害2全技能2雷电	19雷电2加一39基地爆炸4赏金塔5a全技能69伤害78核9序列升级
15	23511 33164	   	255.14	橙橙2易伤1等级	14易伤2等级3金币生成56敌人爆炸7赏金塔8a核9散射对喷气
16	23513 13164	   	254.94	橙橙2易伤1等级	14易伤2等级3金币生成5暴雪减费6赏金塔7雷电减费8a核9机枪对头目
17	23231 35164	   	254.88	橙橙2等级1易伤1矿等	1易伤27等级3赏金塔4矿等5立即金币6最后敌人8a核9散射对喷气
18	23231 25164	   	254.78	橙橙2等级1易伤1矿等	1易伤27等级3赏金塔4矿等5立即金币6挖青8a核9散射对喷气
19	11821 23814	 * 	254.39	橙橙1易伤1伤害1全技能1雷电	1雷电2加一3基地爆炸4赏金塔5全技能6伤害78核9时间a易伤
