0	Index      	 *	Score 	Summary	Detail	
1	22312 15521	 * 	285.24	橙橙2易伤1等级1导弹对毒1时间	1a易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级
2	25214 12335	 * 	283.34	橙橙2易伤2矿等1等级	19易伤29基地爆炸34低血量敌人5双倍秒伤6等级79矿等8a核9序列升级
3	25231 12335	   	283.34	橙橙2易伤2矿等1等级	19易伤29基地爆炸3低血量敌人4双倍秒伤5立即金币6等级79矿等8a核9序列升级
4	25235 12335	   	283.34	橙橙2易伤2矿等1等级	19易伤29基地爆炸35低血量敌人4双倍秒伤6等级79矿等8a核9序列升级
5	25224 12335	   	283.24	橙橙2易伤2矿等1等级	19易伤2基地爆炸39低血量敌人4风暴减费5双倍秒伤6等级79矿等8a核9序列升级
6	23412 15423	 * 	277.48	橙橙3易伤1等级	13a易伤2平台4等级5立即金币69核7寒冰对甲8低血量敌人
7	23412 12255	   	277.38	橙橙3易伤1等级	139易伤2平台4等级5立即金币6a核7暴雪减费8最后敌人
8	22512 15521	   	268.89	橙橙2易伤1等级1时间	1a易伤2敌人爆炸3立即金币4机枪对头目5毒液对毒67核8时间9等级
9	22612 15521	   	268.79	橙橙2易伤1等级1时间	1a易伤2敌人爆炸3暴雪减费4机枪对头目5毒液对毒67核8时间9等级
10	36122 15121	   	268.79	橙橙2易伤1等级1时间	1技能点2随机矿3机枪对头目4时间5寒冰对冰67核8a易伤9等级
11	36512 15121	   	268.79	橙橙2易伤1等级1时间	1技能点2随机矿3时间4多重对愈5寒冰对冰67核8a易伤9等级
12	31222 15121	   	268.69	橙橙2易伤1等级1时间	1技能点2爆破对冰3掉矿4时间5毒液对毒67核8a易伤9等级
13	32122 15121	   	268.69	橙橙2易伤1等级1时间	1技能点2掉矿3电塔对黄4时间5毒液对毒67核8a易伤9等级
14	32512 15121	   	268.69	橙橙2易伤1等级1时间	1技能点2掉矿3时间4机枪对头目5毒液对毒67核8a易伤9等级
15	22312 15122	   	267.53	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a随机矿
16	22312 15125	   	267.53	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a低血量敌人
17	25362 15122	   	267.53	橙橙3易伤1导弹对毒	189易伤24基地爆炸3导弹对毒5毒液对毒67核a随机矿
