0	Index      	 *	Score 	Summary	Detail	
1	13165 33612	 * 	266.89	橙橙2易伤2伤害	1a低血量敌人2策反3a伤害4平台5机枪对头目6基地爆炸7a易伤89核a序列升级
2	23165 33612	   	266.79	橙橙2易伤2伤害1技能	1技能2a低血量敌人3a伤害4平台5机枪对头目6挖尘7a易伤89核a序列升级
3	63221 41423	 * 	255.24	橙橙2易伤1等级	1a易伤2策反3赏金塔49随机技能5等级68核7低血量敌人
4	63221 41411	   	249.63	橙橙1易伤1等级1暴击	1易伤2策反3赏金塔4随机技能5等级68核7低血量敌人9攻速a暴击
5	61213 23664	   	249.53	橙橙1易伤1等级1全技能	1易伤2敌人爆炸3攻速4雷电5加一6暴雪减费7全技能89核a等级
6	15163 31161	   	249.00	橙橙2易伤1伤害	1低血量敌人24易伤3额外掉落5挖青6头目7a核8伤害9挖尘
7	15112 12161	 * 	249.00	橙橙1易伤1等级1伤害	1低血量敌人2易伤3额外掉落4雷电5掉矿6a核7等级8伤害9挖尘
8	64112 12161	   	249.00	橙橙1易伤1等级1伤害	1易伤2低血量敌人3额外掉落4雷电5掉矿6a核7等级8伤害9挖尘
9	63414 32312	 * 	245.22	橙4易伤1等级1伤害1暴击	1389易伤26策反4暴击5伤害7等级a核
10	15122 26212	   	242.79	橙橙2易伤1时间	1低血量敌人27易伤3额外掉落4基地爆炸5时间6金币生成8随机技能9a核
11	15162 51212	   	242.79	橙橙2易伤1时间	1低血量敌人24易伤3额外掉落5金币生成6最后敌人7时间8随机技能9a核
12	15352 26212	   	242.79	橙橙2易伤1时间	1低血量敌人27易伤3最后敌人4额外掉落5时间6金币生成8随机技能9a核
13	64122 26212	   	242.79	橙橙2易伤1时间	17易伤2低血量敌人3额外掉落4基地爆炸5时间6金币生成8随机技能9a核
14	15122 66212	   	242.69	橙橙2易伤1时间	1低血量敌人27易伤3额外掉落4基地爆炸5时间6掉矿8随机技能9a核
15	15134 51212	   	242.69	橙橙2易伤1时间	1低血量敌人25易伤3额外掉落4掉矿6最后敌人7时间8随机技能9a核
16	15152 26212	   	242.69	橙橙2易伤1时间	1低血量敌人27易伤3额外掉落4挖青5时间6金币生成8随机技能9a核
17	15163 11212	   	242.69	橙橙2易伤1时间	1低血量敌人24易伤3额外掉落5挖青6金币生成7时间8随机技能9a核
18	64163 11212	   	242.69	橙橙2易伤1时间	14易伤2低血量敌人3额外掉落5挖青6金币生成7时间8随机技能9a核
19	15163 61212	   	242.59	橙橙2易伤1时间	1低血量敌人24易伤3额外掉落5挖青6掉矿7时间8随机技能9a核
20	51421 62333	 * 	241.44	橙3易伤3时间2伤害	1赏金邻近29a易伤3平台49暴雪减费5随机技能6核7a伤害89a时间9a序列升级
21	62421 62333	   	241.44	橙3易伤3时间2伤害	19a易伤2赏金塔3平台49暴雪减费5随机技能6核7a伤害89a时间9a序列升级
22	63221 41421	 * 	239.37	橙橙2等级1易伤	1易伤2策反3赏金塔49随机技能5a等级68核7低血量敌人
23	15116 21151	   	238.50	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3额外掉落4雷电5随机矿6矿等7a核8伤害9挖尘
24	15112 21161	   	238.40	橙橙1易伤1伤害1矿等	1低血量敌人2易伤3额外掉落4雷电5掉矿6矿等7a核8伤害9挖尘
25	64112 21161	   	238.40	橙橙1易伤1伤害1矿等	1易伤2低血量敌人3额外掉落4雷电5掉矿6矿等7a核8伤害9挖尘
26	31152 41413	   	237.60	橙橙1等级1伤害1时间	1金币生成2时间3伤害4随机技能5赏金塔68核7低血量敌人9攻速a等级
27	31152 42413	   	237.50	橙橙1等级1伤害1时间	1金币生成2时间3伤害4随机技能5赏金塔68核7挖青9攻速a等级
28	31152 43413	   	237.50	橙橙1等级1伤害1时间	1金币生成2时间3伤害4随机技能5赏金塔68核7挖尘9攻速a等级
29	21114 51262	 * 	237.16	橙2易伤3伤害1等级1时间1技能	1技能2挖尘346伤害56易伤6序列升级7等级8时间9额外掉落a核
