0	Index      	 *	Score 	Summary	Detail	
1	22435 63132	 * 	313.11	橙橙2易伤1伤害1矿等1暴击	1平台2时间39易伤4赏金塔5暴击6矿等7伤害8a核
2	58134 73142	   	303.35	橙橙2易伤1伤害1矿等1攻速	1加一2攻速3赏金邻近49易伤5时间6矿等7伤害8a核
3	58134 73112	 * 	289.60	橙橙1易伤2攻速1伤害1矿等	1加一29攻速3赏金邻近4易伤5时间6矿等7伤害8a核
4	21311 52132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击4基地爆炸5伤害69易伤7金币生成8a核
5	21311 55132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击4基地爆炸5伤害69易伤7等级8a核
6	21312 53132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击4基地爆炸5金币生成69易伤7伤害8a核
7	21331 45132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击49易伤5伤害6最后敌人7等级8a核
8	21331 65132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击49易伤5伤害6低血量敌人7等级8a核
9	21332 32132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击46易伤5金币生成7a核8伤害9低血量敌人
10	21351 55132	   	287.27	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击4低血量敌人5伤害69易伤7等级8a核
11	21332 32162	   	287.17	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击46易伤5金币生成7a核8伤害9挖尘
12	21331 25132	   	287.17	橙橙2易伤1伤害1暴击	1平台2赏金塔3暴击49易伤5伤害6掉矿7基地爆炸8a核
13	58134 43142	   	285.82	橙橙2易伤1伤害1攻速	1加一2攻速3赏金邻近49易伤5时间6等级7伤害8a核
14	11431 13516	 * 	283.47	橙橙3易伤1矿等	13低血量敌人2掉矿456易伤7矿等8技能9a核
15	11531 13516	   	283.37	橙橙3易伤1矿等	1低血量敌人23掉矿456易伤7矿等8技能9a核
16	35331 13516	   	283.37	橙橙3易伤1矿等	1掉矿2激光减费3低血量敌人456易伤7矿等8技能9a核
