0	Index      	 *	Score 	Summary	Detail	
1	12245 12611	 * 	284.04	橙橙2伤害1易伤1矿等	1随机矿2矿等3技能47伤害5赏金塔6易伤8a核9时间
2	12223 44531	 * 	282.06	橙橙1易伤2矿等1伤害	1随机矿26矿等3技能4赏金邻近5易伤7时间8a核9伤害
3	51435 31133	 * 	280.42	橙3易伤3伤害3时间1暴击1全技能	179伤害2电塔对黄3全技能4双倍秒伤579时间679易伤79序列升级8核a暴击
4	51235 53123	 * 	274.44	橙4易伤2伤害2矿等1卖塔	1a伤害25电塔对黄3卖塔457a易伤5a序列升级6挖青8a矿等9核
5	12223 45531	   	273.66	橙橙1易伤2矿等1伤害	1随机矿26矿等3技能4赏金邻近5易伤7挖尘8a核9伤害
6	52316 11413	   	272.23	橙橙1易伤1伤害1暴击1平台	1伤害2赏金塔3时间4最后敌人5易伤6平台7暴击8雷电9a核
7	53225 11413	   	272.23	橙橙1易伤1伤害1暴击1平台	1伤害2时间3易伤4低血量敌人5赏金邻近6平台7暴击8雷电9a核
8	43321 32621	   	267.81	橙橙1易伤1伤害1矿等1全技能	1等级2立即金币3额外掉落4全技能5雷电6矿等7伤害8a核9易伤
9	63321 32621	   	267.81	橙橙1易伤1伤害1矿等1全技能	1金币生成2立即金币3额外掉落4全技能5雷电6矿等7伤害8a核9易伤
10	51435 31132	   	266.77	橙3易伤3伤害3时间1全技能	179伤害2电塔对黄3全技能4双倍秒伤579时间679易伤79序列升级8核a等级
11	51435 31131	   	266.67	橙3易伤3伤害3时间1全技能1卖塔	179伤害2电塔对黄3全技能4双倍秒伤579时间679易伤79序列升级8核a卖塔
12	23245 12611	   	266.51	橙橙2伤害1易伤	12敌人爆炸3技能47伤害5赏金塔6易伤8a核9时间
13	12223 24531	   	266.45	橙橙1易伤1伤害1矿等	16随机矿2矿等3技能4赏金邻近5易伤7时间8a核9伤害
14	21143 26412	 * 	266.39	橙橙2易伤1平台	1敌人爆炸2额外掉落3时间4多重对愈5平台67易伤8a核9双倍秒伤
15	54123 22611	   	266.16	橙橙2伤害1易伤1策反	17伤害2策反3掉矿4赏金邻近5易伤6随机矿8a核9时间
16	25111 14511	   	266.01	橙橙1易伤1伤害1矿等1策反	1敌人爆炸2双倍秒伤3伤害4矿等5时间6易伤7策反8a核9掉矿
17	25161 12511	   	266.01	橙橙1易伤1伤害1矿等1策反	1敌人爆炸2双倍秒伤3伤害4策反5时间6易伤7矿等8a核9掉矿
