0	Index      	 *	Score 	Summary	Detail	
1	12462 33433	 * 	284.86	橙橙4易伤1卖塔	1赏金邻近2挖青3卖塔458a易伤69核7额外掉落
2	31362 26243	 * 	276.84	橙橙2易伤2矿等	1挖尘24矿等3最后敌人5掉矿6a易伤79核8敌人爆炸
3	11135 23213	 * 	268.54	橙3易伤2伤害2矿等3时间	1赏金邻近2a伤害358时间46a易伤7核9a矿等a序列升级
4	41213 22366	   	268.07	橙橙2易伤2时间1全技能1策反	1全技能25易伤3低血量敌人46时间7防空对甲8策反9a核
5	12462 33233	 * 	265.69	橙橙3易伤1卖塔	1赏金邻近2挖青3卖塔45a易伤69核7额外掉落8双倍矿
6	12462 33431	 * 	265.69	橙橙3易伤1卖塔	1赏金邻近2挖青3卖塔458易伤69核7额外掉落a金币生成
7	12462 33432	 * 	265.69	橙橙3易伤1卖塔	1赏金邻近2挖青3卖塔458易伤69核7额外掉落a技能
8	31362 26241	 * 	264.70	橙橙3矿等1易伤	1挖尘24a矿等3最后敌人5掉矿6易伤79核8敌人爆炸
9	41213 32366	   	261.52	橙橙2易伤1全技能1策反	1全技能25易伤3低血量敌人4时间6立即金币7防空对甲8策反9a核
10	61321 26243	   	261.33	橙橙2易伤1矿等	15低血量敌人2矿等3最后敌人4掉矿6a易伤79核8敌人爆炸
11	61332 26243	   	261.33	橙橙2易伤1矿等	1低血量敌人2矿等3最后敌人4立即金币5掉矿6a易伤79核8敌人爆炸
12	31111 16243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3掉矿4a易伤5低血量敌人6立即金币79核8敌人爆炸
13	31153 26243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3掉矿4立即金币5最后敌人6a易伤79核8敌人爆炸
14	31221 16243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3a易伤4掉矿5低血量敌人6立即金币79核8敌人爆炸
15	31231 56243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3a易伤4立即金币5最后敌人6掉矿79核8敌人爆炸
16	31322 16243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3最后敌人4掉矿5a易伤6立即金币79核8敌人爆炸
17	31322 66243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等36最后敌人4掉矿5a易伤79核8敌人爆炸
18	31332 26243	   	261.23	橙橙2易伤1矿等	1挖尘2矿等3最后敌人4立即金币5掉矿6a易伤79核8敌人爆炸
19	61133 26243	   	261.23	橙橙2易伤1矿等	1低血量敌人2矿等3掉矿4激光减费5最后敌人6a易伤79核8敌人爆炸
20	31133 26243	   	261.13	橙橙2易伤1矿等	1挖尘2矿等3掉矿4激光减费5最后敌人6a易伤79核8敌人爆炸
21	31163 26243	   	261.13	橙橙2易伤1矿等	14挖尘2矿等3掉矿5最后敌人6a易伤79核8敌人爆炸
22	31324 26243	   	261.13	橙橙2易伤1矿等	1挖尘2矿等3最后敌人4掉矿5激光减费6a易伤79核8敌人爆炸
23	31342 26243	   	261.13	橙橙2易伤1矿等	1挖尘2矿等3最后敌人4激光减费5掉矿6a易伤79核8敌人爆炸
24	11132 23325	 * 	260.34	橙4易伤2伤害1矿等	1赏金邻近28伤害3时间456a易伤7核9矿等
25	11132 23324	   	256.78	橙3易伤2伤害2矿等	1赏金邻近28伤害3时间456易伤7核9a矿等
