0	Index      	 *	Score 	Summary	Detail	
1	24353 53122	 * 	322.72	橙橙2易伤1等级1矿等1伤害	1金币生成2伤害3矿等47易伤5掉矿6等级8双倍秒伤9a核
2	24353 52122	 * 	312.23	橙橙2伤害1易伤1等级1矿等	1金币生成27伤害3矿等4易伤5掉矿6等级8双倍秒伤9a核
3	24431 53322	 * 	308.71	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5挖尘6时间7易伤8敌人爆炸9a核
4	24433 53322	   	308.71	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5敌人爆炸6时间7易伤8基地爆炸9a核
5	24431 63322	   	300.40	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5挖尘6低血量敌人7易伤8敌人爆炸9a核
6	24433 23122	   	300.40	橙橙2等级2伤害1易伤	16金币生成24伤害34等级4序列升级5敌人爆炸7易伤8双倍秒伤9a核
7	24433 63322	   	300.40	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5敌人爆炸6低血量敌人7易伤8基地爆炸9a核
8	24431 23122	   	300.30	橙橙2等级2伤害1易伤	16金币生成24伤害34等级4序列升级5挖尘7易伤8双倍秒伤9a核
9	24433 43122	   	300.30	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5敌人爆炸6暴雪减费7易伤8双倍秒伤9a核
10	24435 33122	   	300.30	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5风暴减费6低血量敌人7易伤8双倍秒伤9a核
11	24431 43122	   	300.20	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5挖尘6暴雪减费7易伤8双倍秒伤9a核
12	24435 23122	   	300.20	橙橙2等级2伤害1易伤	1金币生成24伤害34等级4序列升级5风暴减费6挖尘7易伤8双倍秒伤9a核
13	26123 14522	   	299.88	橙橙1易伤1等级1矿等1技能	1金币生成2最后敌人3技能4等级5掉矿6时间7易伤8矿等9a核
14	22123 14522	   	299.78	橙橙1易伤1等级1矿等1技能	1金币生成2基地爆炸3技能4等级5掉矿6时间7易伤8矿等9a核
15	22123 46522	   	299.78	橙橙1易伤1等级1矿等1技能	1金币生成2基地爆炸3技能4等级5掉矿6易伤7时间8矿等9a核
16	22423 14422	   	299.78	橙橙1易伤1等级1矿等1技能	1金币生成2基地爆炸3矿等4等级5掉矿6时间7易伤8技能9a核
17	24333 25314	 * 	299.39	橙3矿等2易伤2伤害1等级	169金币生成24伤害349矿等49序列升级5敌人爆炸7等级89易伤a核
18	24331 25314	   	299.29	橙3矿等2易伤2伤害1等级	169金币生成24伤害349矿等49序列升级5挖尘7等级89易伤a核
19	22423 42622	   	294.64	橙橙1易伤1等级1矿等1伤害	1金币生成2基地爆炸3矿等4等级5掉矿6易伤7伤害8低血量敌人9a核
20	22162 52622	 * 	294.54	橙橙2等级1易伤2技能	1金币生成2基地爆炸36技能4双倍秒伤57等级8易伤9a核
21	22423 42222	   	294.54	橙橙1易伤1等级1矿等1伤害	1金币生成2基地爆炸3矿等4等级5掉矿6易伤7伤害8挖尘9a核
