0	Index      	 *	Score 	Summary	Detail	
1	61341 62145	 * 	320.08	橙橙2等级2伤害1雷电2时间	18伤害2金币生成3加一48时间5赏金塔6a核78等级8序列升级9雷电
2	11136 23125	 * 	316.50	橙橙2等级1易伤1矿等	1时间2赏金邻近3赏金塔46机枪对轻56等级6序列升级7易伤8矿等9a核
3	11136 63125	   	316.40	橙橙2等级1易伤1矿等	1时间2赏金邻近3赏金塔4机枪对轻56等级7易伤8矿等9a核
4	11342 36324	 * 	315.97	橙橙2易伤2雷电1伤害1攻速	1时间2赏金邻近35易伤45雷电5序列升级6攻速7策反8a核9伤害
5	11342 32523	 * 	308.82	橙3易伤2雷电1等级1伤害1攻速	1时间2赏金邻近35a易伤45雷电5序列升级6攻速7核8等级9伤害
6	31136 23125	   	306.74	橙橙2等级1易伤1矿等	1挖尘2赏金邻近3赏金塔46机枪对轻56等级6序列升级7易伤8矿等9a核
7	31166 23125	   	306.54	橙橙2等级1易伤1矿等	1挖尘2赏金邻近3赏金塔46加农对直升56等级6序列升级7易伤8矿等9a核
8	11342 34621	 * 	304.83	橙3雷电2易伤1等级2攻速2时间	17时间2赏金邻近35易伤457雷电57序列升级67攻速8立即金币9核a等级
9	21556 32332	 * 	303.04	橙3雷电2易伤2伤害1等级	17易伤2赏金塔37伤害47a雷电5平台6随机矿7序列升级8等级9核
10	21136 21225	 * 	297.75	橙橙2易伤1等级2时间	17易伤2赏金塔3赏金邻近4导弹对绿57时间67金币生成7序列升级8等级9a核
11	21136 51225	   	297.65	橙橙2易伤1等级2时间	17易伤2赏金塔3赏金邻近47导弹对绿57时间6随机矿7序列升级8等级9a核
12	21132 41225	   	297.55	橙橙2易伤1等级2时间	17易伤2赏金塔3赏金邻近4导弹对绿57技能点67时间7序列升级8等级9a核
13	21135 41225	   	297.55	橙橙2易伤1等级2时间	17易伤2赏金塔3赏金邻近4导弹对绿57掉矿67时间7序列升级8等级9a核
14	21136 61225	   	297.55	橙橙2易伤1等级2时间	17易伤2赏金塔3赏金邻近4导弹对绿57时间67技能点7序列升级8等级9a核
15	11342 52224	   	295.81	橙橙2易伤2雷电1攻速	1时间2赏金邻近35易伤45雷电5序列升级6策反7a核8核弹9攻速
16	11342 32526	   	292.24	橙2易伤2雷电1等级1伤害1攻速	1时间2赏金邻近35易伤45雷电5序列升级6攻速7核8等级9伤害a赏金塔
17	11342 32636	   	292.24	橙2易伤2雷电1等级1伤害1攻速	1时间2赏金邻近35易伤45雷电5序列升级6攻速7核8伤害9赏金塔a等级
