0	Index      	 *	Score 	Summary	Detail	
1	31242 25236	 * 	286.26	橙4易伤3等级1技能1暴击	18最后敌人2678易伤3技能4赏金邻近568等级68序列升级9暴击a核
2	31322 54115	 * 	281.68	橙橙3易伤1暴击	1最后敌人245易伤3暴击6赏金塔7金币生成8a核9赏金邻近
3	31322 55115	   	281.58	橙橙3易伤1暴击	1最后敌人245易伤3暴击6赏金塔7掉矿8a核9赏金邻近
4	31322 12242	 * 	272.00	橙3易伤1等级1矿等1伤害1暴击	1最后敌人245易伤3暴击6伤害7等级8赏金邻近9矿等a核
5	61322 12242	   	271.90	橙3易伤1等级1矿等1伤害1暴击	1基地爆炸245易伤3暴击6伤害7等级8赏金邻近9矿等a核
6	54331 11243	 * 	271.15	橙2易伤2矿等1等级1技能	15矿等2挖尘3技能点45易伤5序列升级6时间7随机技能8核9等级a技能
7	53534 33322	 * 	270.78	橙3易伤2矿等1等级	19矿等2时间39挖尘489易伤5赏金塔6立即金币7核9序列升级a等级
8	54131 21531	   	270.68	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a时间
9	54131 11224	   	262.56	橙2易伤2矿等1等级	15矿等2挖尘3金币生成45易伤5序列升级6时间7随机技能8核9全技能a等级
10	54331 11224	   	262.56	橙2易伤2矿等1等级	15矿等2挖尘3技能点45易伤5序列升级6时间7随机技能8核9全技能a等级
11	54131 21133	   	262.37	橙3易伤2矿等1等级	15矿等2挖尘3金币生成457易伤5序列升级6等级8基础对冰9技能点a核
12	54131 21532	   	262.37	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a最后敌人
13	54131 21533	   	262.27	橙3易伤2矿等1等级	15矿等28挖尘3金币生成457易伤5序列升级6等级9核a毒液对黄
14	54131 23632	 * 	261.44	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a赏金塔
15	54131 23633	   	261.44	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a最后敌人
16	54131 23631	   	261.34	橙3矿等2易伤1等级	158矿等2挖尘3金币生成45易伤5序列升级6等级7敌人爆炸9核a基地爆炸
17	54131 11241	   	260.80	橙2易伤2矿等1等级2时间	15矿等2挖尘3金币生成45易伤5序列升级6a时间7随机技能8核9等级
18	54331 11241	   	260.80	橙2易伤2矿等1等级2时间	15矿等2挖尘3技能点45易伤5序列升级6a时间7随机技能8核9等级
19	31433 21551	   	258.88	橙3易伤1等级1矿等1暴击	1最后敌人28a易伤3等级4随机技能5雷电6暴击7矿等9核
20	31312 54115	   	258.21	橙橙2易伤1暴击	1最后敌人25易伤3暴击4立即金币6赏金塔7金币生成8a核9赏金邻近
21	31332 54115	   	258.21	橙橙2易伤1暴击	1最后敌人25易伤3暴击4双倍矿6赏金塔7金币生成8a核9赏金邻近
22	31512 43115	   	258.21	橙橙2易伤1暴击	1最后敌人24易伤3赏金邻近5金币生成6暴击7双倍矿8a核9赏金塔
23	31312 55115	   	258.11	橙橙2易伤1暴击	1最后敌人25易伤3暴击4立即金币6赏金塔7掉矿8a核9赏金邻近
24	31332 55115	   	258.11	橙橙2易伤1暴击	1最后敌人25易伤3暴击4双倍矿6赏金塔7掉矿8a核9赏金邻近
