0	Index      	 *	Score 	Summary	Detail	
1	42341 13222	 * 	210.91	DCR|3VULN|2DMG|1MDPS|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aMDPS
2	42334 22633	 * 	210.16	DCR|2VULN|2DMG|1AART|3DUR|1ZMB	123DUR|2BPWR|4ZMB|56VULN|7AART|8RCR|9aDMG
3	23664 13322	 * 	210.09	DCR|3DMG|2VULN|1MDPS|1ASPD	13MLV|2RMIN|46VULN|568DMG|6BPWR|7ASPD|9RCR|aMDPS
4	13542 34442	 * 	208.31	ACR|2VULN|1MDPS|2DMG|1AART|2CDMG|1AAC	18CDMG|2LIT|3RCR|48DMG|5AART|68VULN|7MBVNT|8BPWR|9AAC|aMDPS
5	61311 42222	 * 	208.25	DCR|4VULN|2DMG|1MDPS	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aMDPS
6	62311 42222	   	208.25	DCR|4VULN|2DMG|1MDPS	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aMDPS
7	42354 23222	 * 	207.54	DCR|3VULN|1MDPS|2ASPD|3DUR	123DUR|28BPWR|48ASPD|568VULN|78FEWX|9RCR|aMDPS
8	14413 62222	 * 	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2TLV|3DUR|4BEXP|58VULN|6DMG|7ASPD|9RCR|aAART
9	46133 43322	   	206.06	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2TLV|3ASPD|4DMG|5DUST|67VULN|8CDMG|9RCR|aAART
10	13522 53223	 * 	206.02	ACR|3VULN|1MDPS|2DMG|2CDMG|1ZMB	18CDMG|2LIT|3RCR|478VULN|58DMG|6RMIN|8BPWR|9ZMB|aMDPS
11	42341 13233	 * 	205.93	DCR|4VULN|2DMG|3DUR	123DUR|28BPWR|4589VULN|68FEWX|78DMG|aRCR
12	61411 42222	 * 	204.88	DCR|4VULN|1MDPS|2ASPD	1568VULN|28FEWX|38ASPD|457BEXP|58BPWR|9RCR|aMDPS
13	62411 42222	   	204.88	DCR|4VULN|1MDPS|2ASPD	1568VULN|28LWND|38ASPD|457BEXP|58BPWR|9RCR|aMDPS
14	34313 15222	 * 	204.21	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2MDPS|3DUR|4CDMG|568VULN|7RCR|9DMG|aASPD
