0	Index      	 *	Score 	Summary	Detail	
1	56312 22316	 * 	214.10	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1LIT|23VULN|4ASPD|5ZMB|6AART|7CGEN|8RCR|9DMG|aNUKE
2	13615 22262	 * 	213.59	DCR|3ASPD|2VULN|1AART|3DUR	1DMSP|289DUR|39VULN|4RPLT|59aASPD|6RCR|7AART|9BPWR
3	56312 23342	 * 	208.58	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DMG|aRCVC
4	56213 23133	 * 	208.38	DCR|2VULN|2DMG|1AART|1ASPD|1AAC|1ZMB	1LIT|25VULN|35DMG|4AAC|5BPWR|6AART|7ASPD|8ZMB|9RCVC|aRCR
5	56312 13313	   	208.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|4aASPD|5ZMB|6MLV|7AART|8RCR|9DMG
6	56312 22313	   	208.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|4aASPD|5ZMB|6AART|7CGEN|8RCR|9DMG
7	56342 23313	   	208.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|4RMIN|5ZMB|6AART|7aASPD|8RCR|9DMG
8	56312 23341	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DMG|aTLV
9	56312 23343	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DMG|aERES
10	13411 26542	   	207.95	DCR|2VULN|2DMG|1ASPD|2DUR|1ZMB	1DMSP|29DUR|3MBVNT|4ZMB|5RCVC|6RCR|79VULN|89DMG|9BPWR|aASPD
11	11612 23346	 * 	207.94	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1ZMB	1DMSP|2LIT|3VULN|47ASPD|5ZMB|6AART|8RCR|9DMG|aNUKE
12	56216 23321	 * 	207.71	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1ZMB	1LIT|2aVULN|36DMG|4AAC|5ZMB|7AART|8RCR|9CDMG
13	26315 21152	 * 	207.45	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR|1ZMB	1RPLT|2VULN|34DUR|5ASPD|6RCR|7ZMB|8DMG|9AART|aCDMG
14	56216 23312	 * 	207.11	DCR|3DMG|2VULN|1AART|1AAC|1ZMB	1LIT|2aVULN|369DMG|4AAC|5ZMB|7AART|8RCR
15	56312 23331	 * 	206.78	DCR|3VULN|2ASPD|1AART|1ZMB	1LIT|23aVULN|47ASPD|5ZMB|6AART|8RCR|9RCVC
16	24631 23121	 * 	206.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1RPLT|2CDMG|39AART|4DUST|56VULN|7RCR|8DUR|aASPD
17	24661 23121	   	206.17	DCR|2VULN|2AART|1ASPD|1CDMG|1DUR	1RPLT|2CDMG|39AART|45VULN|6DUST|7RCR|8DUR|aASPD
18	12553 22343	 * 	205.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1DMSP|2ERES|34DMG|5CDMG|69VULN|7RCR|8ZMB|aASPD
19	26315 21334	 * 	205.64	DCR|3VULN|1ASPD|1DMG|2DUR|1ZMB	1RPLT|28aVULN|34DUR|5ASPD|6RCR|7ZMB|9DMG
20	13411 26342	   	204.59	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1DMSP|29DUR|3MBVNT|4ZMB|5RCVC|6RCR|79VULN|89ASPD|9BPWR|aDMG
21	15411 27342	   	204.59	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	1DMSP|29VULN|3MBVNT|4ZMB|5RCVC|6RCR|79DUR|89ASPD|9BPWR|aDMG
22	12551 33421	 * 	203.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DMSP|2ERES|34DMG|57ASPD|6VULN|8RCR|9DUR|aAART
23	56213 62444	 * 	203.29	DCR|5VULN|2DMG|1AAC	1LIT|2568aVULN|35DMG|4AAC|5BPWR|7MBVNT|9RCR
24	13411 26345	   	202.35	DCR|3VULN|2ASPD|2DUR|1ZMB	1DMSP|29DUR|3MBVNT|4ZMB|5RCVC|6RCR|79aVULN|89ASPD|9BPWR
25	56312 13312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LIT|23VULN|4ASPD|5ZMB|6MLV|7AART|8RCR|9DMG|aDUR
26	56312 22312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LIT|23VULN|4ASPD|5ZMB|6AART|7CGEN|8RCR|9DMG|aDUR
27	56342 23312	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LIT|23VULN|4RMIN|5ZMB|6AART|7ASPD|8RCR|9DMG|aDUR
28	13615 21152	   	202.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMSP|2DUR|3VULN|4RPLT|5ASPD|6RCR|7ZMB|8DMG|9AART|aCDMG
29	56213 21343	   	202.04	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	1LIT|25VULN|35DMG|4AAC|5BPWR|6AART|7FEWX|8RCR|9RCVC|aASPD
30	24631 23232	 * 	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18RPLT|2CDMG|3AART|4DUST|56VULN|7RCR|9DMG|aASPD
31	24661 23232	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18RPLT|2CDMG|3AART|45VULN|6DUST|7RCR|9DMG|aASPD
32	26315 21323	 * 	201.83	DCR|3VULN|1ASPD|1CDMG|2DUR|1ZMB	1RPLT|289VULN|34DUR|5ASPD|6RCR|7ZMB|aCDMG
33	56312 23352	   	201.74	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9aDUR
34	56243 21333	   	201.39	DCR|2VULN|2DMG|1AART|1ASPD	19LIT|25VULN|35DMG|4RMIN|5BPWR|6AART|7FEWX|8RCR|aASPD
35	56213 21333	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	19LIT|25VULN|35DMG|4AAC|5BPWR|6AART|7FEWX|8RCR|aASPD
36	56213 25333	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	19LIT|25VULN|35DMG|4AAC|5BPWR|6AART|7LWND|8RCR|aASPD
37	56312 23323	   	201.12	DCR|3ASPD|2VULN|1AART|1ZMB	1LIT|23VULN|47aASPD|5ZMB|6AART|8RCR|9LHND
38	56312 23313	   	201.02	DCR|3ASPD|2VULN|1AART|1ZMB	1LIT|23VULN|47aASPD|5ZMB|6AART|8RCR|9DUST
39	13615 22261	   	200.66	DCR|2VULN|2ASPD|1AART|3DUR	1DMSP|289DUR|39VULN|4RPLT|59ASPD|6RCR|7AART|9BPWR|aLIT
40	13615 22263	   	200.56	DCR|2VULN|2ASPD|1AART|3DUR|1MSE	1DMSP|289DUR|39VULN|4RPLT|59ASPD|6RCR|7AART|9BPWR|aMSE
41	13615 21334	   	200.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1DMSP|2DUR|38aVULN|4RPLT|5ASPD|6RCR|7ZMB|9DMG
42	56243 21321	 * 	200.05	DCR|3VULN|2DMG|1MDPS|1AART	1LIT|25aVULN|35DMG|4RMIN|5BPWR|6AART|7FEWX|8RCR|9MDPS
43	56213 21321	   	199.95	DCR|3VULN|1MDPS|2DMG|1AART|1AAC	1LIT|25aVULN|35DMG|4AAC|5BPWR|6AART|7FEWX|8RCR|9MDPS
44	56213 25321	   	199.95	DCR|3VULN|1MDPS|2DMG|1AART|1AAC	1LIT|25aVULN|35DMG|4AAC|5BPWR|6AART|7LWND|8RCR|9MDPS
45	24426 33222	 * 	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1RPLT|2CDMG|38DMG|4FEWX|5AART|6BEXP|7RCR|9ASPD|aVULN
46	24661 33131	 * 	199.14	DCR|2VULN|2AART|1DMG|1CDMG	1RPLT|2CDMG|3aAART|45VULN|6LWND|7RCR|8RCVC|9DMG
47	26315 23341	   	199.02	DCR|3VULN|1AART|1ASPD|2DUR	1RPLT|29aVULN|34DUR|5ASPD|6RCR|7LIT|8AART
48	26315 22326	 * 	198.18	DCR|2AART|1VULN|1ASPD|3DUR|1CDMG	1RPLT|2VULN|349DUR|5ASPD|6RCR|7aAART|8CDMG
49	15411 22311	   	197.92	DCR|2VULN|2DMG|1AART|1ZMB	1DMSP|29VULN|3MBVNT|4ZMB|5RCVC|6RCR|79ERES|89DMG|9BPWR|aAART
50	15411 24311	   	197.92	DCR|2VULN|2DMG|1AART|1ZMB	1DMSP|29VULN|3MBVNT|4ZMB|5RCVC|6RCR|79TLV|89DMG|9BPWR|aAART
51	24631 23621	   	197.86	DCR|2VULN|2AART|1ASPD|1CDMG	1RPLT|2CDMG|39AART|4DUST|56VULN|7RCR|8BEXP|aASPD
52	15221 12311	 * 	197.72	DCR|3VULN|1AART|2CDMG|1ZMB	1DMSP|269VULN|3ZMB|49CDMG|569CGEN|69BPWR|7RCR|8RPLT|aAART
53	24426 33322	 * 	197.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1RPLT|2CDMG|3DMG|4FEWX|59AART|6BEXP|7RCR|8ASPD|aVULN
54	15221 22311	   	197.62	DCR|3VULN|1AART|2CDMG|1ZMB	1DMSP|269VULN|3ZMB|49CDMG|59CGEN|7RCR|8RPLT|9BPWR|aAART
55	15225 22311	   	197.62	DCR|3VULN|1AART|2CDMG|1ZMB	1DMSP|259VULN|3ZMB|49CDMG|69CGEN|7RCR|8RPLT|9BPWR|aAART
56	15225 42311	   	197.62	DCR|3VULN|1AART|2CDMG|1ZMB	1DMSP|259VULN|3ZMB|49CDMG|69MLV|7RCR|8RPLT|9BPWR|aAART
57	24631 23131	 * 	197.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RPLT|29CDMG|3AART|4DUST|56VULN|7RCR|8DUR|aASPD
58	24661 23131	   	197.52	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	1RPLT|29CDMG|3AART|45VULN|6DUST|7RCR|8DUR|aASPD
59	12132 43346	   	197.50	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE	1DMSP|2ERES|3VULN|4AART|5LIT|67ASPD|8RCR|9DMG|aNUKE
60	26315 22311	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1RPLT|2VULN|34DUR|5ASPD|6RCR|7AART|8CDMG|9TLV|aDMG
61	13615 21323	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1DMSP|2DUR|389VULN|4RPLT|5ASPD|6RCR|7ZMB|aCDMG
62	26365 21323	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1RPLT|289VULN|3DUR|4DMSP|5ASPD|6RCR|7ZMB|aCDMG
63	56312 23322	   	196.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9LHND|aDUR
64	56312 23351	   	196.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DUR|aBEXP
65	26312 52342	   	196.46	DCR|2VULN|2ASPD|1AART|3DUR	1RPLT|26VULN|345DUR|7AART|8RCR|9aASPD
66	56211 12316	 * 	196.40	DCR|3DMG|1AART|1VULN|1CDMG|1AAC|1SELL	1LIT|2VULN|39aDMG|4AAC|5SELL|6RCR|7CDMG|8AART
67	56312 23312	   	196.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DUST|aDUR
68	56312 23353	   	196.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LIT|23VULN|47ASPD|5ZMB|6AART|8RCR|9DUR|aDUST
69	24631 23252	 * 	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	18RPLT|2CDMG|3AART|4DUST|56VULN|7RCR|9aASPD
70	24631 23214	 * 	195.63	DCR|3VULN|2AART|1CDMG	18RPLT|2CDMG|3aAART|4DUST|569VULN|7RCR
71	12553 22235	   	195.56	DCR|2VULN|2DMG|1ASPD|1CDMG	1DMSP|2ERES|34DMG|5CDMG|69VULN|7RCR|8DUST|aASPD
72	26315 25332	   	195.31	DCR|3VULN|1ASPD|1DMG|2DUR	1RPLT|28aVULN|34DUR|5ASPD|6RCR|7RMIN|9DMG
