0	Index      	 *	Score 	Summary	Detail	
1	33642 21114	 * 	219.61	DCR|2VULN|2DMG|2ASPD|2CDMG	1BEXP|2aCDMG|35VULN|4LHND|6RCR|7aDMG|8MULFIG|9aASPD|aBPWR
2	21563 53322	 * 	217.68	DCR|3VULN|2DMG|1MDPS|1AART	123VULN|4TSLARM|5AART|67DMG|8RCR|9TLV|aMDPS
3	21342 41523	 * 	217.42	DCR|3VULN|1SPLARM|1DMG|1CDMG|1ZMB	125VULN|3LHND|4RPLT|6RCR|7DMG|8CDMG|9SPLARM|aZMB
4	21513 12132	 * 	215.49	DCR|3VULN|2DMG|1ASPD|1CDMG	123VULN|4ASPD|5MLV|6RCR|7CANSTR|8CDMG|9aDMG
5	21562 33611	 * 	215.44	DCR|4VULN|2ASPD|1AART	123aVULN|4aTSLARM|5DUST|6RCR|7CGEN|8AART|9aASPD|aBPWR
6	21512 12132	   	215.39	DCR|3VULN|2DMG|1ASPD|1CDMG	123VULN|4ASPD|5ERES|6RCR|7CANSTR|8CDMG|9aDMG
7	21521 21641	 * 	214.67	DCR|3VULN|1SPLARM|2ASPD|1CDMG|1SELL	123VULN|4CDMG|58ASPD|6SELL|7SPLARM|9RCVC|aRCR
8	21513 13224	 * 	213.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1239VULN|4ASPD|57MLV|6RCR|8CDMG|aDMG
9	21524 23363	   	213.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1239VULN|4CDMG|58LWND|6RCR|7ASPD|aDMG
10	21512 13263	   	213.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1239VULN|4ASPD|5ERES|6RCR|7MLV|8CDMG|aDMG
11	21513 14263	   	213.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1239VULN|4ASPD|5MLV|6RCR|7ERES|8CDMG|aDMG
12	21512 14224	   	213.65	DCR|4VULN|1ASPD|1DMG|1CDMG	1239VULN|4ASPD|57ERES|6RCR|8CDMG|aDMG
