0	Index      	 *	Score 	Summary	Detail	
1	24632 33153	 * 	231.03	DCR|3DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78ASPD|9CDMG|aVULN
2	22415 12411	 * 	227.58	DCR|3VULN|3CDMG|1AART|1DMG|1ZMB	1AART|256CDMG|3RMIN|456VULN|56BPWR|7DLOT|8DMG|9RCR|aZMB
3	22415 12413	   	224.02	DCR|3VULN|3CDMG|1AART|1DMG|1AAC	1AART|256CDMG|3RMIN|456VULN|56BPWR|7DLOT|8DMG|9RCR|aAAC
4	22415 13114	 * 	223.43	DCR|4VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|456aVULN|56BPWR|7CGEN|8RCR|9DUR
5	24332 33136	 * 	219.61	DCR|2VULN|2DMG|1MDPS|2ASPD|1AART	1AART|28DMG|38AELBLL|4RPLT|5MDPS|6RCR|78ASPD|8BPWR|9aVULN
6	22415 13136	 * 	219.34	DCR|3VULN|3CDMG|1AART|1NUKE	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9RPLT|aNUKE
7	22415 12412	   	217.24	DCR|3VULN|3CDMG|1AART|1DMG	1AART|256CDMG|3RMIN|456VULN|56BPWR|7DLOT|8DMG|9RCR|aCGEN
8	22411 12416	   	217.14	DCR|3VULN|3CDMG|1AART|1DMG	1AART|256CDMG|3RMIN|46aVULN|6BPWR|7DLOT|8DMG|9RCR
9	22415 13141	   	215.45	DCR|4VULN|3CDMG|1AART	1AART|256CDMG|3RMIN|4569VULN|56BPWR|7CGEN|8RCR|aRCVC
10	22415 12152	 * 	215.14	DCR|3VULN|3CDMG|1AART|1ASPD	1AART|256CDMG|3RMIN|456VULN|56BPWR|7DLOT|8TSLFST|9ASPD|aRCR
11	22415 13142	   	215.13	DCR|4VULN|3CDMG|1AART	1AART|256CDMG|3RMIN|4569VULN|56BPWR|7CGEN|8RCR|aBEXP
12	22415 13143	   	215.03	DCR|4VULN|3CDMG|1AART	1AART|256CDMG|3RMIN|4569VULN|56BPWR|7CGEN|8RCR|aDUST
13	24332 33132	   	214.88	DCR|3DMG|1MDPS|2ASPD|1VULN|1AART	1AART|28aDMG|38AELBLL|4RPLT|5MDPS|6RCR|78ASPD|8BPWR|9VULN
14	22412 43513	 * 	211.20	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8DUR|9LIT|aRCR
15	22415 43313	 * 	210.42	DCR|2VULN|2CDMG|1AART|1ASPD|1DMG	1AART|25CDMG|3RMIN|45VULN|5BPWR|6DMG|7ASPD|8LHND|9LIT|aRCR
16	22415 32411	   	209.64	DCR|2VULN|3CDMG|1AART|1DMG|1ZMB	1AART|256CDMG|3RMIN|45VULN|5BPWR|7DLOT|8DMG|9RCR|aZMB
17	22411 12411	   	209.64	DCR|2VULN|3CDMG|1AART|1DMG|1ZMB	1AART|256CDMG|3RMIN|46VULN|6BPWR|7DLOT|8DMG|9RCR|aZMB
18	22415 13134	 * 	208.64	DCR|3VULN|1MDPS|3CDMG|1AART	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9RPLT|aMDPS
19	26534 21844	 * 	208.51	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG	1AART|289ASPD|3MBVNT|4DUST|5VULN|6CDMG|7RCR|aDMG
20	22612 13551	   	208.03	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3MLV|459VULN|6LWND|7RCR|8DUR|aNUKE
