0	Index      	 *	Score 	Summary	Detail	
1	31231 21263	 * 	213.47	DCR|4VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347aVULN|4BPWR|5ASPD|6CDMG|8RCR|9AART
2	32626 63221	 * 	211.14	DCR|1SPLARM|2VULN|1MDPS|2ASPD|1CDMG	1RPLT|2CDMG|38ASPD|4BEXP|5SPLARM|67VULN|9RCR|aMDPS
3	23166 61113	 * 	211.08	DCR|3VULN|1MDPS|2ASPD|3CDMG|1ZMB	178VULN|2ZMB|3MDPS|47aCDMG|57ASPD|6RPLT|7BPWR|9RCR
4	31231 21254	 * 	209.75	DCR|4VULN|1ASPD|1DMG|1CDMG	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6CDMG|8RCR|aDMG
5	31231 21256	 * 	209.75	DCR|4VULN|1ASPD|1NUKE|1CDMG	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6CDMG|8RCR|aNUKE
6	25632 61312	 * 	209.66	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	14VULN|2RMIN|34ZMB|4BPWR|5LIT|6RCR|7DMG|8ASPD|9DUR|aAART
7	23362 61343	 * 	209.62	DCR|3VULN|2ASPD|1DMG|1ZMB	19aVULN|2ZMB|3RCVC|48ASPD|5LIT|6RCR|7DMG
8	31231 21234	 * 	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6CDMG|8RCR|aDMG
9	31231 21236	 * 	208.12	DCR|3VULN|2ASPD|1NUKE|1CDMG	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6CDMG|8RCR|aNUKE
10	21212 53442	 * 	207.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	139VULN|2DUST|4DMG|5RMIN|6AART|7ASPD|8ZMB|aRCR
11	21213 53442	   	207.67	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	139VULN|2DUST|4DMG|5TLV|6AART|7ASPD|8ZMB|aRCR
12	16311 23413	   	207.30	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	18ZMB|2RCVC|3DUR|4AART|5DMG|6aVULN|7ASPD|9RCR
13	31231 21262	 * 	206.98	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9AART|aMDPS
14	12311 23413	   	206.87	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	18ZMB|2DUR|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
15	23341 53413	   	206.87	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1aVULN|28ZMB|3RCVC|4DMG|5DUR|6AART|7ASPD|9RCR
16	21212 53462	 * 	206.01	DCR|2VULN|2AART|1ASPD|1DMG|1ZMB	13VULN|2DUST|4DMG|5RMIN|69AART|7ASPD|8ZMB|aRCR
17	16311 23313	   	205.22	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|28RCVC|3DUR|4AART|5DMG|6aVULN|7ASPD|9RCR
18	12311 23313	   	204.80	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ZMB|2DUR|38RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
19	23341 53313	   	204.80	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1aVULN|2ZMB|38RCVC|4DMG|5DUR|6AART|7ASPD|9RCR
20	23361 56313	   	204.80	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1aVULN|2ZMB|38RCVC|4ASPD|5DUR|6AART|7DMG|9RCR
21	12611 23313	   	204.74	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	13ZMB|2DUR|4AART|5DMG|6aVULN|7ASPD|8RCVC|9RCR
22	23641 53313	   	204.74	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1aVULN|23ZMB|4DMG|5DUR|6AART|7ASPD|8RCVC|9RCR
23	16311 23416	 * 	204.50	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1DUR	18ZMB|2RCVC|3DUR|4AART|5aDMG|6VULN|7ASPD|9RCR
24	23134 62113	 * 	204.35	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1ZMB	19VULN|2ZMB|3MDPS|49VENFST|5DMG|6LIT|79ASPD|8AART|9BPWR|aRCR
25	21212 53412	   	204.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	13VULN|2DUST|4DMG|5RMIN|6AART|79ASPD|8ZMB|aRCR
26	12311 23416	   	204.08	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1DUR	18ZMB|2DUR|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
27	21213 53412	   	204.05	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	13VULN|2DUST|4DMG|5TLV|6AART|79ASPD|8ZMB|aRCR
28	21215 53412	   	204.05	DCR|2VULN|2ASPD|1AART|1DMG|1AAC|1ZMB	13VULN|2DUST|4DMG|5AAC|6AART|79ASPD|8ZMB|aRCR
29	23166 61111	   	204.02	DCR|3VULN|1MDPS|2ASPD|2CDMG|1ZMB	178VULN|2ZMB|3MDPS|47CDMG|57ASPD|6RPLT|7BPWR|9RCR|aMLV
30	23166 61112	   	204.02	DCR|3VULN|1MDPS|2ASPD|2CDMG|1ZMB	178VULN|2ZMB|3MDPS|47CDMG|57ASPD|6RPLT|7BPWR|9RCR|aLWND
31	32312 23656	 * 	203.15	DCR|1SPLARM|2VULN|1AART|2CDMG|1ASPD	1RPLT|28CDMG|3RCVC|4AART|56VULN|7SPLARM|9RCR|aASPD
32	25631 53312	   	202.61	DCR|3VULN|1AART|1ASPD|2ZMB|1DUR	14aVULN|2RMIN|34ZMB|4BPWR|5DUR|6AART|7ASPD|8RCVC|9RCR
33	16311 23316	   	202.43	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|28RCVC|3DUR|4AART|5aDMG|6VULN|7ASPD|9RCR
34	23663 31333	 * 	202.35	DCR|2VULN|2ASPD|3ZMB|1DMG	19VULN|239ZMB|46ASPD|5BEXP|7RCR|89AELBLL|9BPWR|aDMG
35	12311 23316	   	202.00	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|2DUR|38RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
36	23341 53316	   	202.00	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1VULN|2ZMB|38RCVC|4aDMG|5DUR|6AART|7ASPD|9RCR
37	12611 23316	   	201.94	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1DUR	13ZMB|2DUR|4AART|5aDMG|6VULN|7ASPD|8RCVC|9RCR
38	43361 31363	   	201.81	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1BEXP|2ZMB|3RCVC|46ASPD|5DUR|7RCR|8aVULN|9AART
39	16311 26112	 * 	201.60	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2RCVC|3DUR|4AART|57DMG|6aVULN|8RMIN|9RCR
40	25632 61322	   	201.35	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	14VULN|2RMIN|34ZMB|4BPWR|5LIT|6RCR|7DMG|8ASPD|9FEWX|aAART
41	16311 26412	   	201.19	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|2RCVC|3DUR|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
42	12311 26112	   	201.18	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|57DMG|6aVULN|8RMIN|9RCR
43	23341 56112	   	201.18	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2ZMB|3RCVC|47DMG|5DUR|6AART|8RMIN|9RCR
44	16311 23412	   	201.13	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	18ZMB|2RCVC|3DUR|4AART|5DMG|6VULN|7aASPD|9RCR
45	12611 26112	   	201.08	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	13ZMB|2DUR|4AART|57DMG|6aVULN|8RMIN|9RCR
