0	Index      	 *	Score 	Summary	Detail	
1	33125 62262	 * 	224.63	DCR|3ASPD|2VULN|2DMG|2CDMG	169ASPD|249AME|37VULN|56DMG|69BPWR|89CDMG|aRCR
2	32111 31125	 * 	209.64	DCR|4VULN|2ASPD|2CDMG	17ASPD|257aVULN|3MLV|4LWND|67CDMG|7BPWR|8AME|9RCR
3	32211 31125	   	209.64	DCR|4VULN|2ASPD|2CDMG	17ASPD|257aVULN|3CGEN|4LWND|67CDMG|7BPWR|8AME|9RCR
4	32351 31125	   	209.64	DCR|4VULN|2ASPD|2CDMG	17ASPD|257aVULN|3FEWX|4MLV|67CDMG|7BPWR|8AME|9RCR
5	32311 31125	   	209.54	DCR|4VULN|2ASPD|2CDMG	17ASPD|257aVULN|3FEWX|4ERES|67CDMG|7BPWR|8AME|9RCR
6	32211 21325	 * 	207.85	DCR|4VULN|1ASPD|1DMG|1CDMG	1ASPD|257aVULN|3CGEN|4LWND|6DMG|8CDMG|9RCR
7	33111 65511	 * 	207.45	DCR|3VULN|3ASPD|1CDMG	168ASPD|2AME|358VULN|48LWND|7RCR|8BPWR|9RMIN|aCDMG
8	31626 31225	 * 	206.69	DCR|2VULN|2ASPD|3CDMG|1AART	17ASPD|257CDMG|3LWND|4ERES|67VULN|7BPWR|8CGEN|9RCR|aAART
9	32111 25125	 * 	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25aVULN|3MLV|4LWND|6DMG|7CDMG|9RCR
10	32111 36125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25aVULN|3MLV|4LWND|6CDMG|7DMG|9RCR
11	32211 25125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25aVULN|3CGEN|4LWND|6DMG|7CDMG|9RCR
12	32351 36125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25aVULN|3FEWX|4MLV|6CDMG|7DMG|9RCR
13	33111 25125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2AME|35aVULN|4LWND|6DMG|7CDMG|9RCR
14	33111 36125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2AME|35aVULN|4LWND|6CDMG|7DMG|9RCR
15	33131 36125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2AME|35aVULN|4FEWX|6CDMG|7DMG|9RCR
16	35111 25125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2MLV|35aVULN|4LWND|6DMG|7CDMG|9RCR
17	35111 36125	   	206.22	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2MLV|35aVULN|4LWND|6CDMG|7DMG|9RCR
18	32311 36125	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|25aVULN|3FEWX|4ERES|6CDMG|7DMG|9RCR
19	36111 25125	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2TLV|35aVULN|4LWND|6DMG|7CDMG|9RCR
20	36111 36125	   	206.12	DCR|3VULN|2ASPD|1DMG|1CDMG	18ASPD|2TLV|35aVULN|4LWND|6CDMG|7DMG|9RCR
21	32352 25422	 * 	206.00	DCR|3VULN|2ASPD|1AART|1DUR	19ASPD|26aVULN|3FEWX|4MLV|5DUR|7RCR|8AART
22	33132 25422	   	206.00	DCR|3VULN|2ASPD|1AART|1DUR	19ASPD|2AME|36aVULN|4FEWX|5DUR|7RCR|8AART
23	33241 25422	   	206.00	DCR|3VULN|2ASPD|1AART|1DUR	19ASPD|2AME|3FEWX|4DUR|56aVULN|7RCR|8AART
24	32312 25422	   	205.90	DCR|3VULN|2ASPD|1AART|1DUR	19ASPD|26aVULN|3FEWX|4ERES|5DUR|7RCR|8AART
25	32142 31125	   	204.98	DCR|3VULN|2ASPD|2CDMG|1DUR	17ASPD|27aVULN|3MLV|4RCVC|5DUR|67CDMG|7BPWR|8AME|9RCR
26	32242 31125	   	204.98	DCR|3VULN|2ASPD|2CDMG|1DUR	17ASPD|27aVULN|3CGEN|4RCVC|5DUR|67CDMG|7BPWR|8AME|9RCR
27	32352 25211	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|26aVULN|3FEWX|4MLV|5DUR|7RCR|8CDMG|9DMG
28	32352 25236	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|269VULN|3FEWX|4MLV|5DUR|7RCR|8CDMG|aDMG
29	33132 25211	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|36aVULN|4FEWX|5DUR|7RCR|8CDMG|9DMG
30	33132 25236	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|369VULN|4FEWX|5DUR|7RCR|8CDMG|aDMG
31	33241 25211	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|3FEWX|4DUR|56aVULN|7RCR|8CDMG|9DMG
32	33241 25236	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2AME|3FEWX|4DUR|569VULN|7RCR|8CDMG|aDMG
33	35241 25211	   	204.31	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2MLV|3FEWX|4DUR|56aVULN|7RCR|8CDMG|9DMG
34	32312 25211	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|26aVULN|3FEWX|4ERES|5DUR|7RCR|8CDMG|9DMG
35	32312 25236	   	204.21	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|269VULN|3FEWX|4ERES|5DUR|7RCR|8CDMG|aDMG
36	32211 31123	   	204.12	DCR|3VULN|2ASPD|2CDMG|1ZMB	17ASPD|257VULN|3CGEN|4LWND|67CDMG|7BPWR|8AME|9RCR|aZMB
37	32242 21325	   	203.20	DCR|3VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|27aVULN|3CGEN|4RCVC|5DUR|6DMG|8CDMG|9RCR
38	33122 65511	   	203.17	DCR|3ASPD|2VULN|1CDMG|2DUR	168ASPD|24AME|38VULN|58DUR|7RCR|8BPWR|9RMIN|aCDMG
39	32111 31122	 * 	203.15	DCR|3VULN|1MDPS|2ASPD|2CDMG	17ASPD|257VULN|3MLV|4LWND|67CDMG|7BPWR|8AME|9RCR|aMDPS
40	32351 31122	   	203.15	DCR|3VULN|1MDPS|2ASPD|2CDMG	17ASPD|257VULN|3FEWX|4MLV|67CDMG|7BPWR|8AME|9RCR|aMDPS
41	11232 41426	 * 	203.12	ACR|2DMG|2ASPD|1VULN|1AART|2CDMG|1DUR	158AME|25CDMG|3AART|4RCR|58BPWR|68DMG|78ASPD|9VULN|aDUR
