0	Index      	 *	Score 	Summary	Detail	
1	42121 15152	 * 	228.88	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|2aBEXP|349DMG|5CDMG|6aDUR|7RCR|8aVULN|aBPWR
2	24222 22136	 * 	222.98	DCR|1SPLARM|2VULN|2DMG|2ASPD	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9AME|aSPLARM
3	24222 22216	   	222.98	DCR|1SPLARM|2VULN|2DMG|2ASPD	19LIT|26DMG|39VULN|4CGEN|56ASPD|69BPWR|7RCR|89ERES|aSPLARM
4	24222 22116	   	222.88	DCR|1SPLARM|2VULN|2DMG|2ASPD	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9TLV|aSPLARM
5	24222 22166	   	222.88	DCR|1SPLARM|2VULN|2DMG|2ASPD	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9ERES|aSPLARM
6	24222 22226	   	222.88	DCR|1SPLARM|2VULN|2DMG|2ASPD	1LIT|26DMG|39VULN|4CGEN|56ASPD|6BPWR|7RCR|8ERES|aSPLARM
7	24222 22151	 * 	219.97	DCR|3VULN|2DMG|2ASPD|1DUR	1LIT|26DMG|389VULN|4CGEN|56ASPD|6BPWR|7RCR|aDUR
8	24222 22142	 * 	218.39	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9DUR|aCDMG
9	24222 22133	 * 	217.61	DCR|2VULN|2DMG|2ASPD|1AART	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9AME|aAART
10	24222 22213	   	217.61	DCR|2VULN|2DMG|2ASPD|1AART	19LIT|26DMG|39VULN|4CGEN|56ASPD|69BPWR|7RCR|89ERES|aAART
11	24222 22113	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9TLV|aAART
12	24222 22163	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9ERES|aAART
13	24222 22223	   	217.51	DCR|2VULN|2DMG|2ASPD|1AART	1LIT|26DMG|39VULN|4CGEN|56ASPD|6BPWR|7RCR|8ERES|aAART
14	24222 22145	 * 	215.06	DCR|3ASPD|2VULN|2DMG|1DUR	1LIT|26DMG|38VULN|4CGEN|56aASPD|6BPWR|7RCR|9DUR
15	24222 22152	   	211.66	DCR|3VULN|2DMG|2ASPD	1aLIT|26DMG|389VULN|4CGEN|56ASPD|6BPWR|7RCR
16	24222 22153	   	211.66	DCR|3VULN|2DMG|2ASPD	1LIT|26DMG|389VULN|4aCGEN|56ASPD|6BPWR|7RCR
17	24222 22155	   	211.66	DCR|3VULN|2DMG|2ASPD	1LIT|26DMG|389VULN|4CGEN|56ASPD|6BPWR|7RCR|aLWND
18	24222 22154	   	211.56	DCR|3VULN|2DMG|2ASPD	1LIT|26DMG|389VULN|4CGEN|56ASPD|6BPWR|7RCR|aDUST
