0	Index      	 *	Score 	Summary	Detail	
1	54441 54344	 * 	294.00	橙3易伤3矿等3时间1暴击	1加一28a时间38a易伤4暴击5敌人爆炸6全技能78a矿等8a序列升级9核
2	26821 74144	 * 	291.79	橙橙2易伤1等级1伤害	1寒冰对冰2加一38易伤4等级5挖尘6伤害7a核9低血量敌人
3	26821 82144	   	291.79	橙橙2易伤1等级1伤害	1寒冰对冰2加一38易伤4等级5挖尘6a核7伤害9低血量敌人
4	26824 74134	   	291.79	橙橙2易伤1等级1伤害	1寒冰对冰2加一38易伤4等级5敌人爆炸6伤害7a核9挖尘
5	26824 82134	   	291.79	橙橙2易伤1等级1伤害	1寒冰对冰2加一38易伤4等级5敌人爆炸6a核7伤害9挖尘
6	26821 84444	   	287.97	橙橙2易伤1等级1攻速	1寒冰对冰2加一37易伤4等级5挖尘6a核8攻速9低血量敌人
7	57422 36334	   	287.97	橙橙2易伤1等级1攻速	1加一2敌人爆炸35易伤45基地爆炸5序列升级6a核7攻速8寒冰对甲9等级
8	57422 36234	   	287.87	橙橙2易伤1等级1攻速	1加一2敌人爆炸35易伤45基地爆炸5序列升级6a核7攻速8基础对甲9等级
9	57442 54344	   	282.44	橙3易伤3矿等1暴击	1加一28a敌人爆炸38a易伤4暴击5时间6全技能78a矿等8a序列升级9核
10	32533 23366	 * 	279.51	橙3易伤2等级2攻速1伤害	1平台28a易伤3全技能48攻速5基地爆炸6伤害78等级8序列升级9核
11	52324 32254	 * 	276.05	橙橙2等级1矿等1伤害	1加一2双倍秒伤3掉矿45等级6a核7矿等8加农对甲9伤害
12	52324 32354	   	276.05	橙橙2等级1矿等1伤害	1加一2双倍秒伤3掉矿45等级6a核7矿等8毒液对黄9伤害
13	52324 32854	   	276.05	橙橙2等级1矿等1伤害	1加一2双倍秒伤3掉矿45等级6a核7矿等8基础对甲9伤害
14	53344 43367	 * 	275.94	橙2易伤2矿等2伤害1等级	1加一2a伤害3雷电4立即金币5a矿等6核7烈焰减费8等级9a易伤a序列升级
15	57422 32451	 * 	275.16	橙橙2易伤1矿等	1加一2敌人爆炸35易伤45基地爆炸5序列升级69核7矿等8额外掉落a随机技能
