0	Index      	 *	Score 	Summary	Detail	
1	63636 23332	 * 	227.32	紫1基础对甲2攻速1伤害1全技能1基地爆炸1技能1卖塔	16等级2卖塔3技能4核56攻速6序列升级7全技能8基地爆炸9基础对甲a伤害
2	21436 23532	 * 	217.78	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a易伤
3	21436 23511	   	217.68	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a磁铁减费
4	21436 23513	   	217.68	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a挖尘
5	21436 23512	   	217.53	紫2基础对甲3伤害1技能1卖塔	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9易伤a卖塔
6	21436 23531	   	210.84	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a时间
7	21436 23221	 * 	210.84	紫3伤害1基础对甲2技能	1平台29技能36最后敌人4核56a伤害6序列升级7基础对甲8易伤
8	21436 23522	   	210.74	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a立即金币
9	21436 23523	   	210.74	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a时间
10	21436 23533	   	210.74	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9立即金币a双倍物品
11	21436 23521	   	210.64	紫2基础对甲3伤害1技能	1平台2技能368最后敌人4核568伤害68序列升级78基础对甲9等级a挖尘
12	21436 23225	   	208.83	紫1基础对甲2伤害2技能1全技能	1平台29技能36最后敌人4核56伤害6序列升级7基础对甲8易伤a全技能
13	21436 23433	   	207.70	紫1基础对甲2伤害1基地爆炸1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a立即金币
14	21436 23431	   	207.60	紫1基础对甲2伤害1基地爆炸1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a挖尘
15	21436 23432	   	207.60	紫1基础对甲2伤害1基地爆炸1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8暴击9基地爆炸a散射对甲
16	63636 23331	 * 	207.26	紫1基础对甲2攻速1基地爆炸1全技能1技能1卖塔	16等级2卖塔3技能4核56攻速6序列升级7全技能8基地爆炸9基础对甲a金币生成
17	21436 23321	   	203.90	紫3伤害1基础对甲2技能	1平台29技能36最后敌人4核56a伤害6序列升级7基础对甲8低血量敌人
18	21436 23131	   	202.99	紫3伤害1基础对甲1技能	1平台2技能36最后敌人4核56a伤害6序列升级7基础对甲8立即金币9易伤
19	32663 52214	 * 	201.44	紫1基础对甲2基地爆炸1伤害1全技能	12矿等2序列升级3核46基地爆炸5敌人爆炸7基础对甲8全技能9加一a伤害
20	21436 23135	   	200.99	紫1基础对甲2伤害1全技能1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8立即金币9易伤a全技能
21	21436 23243	   	200.99	紫1基础对甲2伤害1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a立即金币
22	21436 23262	   	200.99	紫1基础对甲2伤害1全技能1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9金币生成a全技能
23	21436 23241	   	200.89	紫1基础对甲2伤害1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a挖尘
24	21436 23242	   	200.89	紫1基础对甲2伤害1暴击1技能	1平台2技能36最后敌人4核56伤害6序列升级7基础对甲8易伤9暴击a喷火对甲
