0	Index      	 *	Score 	Summary	Detail	
1	52122 33434	 * 	315.66	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aAAC
2	32152 62621	 * 	311.93	DCR|DCR|3VULN|3DUR|1ASPD|1CDMG	1ASPD|245VULN|345DUR|45BPWR|6CGEN|79RCR|8CDMG|aZMB
3	32122 62625	   	311.83	DCR|DCR|3VULN|3DUR|1ASPD|1CDMG	1ASPD|25aVULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG
4	32152 62622	   	311.83	DCR|DCR|3VULN|3DUR|1ASPD|1CDMG	1ASPD|245VULN|345DUR|45BPWR|6CGEN|79RCR|8CDMG|aERES
5	32152 62623	   	311.83	DCR|DCR|3VULN|3DUR|1ASPD|1CDMG	1ASPD|245VULN|345DUR|45BPWR|6CGEN|79RCR|8CDMG|aDUST
6	44218 24234	 * 	307.07	DCR|DCR|3VULN|1MLV	1AME|2DUR|3MBVNT|456VULN|7aRCR|8MLV|9AART
7	52122 33422	 * 	299.03	DCR|DCR|2MLV|1VULN|1ASPD|2DUR	1BELT|2aMLV|3AEFBLL|49DUR|5VULN|68RCR|7ASPD
8	52122 33431	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aLHND
9	52122 33435	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aAME
10	52122 33461	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9LWND|aTLV
11	52122 33432	   	298.67	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aERES
12	52122 33433	   	298.67	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aAEPOI
13	52122 33463	   	292.88	DCR|DCR|2VULN|1MLV|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5aVULN|68RCR|7ASPD|9LWND
14	44217 24234	   	291.48	DCR|DCR|2VULN|1MLV|2DUR	1AME|25DUR|3MBVNT|46VULN|7aRCR|8MLV|9AART
15	51432 33431	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2AME|3ERES|4MLV|5VULN|68RCR|7ASPD|9TLV|aLHND
16	51432 33433	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2AME|3ERES|4MLV|5VULN|68RCR|7ASPD|9TLV|aRCVC
17	52432 33431	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3ERES|4AME|5VULN|68RCR|7ASPD|9TLV|aLHND
18	52432 33433	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3ERES|4AME|5VULN|68RCR|7ASPD|9TLV|aRCVC
19	53532 33431	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2ERES|3AME|4MLV|5VULN|68RCR|7ASPD|9TLV|aLHND
20	53532 33433	   	290.46	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2ERES|3AME|4MLV|5VULN|68RCR|7ASPD|9TLV|aRCVC
21	51432 33432	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2AME|3aERES|4MLV|5VULN|68RCR|7ASPD|9TLV
22	52432 33432	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2MLV|3aERES|4AME|5VULN|68RCR|7ASPD|9TLV
