0	Index      	 *	Score 	Summary	Detail	
1	36417 21641	 * 	302.81	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1MBVNT|2DMG|3SELL|4TLV|5DUR|68RCR|7LWND|9MLV|aVULN
2	34415 37622	 * 	301.52	ACR|DCR|2VULN|2TLV|2ASPD|1AAC	1MBVNT|2aVULN|3LWND|4AAC|57RCR|6LEGI|8aASPD|9aTLV|aBPWR
3	36618 33314	 * 	290.30	DCR|DCR|1VULN|2AAC|1DMG|1CDMG	1MBVNT|2DMG|3DUR|4MDPS|59AAC|6aRCR|7VULN|8CDMG
4	36413 24264	 * 	289.88	DCR|DCR|3TLV|3DMG|1SELL	1MBVNT|278DMG|3SELL|478TLV|578BEXP|6aRCR|78BPWR|9FEWX
5	32122 61424	 * 	287.85	DCR|DCR|2TLV|1VULN|1AAC	1MBVNT|2DUR|3AME|4LIT|58TLV|69RCR|7VULN|aAAC
6	32122 61425	   	287.21	DCR|DCR|2TLV|1VULN|1ASPD	1MBVNT|2DUR|3AME|4LIT|58TLV|69RCR|7VULN|aASPD
7	34644 17432	 * 	286.85	DCR|2VULN|3TLV|2MLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58aTLV|6AART|7RCR|8BPWR|9ASPD
8	36534 54113	 * 	285.96	DCR|3VULN|3DMG|3ASPD	1MBVNT|29aDMG|39aVULN|4LWND|5DUR|6BBNT|79aASPD|8RCR|9aBPWR
9	34644 17415	 * 	285.05	DCR|3VULN|2MLV|2TLV	1MBVNT|28aVULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9FEWX
10	34644 17425	   	285.05	DCR|3VULN|2MLV|2TLV	1MBVNT|28aVULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9LHND
11	36418 81321	 * 	284.82	DCR|2VULN|2MLV|2DMG|1TLV|1SELL	1MBVNT|28DMG|3SELL|4TLV|58VULN|6AART|78MLV|8BPWR|9RCR|aFEWX
12	36418 81322	 * 	284.82	DCR|2VULN|2MLV|2DMG|1TLV|1SELL	1MBVNT|28DMG|3SELL|4TLV|58VULN|6AART|78MLV|8BPWR|9RCR|aFRZARM
13	36418 81323	 * 	284.72	DCR|2VULN|2MLV|2DMG|1TLV|1SELL	1MBVNT|28DMG|3SELL|4TLV|58VULN|6AART|78MLV|8BPWR|9RCR|aDUST
